comparison,comparison_description,factor_type,factor,bucket_or_value,positive_group,negative_group,positive_count,negative_count,positive_mean,negative_mean,difference,effect_size,positive_rate,negative_rate,lift,evidence_score,priority,direction,interpretation
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,selected_by_topn,True,success,ordinary,11,38,,,0.8830769230769231,,1.0,0.11692307692307692,8.552631578947368,0.8830769230769231,1,positive_group_overrepresented,`selected_by_topn=True` is overrepresented in the positive group. lift=8.55.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,selected_for_execution,False,success,ordinary,0,287,,,-0.8830769230769231,,0.0,0.8830769230769231,0.0,0.8830769230769231,1,negative_group_overrepresented,`selected_for_execution=False` is overrepresented in the negative group. lift=0.00.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,selected_for_execution,True,success,ordinary,11,38,,,0.8830769230769231,,1.0,0.11692307692307692,8.552631578947368,0.8830769230769231,1,positive_group_overrepresented,`selected_for_execution=True` is overrepresented in the positive group. lift=8.55.
success_vs_ordinary,Positive samples vs ordinary baseline.,numeric,graph_quality_score,,success,ordinary,11,325,82.54545454545455,61.2,21.345454545454544,0.8665540541851494,,,,0.8665540541851494,1,positive_group_higher,`graph_quality_score` is higher in the positive group; treat as a candidate hypothesis.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,signal_type,WATCH_ONLY,success,ordinary,0,254,,,-0.7815384615384615,,0.0,0.7815384615384615,0.0,0.7815384615384615,1,negative_group_overrepresented,`signal_type=WATCH_ONLY` is overrepresented in the negative group. lift=0.00.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,position_level,zero,success,ordinary,0,254,,,-0.7815384615384615,,0.0,0.7815384615384615,0.0,0.7815384615384615,1,negative_group_overrepresented,`position_level=zero` is overrepresented in the negative group. lift=0.00.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,allowed_bool,False,success,ordinary,0,254,,,-0.7815384615384615,,0.0,0.7815384615384615,0.0,0.7815384615384615,1,negative_group_overrepresented,`allowed_bool=False` is overrepresented in the negative group. lift=0.00.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,allowed_bool,True,success,ordinary,11,71,,,0.7815384615384615,,1.0,0.21846153846153846,4.577464788732394,0.7815384615384615,1,positive_group_overrepresented,`allowed_bool=True` is overrepresented in the positive group. lift=4.58.
success_vs_ordinary,Positive samples vs ordinary baseline.,numeric,support_score,,success,ordinary,11,325,83.72727272727273,62.87384615384615,20.85342657342658,0.7031033201720869,,,,0.7031033201720869,1,positive_group_higher,`support_score` is higher in the positive group; treat as a candidate hypothesis.
success_vs_ordinary,Positive samples vs ordinary baseline.,numeric,daily_rank,,success,ordinary,11,38,38.72727272727273,26.394736842105264,12.332535885167463,0.650300786500777,,,,0.650300786500777,1,positive_group_higher,`daily_rank` is higher in the positive group; treat as a candidate hypothesis.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,support_type,A,success,ordinary,11,180,,,0.4461538461538461,,1.0,0.5538461538461539,1.8055555555555554,0.4461538461538461,1,positive_group_overrepresented,`support_type=A` is overrepresented in the positive group. lift=1.81.
success_vs_ordinary,Positive samples vs ordinary baseline.,numeric,active_money_score,,success,ordinary,11,325,75.27272727272727,68.88,6.392727272727271,0.3817681190259204,,,,0.3817681190259204,1,positive_group_higher,`active_money_score` is higher in the positive group; treat as a candidate hypothesis.
success_vs_ordinary,Positive samples vs ordinary baseline.,numeric,theme_score,,success,ordinary,11,325,67.27272727272727,64.41538461538461,2.857342657342656,0.351572125621072,,,,0.351572125621072,1,positive_group_higher,`theme_score` is higher in the positive group; treat as a candidate hypothesis.
