feature,semantic_group,FP_rows,FP_n,FP_missing,FP_mean,FP_median,FP_p25,FP_p75,FP_std,MW_rows,MW_n,MW_missing,MW_mean,MW_median,MW_p25,MW_p75,MW_std,MW_minus_FP_mean,MW_minus_FP_median,cliffs_delta_MW_vs_FP,comparable_dates,daily_diff_mean,daily_diff_median,positive_difference_date_pct,negative_difference_date_pct,zero_difference_date_pct,daily_diff_p25,daily_diff_p75,direction_consistency_pct,bootstrap_p025,bootstrap_p50,bootstrap_p975,bootstrap_seed,bootstrap_resamples
d1_high_to_close_drawdown_raw,DAMAGE_DISAGREEMENT,44,44,0,0.0475961669604,0.0448801392757,0.0136215729687,0.0698661095003,0.035763249581,31,31,0,0.066362996702,0.0630303030303,0.0426030876529,0.0916930568046,0.0364504496959,0.0187668297416,0.0181501637546,0.319648093842,15,0.0221825901408,0.0309385486909,0.733333333333,0.266666666667,0,-0.000511683810198,0.0515298804424,0.733333333333,0.00112091797189,0.022058463465,0.0423508489605,20260809,10000
d1_close_location,REPAIR_COMPLETION,44,44,0,0.501557425959,0.505952176747,0.250105764146,0.803171588912,0.312487309381,31,31,0,0.335954251461,0.293233082707,0.0975863605973,0.521942576119,0.281008594022,-0.165603174498,-0.21271909404,-0.318181818182,15,-0.177245528534,-0.272161172161,0.266666666667,0.733333333333,0,-0.383758081994,-0.0226228709345,0.733333333333,-0.30440328939,-0.178972156503,-0.0314842499016,20260809,10000
d1_intraday_range,DAMAGE_DISAGREEMENT,44,44,0,0.0973733937096,0.0963521557958,0.0811742852528,0.113555496489,0.0274344439055,31,31,0,0.105995137048,0.0993984531653,0.0785456491107,0.133630730392,0.0391019200435,0.00862174333829,0.00304629736953,0.127565982405,15,0.0106663378719,0.00060635382231,0.533333333333,0.466666666667,0,-0.0154591363055,0.0392192480285,0.533333333333,-0.00988673337166,0.0102899344053,0.0310951925556,20260809,10000
d1_low_to_close_recovery,REPAIR_COMPLETION,44,44,0,0.0478220837474,0.0462400942386,0.0233817361136,0.0687879139032,0.0310977783216,31,31,0,0.0380073487724,0.0364285714286,0.00950181948038,0.0573326698461,0.0378166247012,-0.00981473497503,-0.00981152281002,-0.225806451613,15,-0.0115271100073,-0.00728602803393,0.333333333333,0.666666666667,0,-0.0309491011998,0.00297136048569,0.666666666667,-0.023610420662,-0.0115727157682,0.000981879455959,20260809,10000
d1_open_to_close_return_raw,REPAIR_COMPLETION,44,44,0,0.00287907397626,0.0149050798333,-0.0384674496861,0.0387061882703,0.054802316773,31,31,0,-0.0291239226148,-0.027397260274,-0.0628112068966,-0.00304169230233,0.0548344460314,-0.032002996591,-0.0423023401073,-0.328445747801,15,-0.0292805944047,-0.0503110239584,0.266666666667,0.733333333333,0,-0.0748376933047,7.18914397195e-05,0.733333333333,-0.0591918162931,-0.0299281904986,0.00402950132324,20260809,10000
d1_last_hour_return,REPAIR_COMPLETION,44,44,0,0.000627588523579,0.0036807405202,-0.0105480952968,0.0172923399565,0.0230016679563,31,31,0,-0.00208748672576,-0.00111172873819,-0.00872707329581,0.00566766082754,0.0147480966641,-0.00271507524934,-0.00479246925839,-0.122434017595,15,-0.00338029145712,-0.00836233737157,0.333333333333,0.666666666667,0,-0.0141873840459,0.00498025740059,0.666666666667,-0.015842448604,-0.00353840075839,0.0106059885964,20260809,10000
late_day_sell_volume_ratio,DAMAGE_DISAGREEMENT,44,44,0,0.0708816558965,0.0592644142244,0.0450360987552,0.0866962315791,0.0349174081551,31,31,0,0.0741910241763,0.0686762464282,0.0543628803079,0.0925671882427,0.0425062273647,0.00330936827981,0.0094118322038,0.0953079178886,15,0.00698434461452,0.0199683265472,0.8,0.2,0,0.00076603133052,0.0285632591778,0.8,-0.0133434295351,0.0079398616649,0.0223559602111,20260809,10000
late_day_sell_amount_ratio,DAMAGE_DISAGREEMENT,44,44,0,0.0703875234219,0.0597448141505,0.044792011594,0.0861250549697,0.0341693990428,31,31,0,0.0734788664337,0.0680337767868,0.0544937191319,0.0957195086006,0.0420499451232,0.00309134301172,0.00828896263627,0.0953079178886,15,0.00681255016901,0.0199764720625,0.733333333333,0.266666666667,0,0.00130930510086,0.0288465440651,0.733333333333,-0.0131104179862,0.00773658594829,0.0222414817405,20260809,10000
