signal_date,feature,semantic_group,FP_count,MW_count,FP_mean,MW_mean,MW_minus_FP
2026-06-03,d1_last_hour_return,REPAIR_COMPLETION,3,1,-0.0151449161172,-0.00889923329682,0.00624568282041
2026-06-05,d1_last_hour_return,REPAIR_COMPLETION,2,1,-0.040841759212,-0.0192402565368,0.0216015026753
2026-06-10,d1_last_hour_return,REPAIR_COMPLETION,1,2,-0.0520156046814,0.0120103257764,0.0640259304578
2026-06-11,d1_last_hour_return,REPAIR_COMPLETION,2,1,0.00734746409298,-0.0355731225296,-0.0429205866226
2026-06-12,d1_last_hour_return,REPAIR_COMPLETION,2,3,-0.0376121702628,-0.0100376411543,0.0275745291085
2026-06-16,d1_last_hour_return,REPAIR_COMPLETION,2,2,0.0143258604828,0.00744409484048,-0.0068817656423
2026-06-17,d1_last_hour_return,REPAIR_COMPLETION,1,5,0.0172597233716,0.00714117823213,-0.0101185451394
2026-06-18,d1_last_hour_return,REPAIR_COMPLETION,3,1,0.0159139595897,-0.00211595429539,-0.018029913885
2026-06-22,d1_last_hour_return,REPAIR_COMPLETION,2,3,0.0216127850315,0.0125706312652,-0.00904215376638
2026-06-23,d1_last_hour_return,REPAIR_COMPLETION,2,4,0.00075211513634,-0.000638938093664,-0.00139105323
2026-06-24,d1_last_hour_return,REPAIR_COMPLETION,3,2,0.00760803447532,-0.000754302896247,-0.00836233737157
2026-06-25,d1_last_hour_return,REPAIR_COMPLETION,1,2,0.0053015241882,-0.00504333001847,-0.0103448542067
2026-06-26,d1_last_hour_return,REPAIR_COMPLETION,2,1,-0.00578066313351,-0.00206583115273,0.00371483198078
2026-06-29,d1_last_hour_return,REPAIR_COMPLETION,2,2,0.0053079084582,-0.0166828172221,-0.0219907256803
2026-06-30,d1_last_hour_return,REPAIR_COMPLETION,3,1,0.0132701725893,-0.0315147407658,-0.0447849133552
2026-06-03,d1_low_to_close_recovery,REPAIR_COMPLETION,3,1,0.0552139110766,0.00863870698063,-0.046575204096
2026-06-05,d1_low_to_close_recovery,REPAIR_COMPLETION,2,1,0.0242302052786,0,-0.0242302052786
2026-06-10,d1_low_to_close_recovery,REPAIR_COMPLETION,1,2,0.00137362637363,0.0374476562236,0.03607402985
2026-06-11,d1_low_to_close_recovery,REPAIR_COMPLETION,2,1,0.0757743797593,0.0684883517253,-0.00728602803393
2026-06-12,d1_low_to_close_recovery,REPAIR_COMPLETION,2,3,0.0110329389191,0.0129928315412,0.00195989262213
2026-06-16,d1_low_to_close_recovery,REPAIR_COMPLETION,2,2,0.0664176656221,0.0436955289891,-0.0227221366329
2026-06-17,d1_low_to_close_recovery,REPAIR_COMPLETION,1,5,0.0972966080082,0.056802333007,-0.0404942750012
2026-06-18,d1_low_to_close_recovery,REPAIR_COMPLETION,3,1,0.0601050739326,0.0396825396825,-0.02042253425
2026-06-22,d1_low_to_close_recovery,REPAIR_COMPLETION,2,3,0.0771885714286,0.0757021259936,-0.00148644543495
2026-06-23,d1_low_to_close_recovery,REPAIR_COMPLETION,2,4,0.0274142892234,0.0357169886665,0.00830269944309
2026-06-24,d1_low_to_close_recovery,REPAIR_COMPLETION,3,2,0.0591048077777,0.0141732619864,-0.0449315457913
2026-06-25,d1_low_to_close_recovery,REPAIR_COMPLETION,1,2,0.0462068965517,0.00853889943074,-0.037667997121
2026-06-26,d1_low_to_close_recovery,REPAIR_COMPLETION,2,1,0.0330860137861,0.0370688421354,0.00398282834925
2026-06-29,d1_low_to_close_recovery,REPAIR_COMPLETION,2,2,0.0247167868177,0.0203441031585,-0.00437268365921
2026-06-30,d1_low_to_close_recovery,REPAIR_COMPLETION,3,1,0.0560230246121,0.0829859795377,0.0269629549256
2026-06-03,d1_open_to_close_return_raw,REPAIR_COMPLETION,3,1,0.017528524281,-0.0468729427255,-0.0644014670065
2026-06-05,d1_open_to_close_return_raw,REPAIR_COMPLETION,2,1,-0.0584899894278,-0.136027813994,-0.0775378245661
