event_id,signal_date,code,board,model_score,model_rank,target7,raw_repair_return,capped_opportunity_return_7,residual_group,d1_high_to_close_drawdown_raw,d1_close_location,d1_intraday_range,d1_low_to_close_recovery,d1_open_to_close_return_raw,d1_last_hour_return,late_day_sell_volume_ratio,late_day_sell_amount_ratio,score_gap_to_rank3,candidate_count
002806_2026-06-01,2026-06-01,002806,2,0.576826170605,1,1,0.149321266968,0.07,TOP3_TRUE_POSITIVE,0.0914454277286,0.00534759358289,0.101135749054,0.000541418516513,-0.0414937759336,-0.0191082802548,0.0945416973726,0.0901105603758,,4
600110_2026-06-01,2026-06-01,600110,2,0.573956161071,2,0,0.0451559934319,0.0451559934319,TOP3_FALSE_POSITIVE,0.0621683093252,0.118279569892,0.0734597156398,0.0089722675367,-0.0190325138779,-0.00161420500404,0.0701332696871,0.0684396288407,,4
000090_2026-06-01,2026-06-01,000090,2,0.572731263479,3,0,-0.0263852242744,-0.0263852242744,TOP3_FALSE_POSITIVE,0.0325,0.617647058824,0.0883116883117,0.0573770491803,0.0078125,-0.00257731958763,0.032667121948,0.0332235026768,,4
603324_2026-06-01,2026-06-01,603324,2,0.534568190065,4,0,0.0224038752649,0.0224038752649,RANK4_10_NON_WINNER,0.0584359782297,0.203125,0.0746573344999,0.0160741885626,-0.00393939393939,-0.000911854103343,0.110932401149,0.109986096395,,4
002608_2026-06-02,2026-06-02,002608,2,0.669829779368,1,1,0.099,0.07,TOP3_TRUE_POSITIVE,0.0369685767098,0.633027522936,0.107707509881,0.070914696814,0.0327056491576,0.0276134122288,0.0227099516319,0.0227711807505,,2
600011_2026-06-02,2026-06-02,600011,2,0.616202677126,2,0,0.0260475651189,0.0260475651189,TOP3_FALSE_POSITIVE,0.0319488817891,0.36170212766,0.0481557377049,0.0190582959641,-0.0319488817891,0.00331125827815,0.0788450804438,0.0786698118998,,2
600280_2026-06-03,2026-06-03,600280,3,0.661231793594,1,0,-0.0125313283208,-0.0125313283208,TOP3_FALSE_POSITIVE,0.05,0.625,0.144702842377,0.0961538461538,0.064,-0.029197080292,0.0819622233183,0.0844682641404,,7
002579_2026-06-03,2026-06-03,002579,2,0.647916971429,2,0,0.0540254237288,0.0540254237288,TOP3_FALSE_POSITIVE,0.110247026532,0.154385964912,0.137283236994,0.0231457127827,-0.0371287128713,-0.0221216691805,0.10326932801,0.10059453213,,7
001210_2026-06-03,2026-06-03,001210,2,0.637872786829,3,0,-0.244557534634,-0.244557534634,TOP3_FALSE_POSITIVE,0.0525204539456,0.444134078212,0.0971242539338,0.0463421742932,0.0257142857143,0.00588400112076,0.0977615375172,0.096430604644,,7
002404_2026-06-03,2026-06-03,002404,2,0.625034502764,4,0,0.0299319727891,0.0299319727891,RANK4_10_NON_WINNER,0.0220207253886,0.716666666667,0.0810810810811,0.060393258427,0.0500695410292,0.0188933873144,0.0898108510266,0.0920804846775,,7
000055_2026-06-03,2026-06-03,000055,2,0.58808867594,5,0,0,0,RANK4_10_NON_WINNER,0.112866817156,0.0384615384615,0.124105011933,0.00511508951407,-0.112866817156,0,0.0459901523778,0.0436151248918,,7
603045_2026-06-03,2026-06-03,603045,2,0.577252441214,6,1,0.154815115807,0.07,RANK4_10_MISSED_WINNER,0.101861042184,0.0702151755379,0.117326601116,0.00863870698063,-0.0468729427255,-0.00889923329682,0.101044871913,0.0970011959229,0.060620345615,7
002421_2026-06-03,2026-06-03,002421,2,0.576307116662,7,0,0.0698151950719,0.0698151950719,RANK4_10_NON_WINNER,0.041257367387,0.382352941176,0.0684104627767,0.0273684210526,0,0.00618556701031,0.0826239748476,0.0819843498526,,7
600121_2026-06-04,2026-06-04,600121,3,0.637702532534,1,0,-0.00709219858156,-0.00709219858156,TOP3_FALSE_POSITIVE,0.088,0.179104477612,0.117750439367,0.0215053763441,0.00175746924429,-0.040404040404,0.128902569425,0.127270069982,,6
600487_2026-06-04,2026-06-04,600487,2,0.627977920763,2,0,0.0659375,0.0659375,TOP3_FALSE_POSITIVE,0.0112143867448,0.814381270903,0.0654052280433,0.0523655913978,0.0523655913978,0.00596155822798,0.0621818420209,0.0626943652991,,6
002137_2026-06-04,2026-06-04,002137,2,0.607058594128,3,0,0.0068359375,0.0068359375,TOP3_FALSE_POSITIVE,0.0746268656716,0.303278688525,0.117307692308,0.0363815142576,0.0323212536729,-0.0112570356473,0.0541654178231,0.0531250702711,,6
000700_2026-06-04,2026-06-04,000700,2,0.599088692159,4,0,-0.0651340996169,-0.0651340996169,RANK4_10_NON_WINNER,0.0241228070175,0.674074074074,0.0814234016888,0.0538780343398,0.0379008746356,-0.00391717963067,0.0977138516794,0.0982809163512,,6
603311_2026-06-04,2026-06-04,603311,2,0.593511580553,5,0,0.0277923439958,0.0277923439958,RANK4_10_NON_WINNER,0.0158365261814,0.766037735849,0.0706478272461,0.0556164383562,0.0271927486004,0.00548016701461,0.0683131074491,0.0684943647488,,6
600936_2026-06-04,2026-06-04,600936,2,0.565504396113,6,0,-0.0455284552846,-0.0455284552846,RANK4_10_NON_WINNER,0.0721804511278,0.0943396226415,0.0814132104455,0.00816993464052,-0.0313971742543,-0.00161812297735,0.120890501009,0.118601603206,,6
600688_2026-06-05,2026-06-05,600688,2,0.62474263453,1,0,0.00302114803625,0.00302114803625,TOP3_FALSE_POSITIVE,0.0618279569892,0.258064516129,0.0917159763314,0.0234604105572,-0.0516304347826,-0.0359116022099,0.0909774210442,0.0883333445521,,6
600255_2026-06-05,2026-06-05,600255,3,0.609913051929,2,1,0.0896551724138,0.07,TOP3_TRUE_POSITIVE,0.0567226890756,0.0689655172414,0.0600414078675,0.00447427293065,-0.00222222222222,-0.00883002207506,0.149558478207,0.146863453676,,6
605162_2026-06-05,2026-06-05,605162,2,0.594657536215,3,0,-0.0449915110357,-0.0449915110357,TOP3_FALSE_POSITIVE,0.0861812778603,0.205479452055,0.11487018096,0.025,-0.0653495440729,-0.0457719162141,0.140559642421,0.139161643793,,6
001896_2026-06-05,2026-06-05,001896,2,0.583564120601,4,1,0.0850528434826,0.07,RANK4_10_MISSED_WINNER,0.172011661808,0,0.186962426437,0,-0.136027813994,-0.0192402565368,0.0899738326469,0.0827276647719,0.011093415614,6
002787_2026-06-05,2026-06-05,002787,2,0.556431049829,5,0,0.0670498084291,0.0670498084291,RANK4_10_NON_WINNER,0.0645595158036,0.111111111111,0.0710059171598,0.00870195794054,-0.0645595158036,-0.00500715307582,0.121164995109,0.119191730843,,6
600439_2026-06-05,2026-06-05,600439,2,0.549282210224,6,0,-0.0113636363636,-0.0113636363636,RANK4_10_NON_WINNER,0.0671378091873,0,0.0659722222222,0,-0.0671378091873,-0.0149253731343,0.0996667417056,0.0970087877898,,6
000520_2026-06-08,2026-06-08,000520,2,0.576667057781,1,0,-0.0109409190372,-0.0109409190372,TOP3_FALSE_POSITIVE,0.0460921843687,0.557692307692,0.113043478261,0.0648769574944,-0.00833333333333,0.0554323725055,0.0691712382765,0.0695394403139,,3
600293_2026-06-08,2026-06-08,600293,2,0.546188535009,2,0,-0.0172839506173,-0.0172839506173,TOP3_FALSE_POSITIVE,0.052752293578,0.566037735849,0.133838383838,0.0783289817232,0.0644329896907,0.014742014742,0.0361232381776,0.0366436751615,,3
003036_2026-06-08,2026-06-08,003036,2,0.50598852066,3,0,0.0681933842239,0.0681933842239,TOP3_FALSE_POSITIVE,0.081607495069,0.0307467057101,0.0829386763813,0.00282675999462,-0.081607495069,-0.0104927613229,0.0979170961957,0.0952027310255,,3
603859_2026-06-09,2026-06-09,603859,2,0.610228879137,1,0,0.0640412922959,0.0640412922959,TOP3_FALSE_POSITIVE,0.0132314573239,0.799435028249,0.0709845598556,0.0564644852354,0.0382352941176,0.021412037037,0.052066687723,0.0524332516204,,9
603500_2026-06-09,2026-06-09,603500,3,0.587859032421,2,1,0.0936270653029,0.07,TOP3_TRUE_POSITIVE,0.0240875912409,0.792452830189,0.118215613383,0.104046242775,0.0276710222905,-0.00668647845468,0.0758314810585,0.0792025121523,,9
