trade_date,code,name,market,latest_price,pct_chg,amount,turnover_rate,float_market_cap,total_market_cap,industry,limit_up_time,final_limit_up_time,open_board_count,seal_amount,consecutive_limit_up_count,source
2026-06-29,002549,凯美特气,SZ,20.89,10.005266189575195,1278022144,8.85694408416748,14463390498.140001,14525817714.56,化学制品,092500,101800,2,176107901,1,akshare_zt_pool_em
2026-06-29,002568,百润股份,SZ,17.3,9.980928421020508,685405840,5.464422225952148,13201306853.300001,18020089940.8,非白酒,104657,104657,0,75512337,2,akshare_zt_pool_em
2026-06-29,002624,完美世界,SZ,12.69,9.965337753295898,1364110512,6.012546539306641,23193932290.29,24618198996.0,游戏Ⅱ,101139,101139,0,75444588,1,akshare_zt_pool_em
2026-06-29,002628,成都路桥,SZ,4.86,9.954751014709473,114529283,3.17797589302063,3663394137.7200003,3679508021.76,基础建设,093827,093827,0,46084464,1,akshare_zt_pool_em
2026-06-29,002638,勤上股份,SZ,4.02,10.13698673248291,307894336,5.77069616317749,5437773636.179999,5775109295.039999,照明设备,094639,110330,10,19145652,1,akshare_zt_pool_em
2026-06-29,002639,雪人集团,SZ,14.06,10.015649795532227,373482240,4.082808971405029,9274448978.4,10952110336.960001,通用设备,093209,093209,0,157005151,1,akshare_zt_pool_em
2026-06-29,002653,海思科,SZ,61.06,9.998198509216309,451698496,1.403937578201294,32776161280.98,68382191126.08,化学制药,100057,100412,2,96174262,1,akshare_zt_pool_em
2026-06-29,002687,乔治白,SZ,4.97,9.955751419067383,213970877,10.945863723754883,2054565878.8899999,2508754055.3599997,服装家纺,111012,111012,0,47029300,1,akshare_zt_pool_em
2026-06-29,002693,双成药业,SZ,9.11,10.024154663085938,190451088,5.274813175201416,3744042339.56,3777823567.8399997,化学制药,101506,101506,0,90906858,1,akshare_zt_pool_em
2026-06-29,002728,特一药业,SZ,8.8,10.0,161252406,3.7761752605438232,4411518425.6,4517126310.400001,中药Ⅱ,095806,095815,1,37961167,1,akshare_zt_pool_em
2026-06-29,002821,凯莱英,SZ,167.75,10.0,1700072256,3.3437659740448,53184107179.5,60521008724.0,医疗服务,101803,101803,0,178048843,1,akshare_zt_pool_em
2026-06-29,002828,贝肯能源,SZ,10.59,9.968847274780273,195271057,9.237818717956543,2128458684.0,2128458684.0,油服工程,093121,094718,2,17941578,1,akshare_zt_pool_em
2026-06-29,002859,洁美科技,SZ,114.15,10.002890586853027,4460491776,9.729960441589355,46333417080.75,49224513650.4,其他电子,093021,133903,6,40692306,1,akshare_zt_pool_em
2026-06-29,002915,中欣氟材,SZ,20.34,10.00540828704834,546547792,9.404786109924316,5859427702.5,6819459491.5199995,化学制品,093024,135409,4,40025662,1,akshare_zt_pool_em
2026-06-29,003004,声迅股份,SZ,76.65,10.002870559692383,422588528,8.353738784790039,5269086870.6,6274813436.85,计算机设,134233,134233,0,36914640,1,akshare_zt_pool_em
2026-06-29,003006,百亚股份,SZ,15.19,9.992758750915527,118443068,1.8792895078659058,6510023338.349999,6526349960.48,个护用品,104645,104645,0,58981251,1,akshare_zt_pool_em
2026-06-29,003019,宸展光电,SZ,32.81,9.989943504333496,255552598,4.711777687072754,5611990026.29,5805806898.79,光学光电,100539,100539,0,89398555,1,akshare_zt_pool_em
2026-06-29,003043,华亚智能,SZ,90.35,9.99513053894043,384337920,4.96940279006958,7929734626.45,12446593864.25,半导体,094736,094736,0,135608844,1,akshare_zt_pool_em
2026-06-29,600113,浙江东日,SH,30.16,9.992706298828125,280646128,2.4223833084106445,12408763785.6,12702687944.960001,一般零售,102336,102336,0,75008221,1,akshare_zt_pool_em
2026-06-29,600129,太极集团,SH,13.05,10.033726692199707,216100043,3.125825881958008,7196007314.25,7196007405.6,中药Ⅱ,102713,105431,1,38061290,1,akshare_zt_pool_em
2026-06-29,600222,太龙药业,SH,7.25,10.015174865722656,84136671,2.0512776374816895,4160675551.75,4160675588.0,中药Ⅱ,093352,093352,0,47778942,1,akshare_zt_pool_em
2026-06-29,600363,联创光电,SH,32.53,10.01014518737793,201098056,1.3813556432724,14667401278.5,14667401213.44,消费电子,093034,093034,0,125078370,1,akshare_zt_pool_em
2026-06-29,600378,昊华科技,SH,68.53,10.0,5857973248,8.473894119262695,73502904326.39,88403673684.48,化学制品,134408,134408,0,216629223,1,akshare_zt_pool_em
2026-06-29,600468,百利电气,SH,5.84,9.98116683959961,70603863,1.1161842346191406,6352374274.639999,6352374315.5199995,电网设备,093008,093008,0,65307960,1,akshare_zt_pool_em
2026-06-29,600488,津药药业,SH,4.84,10.0,436744672,8.654258728027344,5284731531.2,5284731569.92,化学制药,102017,102256,1,74156544,1,akshare_zt_pool_em
2026-06-29,600557,康缘药业,SH,11.96,10.02759838104248,106541432,1.6368905305862427,6771259319.76,6771259248.000001,中药Ⅱ,102157,102157,0,16183076,1,akshare_zt_pool_em
2026-06-29,600576,祥源文旅,SH,5.92,10.037175178527832,159508268,4.181183815002441,3909509291.36,6242926812.16,旅游及景,105157,131318,14,6868976,1,akshare_zt_pool_em
2026-06-29,600857,宁波中百,SH,19.66,10.0167875289917,335670416,8.029136657714844,4410129607.54,4410129607.54,一般零售,100844,100844,0,25042908,1,akshare_zt_pool_em
2026-06-29,600867,通化东宝,SH,8.17,9.959623336791992,457876144,2.972109079360962,16001294912.93,16001294937.44,生物制品,132118,132118,0,33824053,1,akshare_zt_pool_em
