code,status,daily_source,minute_source,from_cache,daily_rows,daily_history_rows,daily_required_days,minute_rows,minute_trade_days,minute_required_days,daily_start,daily_end,minute_start,minute_end,daily_ma_coverage_ok,missing_latest_daily_ma,missing_daily_amount_count,missing_daily_volume_count,missing_minute_amount_count,missing_minute_volume_count,zero_minute_volume_count,daily_minute_close_matched_days,daily_minute_close_max_abs_diff,daily_minute_close_check_ok,warnings,error,name,trade_date,d0_date
002631,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,002631 data quality check failed: minute trade days 30 < required 40,德尔未来,2026-06-09,2026-06-05
002708,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,002708 data quality check failed: minute trade days 30 < required 40,光洋股份,2026-06-09,2026-06-05
002786,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,002786 data quality check failed: minute trade days 30 < required 40,银宝山新,2026-06-09,2026-06-05
002877,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,002877 data quality check failed: minute trade days 30 < required 40,智能自控,2026-06-09,2026-06-05
002892,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,002892 data quality check failed: minute trade days 30 < required 40,科力尔,2026-06-09,2026-06-05
002896,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,002896 data quality check failed: minute trade days 30 < required 40,中大力德,2026-06-09,2026-06-05
002903,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,002903 data quality check failed: minute trade days 30 < required 40,宇环数控,2026-06-09,2026-06-05
002960,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,002960 data quality check failed: minute trade days 30 < required 40,青鸟智控,2026-06-09,2026-06-05
002983,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,002983 data quality check failed: minute trade days 30 < required 40,芯瑞达,2026-06-09,2026-06-05
003009,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,003009 data quality check failed: minute trade days 30 < required 40,中天火箭,2026-06-09,2026-06-08
003036,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,003036 data quality check failed: minute trade days 30 < required 40,泰坦股份,2026-06-09,2026-06-09
600063,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,600063 data quality check failed: minute trade days 30 < required 40,皖维高新,2026-06-09,2026-06-05
600207,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,600207 data quality check failed: minute trade days 30 < required 40,安彩高科,2026-06-09,2026-06-05
600293,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,600293 data quality check failed: minute trade days 30 < required 40,三峡新材,2026-06-09,2026-06-05
600303,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,600303 data quality check failed: minute trade days 30 < required 40,曙光股份,2026-06-09,2026-06-05
600382,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,600382 data quality check failed: minute trade days 30 < required 40,广东明珠,2026-06-09,2026-06-05
600403,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,600403 data quality check failed: minute trade days 30 < required 40,大有能源,2026-06-09,2026-06-08
600516,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,600516 data quality check failed: minute trade days 30 < required 40,方大炭素,2026-06-09,2026-06-05
600552,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,600552 data quality check failed: minute trade days 30 < required 40,凯盛科技,2026-06-09,2026-06-05
600714,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,600714 data quality check failed: minute trade days 30 < required 40,金瑞矿业,2026-06-09,2026-06-05
600776,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,600776 data quality check failed: minute trade days 30 < required 40,东方通信,2026-06-09,2026-06-05
600819,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,600819 data quality check failed: minute trade days 30 < required 40,耀皮玻璃,2026-06-09,2026-06-05
600881,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,600881 data quality check failed: minute trade days 30 < required 40,亚泰集团,2026-06-09,2026-06-05
600973,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,600973 data quality check failed: minute trade days 30 < required 40,宝胜股份,2026-06-09,2026-06-05
600996,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,600996 data quality check failed: minute trade days 30 < required 40,贵广网络,2026-06-09,2026-06-05
