signal_date,candidate_count,daily_universe_mean_capped_return,rank1_event_id,rank1_capped_return,rank1_target7,rank2_event_id,rank2_capped_return,rank2_target7,rank3_event_id,rank3_capped_return,rank3_target7,top1_capped_return,top1_excess_vs_universe,top1_beat_universe,top1_target7_hits,top2_capped_return,top2_excess_vs_universe,top2_beat_universe,top2_target7_hits,top3_capped_return,top3_excess_vs_universe,top3_beat_universe,top3_target7_hits
2026-05-20,10,0.030833752262373587,600850_2026-05-20,0.03833865814696491,0,603206_2026-05-20,-0.00410888546481758,0,600758_2026-05-20,0.01680672268907557,0,0.03833865814696491,0.007504905884591323,1,0,0.017114886341073665,-0.013718865921299922,0,0,0.017012165123740968,-0.013821587138632619,0,0
2026-05-21,6,0.041710819835180483,605288_2026-05-21,0.042279411764706065,0,000417_2026-05-21,0.07,1,603938_2026-05-21,-0.04166666666666674,0,0.042279411764706065,0.0005685919295255817,1,0,0.056139705882353036,0.014428886047172552,1,1,0.023537581699346444,-0.01817323813583404,0,1
2026-05-22,1,0.07,003004_2026-05-22,0.07,1,,,0,,,0,0.07,0.0,0,1,,,0,0,,,0,0
2026-05-25,8,0.026854768241664752,002442_2026-05-25,0.002512562814070307,0,600303_2026-05-25,0.005464480874316946,0,600611_2026-05-25,-0.05942275042444811,0,0.002512562814070307,-0.024342205427594445,0,0,0.0039885218441936265,-0.022866246397471125,0,0,-0.017148568912020285,-0.04400333715368504,0,0
2026-05-26,18,0.01746823674148515,605580_2026-05-26,0.07,1,000636_2026-05-26,0.07,1,603936_2026-05-26,0.0030864197530864335,0,0.07,0.05253176325851486,1,1,0.07,0.05253176325851486,1,2,0.04769547325102882,0.03022723650954367,1,2
2026-05-27,10,0.05421494113734039,003036_2026-05-27,0.07,1,002957_2026-05-27,0.07,1,002552_2026-05-27,0.07,1,0.07,0.015785058862659615,1,1,0.07,0.015785058862659615,1,2,0.07,0.015785058862659615,1,3
2026-05-28,4,0.035580719069439534,002771_2026-05-28,0.07,1,001257_2026-05-28,-0.06767712372224188,0,000759_2026-05-28,0.07,1,0.07,0.03441928093056047,1,1,0.0011614381388790618,-0.03441928093056047,0,1,0.024107625425919377,-0.011473093643520157,0,2
2026-05-29,3,0.013392068858581074,603989_2026-05-29,-0.032201914708442136,0,603032_2026-05-29,0.0023781212841853527,0,002579_2026-05-29,0.07,1,-0.032201914708442136,-0.04559398356702321,0,0,-0.014911896712128392,-0.028303965570709466,0,0,0.013392068858581074,0.0,0,1
2026-06-01,4,0.027793661105589965,000090_2026-06-01,-0.02638522427440637,0,600110_2026-06-01,0.0451559934318555,0,603324_2026-06-01,0.022403875264910722,0,-0.02638522427440637,-0.054178885379996336,0,0,0.009385384578724565,-0.0184082765268654,0,0,0.013724881474119951,-0.014068779631470013,0,0
2026-06-02,2,0.04802378255945647,002608_2026-06-02,0.07,1,600011_2026-06-02,0.02604756511891293,0,,,0,0.07,0.02197621744054354,1,1,0.04802378255945647,0.0,0,1,,,0,0
2026-06-03,7,-0.00475946733783925,002404_2026-06-03,0.029931972789115635,0,600280_2026-06-03,-0.01253132832080206,0,001210_2026-06-03,-0.24455753463387053,0,0.029931972789115635,0.03469144012695489,1,0,0.008700322234156788,0.013459789571996037,1,0,-0.07571896338851898,-0.07095949605067974,0,0
2026-06-04,6,-0.002864828664527752,600121_2026-06-04,-0.007092198581560294,0,603311_2026-06-04,0.02779234399580499,0,000700_2026-06-04,-0.06513409961685834,0,-0.007092198581560294,-0.004227369917032542,0,0,0.010350072707122349,0.0132149013716501,1,0,-0.014811318067537882,-0.01194648940301013,0,0
2026-06-05,6,0.025619301511013715,001896_2026-06-05,0.07,1,600688_2026-06-05,0.0030211480362536403,0,605162_2026-06-05,-0.044991511035653575,0,0.07,0.04438069848898629,1,1,0.03651057401812682,0.010891272507113109,1,1,0.009343212333533357,-0.016276089177480357,0,1
2026-06-08,3,0.0133228381898118,000520_2026-06-08,-0.010940919037199293,0,003036_2026-06-08,0.06819338422391863,0,600293_2026-06-08,-0.01728395061728394,0,-0.010940919037199293,-0.024263757227011094,0,0,0.02862623259335967,0.015303394403547868,1,0,0.0133228381898118,0.0,0,0
2026-06-09,9,-0.0018516822650699624,603500_2026-06-09,0.07,1,003009_2026-06-09,-0.013100436681222738,0,000517_2026-06-09,0.014778325123152802,0,0.07,0.07185168226506997,1,1,0.028449781659388634,0.030301463924458597,1,1,0.023892629480643357,0.02574431174571332,1,1
2026-06-10,7,0.04389499596509298,603616_2026-06-10,0.016058394160584077,0,603929_2026-06-10,0.07,1,002254_2026-06-10,0.07,1,0.016058394160584077,-0.0278366018045089,0,0,0.04302919708029204,-0.0008657988848009349,0,1,0.0520194647201947,0.00812446875510172,1,2
2026-06-11,10,0.028416248118709197,002636_2026-06-11,0.07,1,605318_2026-06-11,0.0456747404844291,0,603065_2026-06-11,0.028676470588235414,0,0.07,0.041583751881290806,1,1,0.05783737024221455,0.029421122123505356,1,1,0.04811707035755484,0.01970082223884564,1,1
2026-06-12,8,0.040231451733937953,600378_2026-06-12,0.07,1,000048_2026-06-12,-0.021505376344086113,0,603155_2026-06-12,0.07,1,0.07,0.029768548266062053,1,1,0.024247311827956947,-0.015984139905981007,0,1,0.039498207885304636,-0.0007332438486333179,0,2
2026-06-15,3,0.044940476190476274,002203_2026-06-15,0.036250000000000115,0,600067_2026-06-15,0.028571428571428692,0,603014_2026-06-15,0.07,1,0.036250000000000115,-0.008690476190476158,0,0,0.032410714285714404,-0.01252976190476187,0,0,0.044940476190476274,0.0,0,1
2026-06-16,7,0.0313373111971878,601696_2026-06-16,-0.01872659176029967,0,603335_2026-06-16,0.07,1,603738_2026-06-16,0.07,1,-0.01872659176029967,-0.05006390295748747,0,0,0.025636704119850168,-0.005700607077337633,0,1,0.040424469413233445,0.009087158216045645,1,2
2026-06-17,17,0.0600758531774936,600549_2026-06-17,0.07,1,002585_2026-06-17,0.0378634212305613,0,605198_2026-06-17,-0.02127659574468077,0,0.07,0.009924146822506405,1,1,0.053931710615280654,-0.006144142562212948,0,1,0.028862275161960178,-0.031213578015533424,0,1
2026-06-18,15,0.017311011105823247,603773_2026-06-18,0.06757382744643903,0,603002_2026-06-18,0.07,1,000777_2026-06-18,0.014346439957491963,0,0.06757382744643903,0.05026281634061578,1,0,0.06878691372321952,0.05147590261739627,1,1,0.050640089134643664,0.033329078028820416,1,1
2026-06-22,7,0.046540992262907054,603261_2026-06-22,0.07,1,002141_2026-06-22,0.07,1,002491_2026-06-22,0.07,1,0.07,0.023459007737092953,1,1,0.07,0.023459007737092953,1,2,0.07,0.023459007737092953,1,3
2026-06-23,14,0.05068555323433526,000811_2026-06-23,0.07,1,002842_2026-06-23,0.07,1,000657_2026-06-23,0.07,1,0.07,0.019314446765664746,1,1,0.07,0.019314446765664746,1,2,0.07,0.019314446765664746,1,3
2026-06-24,15,0.021949161370582483,600400_2026-06-24,0.07,1,603757_2026-06-24,0.05169806132270027,0,000571_2026-06-24,0.07,1,0.07,0.048050838629417524,1,1,0.06084903066135014,0.03889986929076766,1,1,0.06389935377423343,0.04195019240365095,1,2
2026-06-25,9,0.024497753192807656,600909_2026-06-25,0.07,1,002687_2026-06-25,0.07,1,600379_2026-06-25,-0.011318242343541951,0,0.07,0.04550224680719235,1,1,0.07,0.04550224680719235,1,2,0.042893919218819354,0.018396166026011698,1,2
2026-06-26,12,0.016013751663266792,603989_2026-06-26,-0.04196428571428579,0,600667_2026-06-26,0.06681034482758608,0,002025_2026-06-26,0.07,1,-0.04196428571428579,-0.05797803737755258,0,0,0.012423029556650145,-0.003590722106616647,0,0,0.03161535303776677,0.015601601374499976,1,1
2026-06-29,5,0.03005811481218995,600228_2026-06-29,-0.07931726907630532,0,002141_2026-06-29,0.019607843137255054,0,000823_2026-06-29,0.07,1,-0.07931726907630532,-0.10937538388849527,0,0,-0.029854712969525132,-0.05991282778171508,0,0,0.003430191353649914,-0.026627923458540037,0,1
2026-06-30,7,0.018284747767554867,603155_2026-06-30,0.07,1,601133_2026-06-30,-0.0627906976744187,0,603163_2026-06-30,-0.028716216216216228,0,0.07,0.051715252232445136,1,1,0.0036046511627906563,-0.014680096604764211,0,1,-0.0071689712968783055,-0.025453719064433174,0,1
