mode,auc,rank1_capped_return,top3_capped_return,baseline_capped_return,top1_target7_hit,top3_target7_precision,top1_beat_universe_rate
Random,0.5,0.032118232351385285,0.032118232351385285,0.032118232351385285,0.36937996225326536,0.36937996225326536,0.5
Ridge_lam10_OOF,0.5049845138581402,0.028231244710682217,0.02553497065165339,0.02998539079437465,0.41379310344827586,0.3850574712643678,0.5517241379310345
GBDT_OOF,0.5351534302083752,0.03676953186101316,0.026945241645170627,0.029985390794374654,0.5172413793103449,0.4425287356321839,0.6206896551724138
Oracle,1.0,0.06925117418633055,0.062160158000660444,0.032118232351385285,1.0,1.0,1.0
Ridge_lam0.1_TRAIN,0.7619550347611573,0.04953205879214689,0.03858481846328506,0.032118232351385285,0.6923076923076923,0.5170940170940171,0.7435897435897436
Ridge_lam10_TRAIN,0.6139786698562208,0.03417613642128435,0.031536382463996024,0.032118232351385285,0.46153846153846156,0.44871794871794873,0.6153846153846154
GBDT_TRAIN,0.8818853961609064,0.059286052400175274,0.04424561932285646,0.032118232351385285,0.7948717948717948,0.6196581196581196,0.8461538461538461
