population,signal_date,board_group,candidate_count,candidate_target7_rate,candidate_loss_rate,candidate_mean_capped,top10_count,top10_target7_rate,top10_loss_rate,top10_mean_capped,selection_rate_top10,top5_count,top5_target7_rate,top5_loss_rate,top5_mean_capped,selection_rate_top5,top3_count,top3_target7_rate,top3_loss_rate,top3_mean_capped,selection_rate_top3
MATURED_PRE_JULY,2026-06-08,BOARD2,3,0,0.666666666667,0.0133228381898,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-09,BOARD2,8,0,0.5,-0.0108331425482,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-09,BOARD3,1,1,0,0.07,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-10,BOARD2,6,0.5,0.166666666667,0.0395441619593,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-10,BOARD3,1,1,0,0.07,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-11,BOARD2,9,0.111111111111,0.222222222222,0.023795831243,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-11,BOARD3,1,1,0,0.07,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-12,BOARD2,7,0.571428571429,0.142857142857,0.0490509986022,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-12,BOARD3,1,0,1,-0.0215053763441,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-15,BOARD2,3,0.333333333333,0,0.0449404761905,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-16,BOARD2,5,0.6,0.4,0.037992730109,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-16,BOARD3,2,0,0.5,0.0146987639177,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-17,BOARD2,16,0.75,0,0.0651603812351,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-17,BOARD3,1,0,1,-0.0212765957447,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-18,BOARD2,7,0.142857142857,0.285714285714,0.0196874723863,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-18,BOARD3,8,0.125,0.25,0.0152316074854,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-22,BOARD2,5,0.6,0.2,0.0468735872939,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-22,BOARD3,2,0.5,0,0.0457095046854,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-23,BOARD2,13,0.461538461538,0,0.0491998265601,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-23,BOARD3,1,1,0,0.07,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-24,BOARD2,13,0.230769230769,0.384615384615,0.0231799572692,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-24,BOARD3,2,0,0.5,0.0139489880299,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-25,BOARD2,7,0.285714285714,0.428571428571,0.0114971112479,0,,,,0,0,,,,0,0,,,,0
