policy,rows_slots,dates,target7_rate,loss_rate,mean_capped,median_capped,p25_capped,worst_capped,raw_mean,raw_median,worst_raw
BOARD3_UNIVERSE,19,8,0.328125,0.40625,0.0233508615037,0.0149651857016,0.00514259208624,-0.0215053763441,0.0412031188051,0.0214190093708,-0.0444572748268
UNIFIED_BOARD3_RANK1,8,8,0.25,0.375,0.0214041085444,0.0326737903997,-0.0213337908945,-0.036815920398,0.0449417861525,0.0326737903997,-0.036815920398
BOARD3_ONLY_RANK1,8,8,0.25,0.375,0.0235735051823,0.0205935803413,-0.016217431631,-0.0215053763441,0.0553476447116,0.0205935803413,-0.0215053763441
UNIFIED_BOARD3_TOP2,13,8,0.3125,0.4375,0.0230137891506,0.0143238759738,0.00408212255924,-0.0215053763441,0.0490889164413,0.0439285714286,-0.036815920398
BOARD3_ONLY_TOP2,13,8,0.3125,0.375,0.0235790725224,0.0158780297762,0.00514259208624,-0.0215053763441,0.049784649822,0.0214190093708,-0.036815920398
UNIFIED_BOARD3_TOP3,14,8,0.3125,0.458333333333,0.0206391098386,0.0143238759738,-0.0101659533126,-0.0215053763441,0.0424070456365,0.0326737903997,-0.0444572748268
BOARD3_ONLY_TOP3,14,8,0.354166666667,0.375,0.0257850185376,0.0247018138371,0.00514259208624,-0.0215053763441,0.0546514991916,0.0326737903997,-0.036815920398
