test_date,feature,board3_only_beta,unified_beta,beta_delta,board3_only_sign,unified_sign,same_sign
2026-06-18,days_since_d0_ge3,-0.0553512493915,-0.107254623497,0.0519033741056,-1,-1,True
2026-06-18,days_since_d0_le1,0.0553512493915,0.107254623497,-0.0519033741056,1,1,True
2026-06-18,inter_close_low,-0.093542349958,0.0511186264572,-0.144660976415,-1,1,False
2026-06-18,inter_close_trend,0.0177539405484,0.0308158211919,-0.0130618806435,1,1,True
2026-06-18,inter_low_active,-0.0924913260339,0.0625556062528,-0.155046932287,-1,1,False
2026-06-18,inter_total_active,0.00502811487654,0.0411570434962,-0.0361289286197,1,1,True
2026-06-18,inter_total_trend,0.10053595724,0.00839321029055,0.0921427469498,1,1,True
2026-06-18,rank_active_money_score,-0.0463775724381,0.0596259272622,-0.1060034997,-1,1,False
2026-06-18,rank_d1_close_ma10_pct,-0.0536385926385,0.0424857879862,-0.0961243806247,-1,1,False
2026-06-18,rank_d1_close_vwap_pct,0.181370326278,0.0353779510271,0.145992375251,1,1,True
2026-06-18,rank_d1_low_ma10_pct,-0.0973083883515,0.0432451793144,-0.140553567666,-1,1,False
2026-06-18,rank_days_since_d0,0.0198633245555,0.0196430089518,0.000220315603786,1,1,True
2026-06-18,rank_log_candidate_base_price,0.0917476083706,0.0630954768357,0.0286521315349,1,1,True
2026-06-18,rank_theme_score,0.058778812982,0.0394145402327,0.0193642727492,1,1,True
2026-06-18,rank_total_score,0.0907525910686,-0.00616094291099,0.0969135339796,1,-1,False
2026-06-18,rank_trend_hold_score,0.0652759024128,0.0121870495357,0.0530888528771,1,1,True
2026-06-18,spread_close_low,0.043669795713,-0.000759391328191,0.0444291870412,1,-1,False
2026-06-22,INTERCEPT,0.440101916361,-0.106955550964,0.547057467325,1,-1,False
2026-06-22,days_since_d0_eq2,0,0,0,0,0,True
2026-06-22,days_since_d0_ge3,-0.048944345627,-0.106397094024,0.0574527483969,-1,-1,True
2026-06-22,days_since_d0_le1,0.048944345627,0.106397094024,-0.0574527483969,1,1,True
2026-06-22,inter_close_low,-0.0974976897812,0.0463028195159,-0.143800509297,-1,1,False
2026-06-22,inter_close_trend,0.0142153772459,0.0259761113693,-0.0117607341234,1,1,True
2026-06-22,inter_low_active,-0.0935857789856,0.0594760428711,-0.153061821857,-1,1,False
2026-06-22,inter_total_active,0.00715217149695,0.0432188732714,-0.0360667017744,1,1,True
2026-06-22,inter_total_trend,0.102007719691,0.0144785856825,0.0875291340085,1,1,True
2026-06-22,rank_active_money_score,-0.0469637260176,0.0545253825509,-0.101489108568,-1,1,False
