signal_date,board3_candidate_count,unified_rank1_code,board3_only_rank1_code,unified_rank1_target7,board3_only_rank1_target7,unified_rank1_loss,board3_only_rank1_loss,unified_rank1_capped,board3_only_rank1_capped,rank1_delta,rank1_target7_delta,rank1_loss_delta,unified_top2_capped,board3_only_top2_capped,top2_delta
2026-06-12,1,000048,000048,0,0,1,1,-0.0215053763441,-0.0215053763441,0,0,0,-0.0215053763441,-0.0215053763441,0
2026-06-16,2,601958,000510,0,0,0,1,0.0439285714286,-0.0145310435931,-0.0584596150217,0,1,0.0146987639177,0.0146987639177,0
2026-06-17,1,605198,605198,0,0,1,1,-0.0212765957447,-0.0212765957447,0,0,0,-0.0212765957447,-0.0212765957447,0
2026-06-18,8,603186,002080,0,0,0,0,0.0454831800428,0.0197681513118,-0.0257150287311,0,0,0.0125350286605,0.0170572956346,0.00452226697409
2026-06-22,2,002989,002989,0,0,0,0,0.0214190093708,0.0214190093708,0,0,0,0.0457095046854,0.0457095046854,0
2026-06-23,1,000811,000811,1,1,0,0,0.07,0.07,0,0,0,0.07,0.07,0
2026-06-24,2,600851,002068,0,0,1,0,-0.036815920398,0.0647138964578,0.101529816856,0,-1,0.0139489880299,0.0139489880299,0
2026-06-25,2,605069,603938,1,1,0,0,0.07,0.07,0,0,0,0.07,0.07,0
