factor,model_membership,june_n,june_missing,june_mean,june_std,june_min,june_p01,june_p05,june_p25,june_median,june_p75,june_p95,june_p99,june_max,june_skew,july_n,july_mean,july_std,june_to_july_smd,june_to_july_ks,m1_vif,m2_vif,stationarity_flag
OPEN,"M1,M2",173,0,0.0007879132781910759,0.9979366193013909,-2.1687988741504753,-2.1679143331189685,-1.397592970778497,-0.6401399109500936,-0.21397401946448957,0.5923350451791719,2.0123107911125806,2.5739599641764856,2.5742125079488916,0.5322926335146988,160,-0.09839983048488529,1.1799457151472137,-0.09076998513060255,0.12456647398843929,1.2089002224849934,1.4762298013641229,
RESET,"M1,M2",173,0,-1.5401937913875002e-17,1.0,-2.139977234830286,-1.84178839604655,-1.411471971034181,-0.7262626550071346,-0.08965410931171439,0.6964037967184933,1.6842519647146106,2.2605913167833425,2.667846907145148,0.34927692672317223,160,0.232656906403996,1.0146449431549167,0.23095956478357715,0.12304913294797687,1.3395766554505015,1.7336399421278288,
HIGHZONE,"M1,M2",173,0,-0.008202073438157013,0.9716826834243147,-0.9598362905292701,-0.9598362905292701,-0.9598362905292701,-0.9598362905292701,-0.19718383865318334,0.48682718624927324,2.031733876310583,2.7000472434660177,2.7040110866520957,1.0484682859018108,160,0.023147064010549705,0.8995462406607273,0.03348159981362293,0.06900289017341038,1.177884907693653,1.2282185333849833,
LATESELL,"M1,M2",173,0,-0.0028462228661479453,0.9929097966487729,-2.0030735264476256,-2.0030735264476256,-1.6488365399431955,-0.6192814067698412,-0.10582026038048112,0.5552698869458531,1.9334810522858354,2.284669727884996,2.3112353085934703,0.3087800593567502,160,0.10114720728392416,1.1030424989231067,0.09909592209855225,0.0773843930635838,1.031486504507703,1.0339225556982314,
MOM7,M2,173,0,0.0027549508107857813,0.9574537424658064,-1.924502207668459,-1.8558549867466465,-1.4618774087509823,-0.7840060988398347,-0.1029121483164923,0.658616438812041,1.668232908029732,1.917778659012679,1.9183432344232514,0.16828740285966676,160,-0.43957336768338795,0.8115240396915677,-0.49840183298850654,0.2402456647398844,,2.5890922989928313,
DAMAGE7,M2,173,0,-0.01521366074184639,0.9224987253345658,-1.3343984325680978,-1.3333008237181097,-1.1651213262745137,-0.706527401458801,-0.20542949166601795,0.46367135883864685,1.7905973989951418,2.8834937826479456,2.9101079217208916,1.0261224764527788,160,0.3863637515699222,0.9540596813303063,0.4279329939725903,0.2803829479768786,,1.6214900690918694,SHIFT_WATCH
REGIME,M2,173,0,0.16184971098265896,0.36831288605951423,0.0,,,,,,,,1.0,,160,0.13125,0.3376735664810025,,,,1.2085023111264748,
POS7,SENSITIVITY,173,0,0.006913457490186675,0.9781044304522466,-2.4571906748730856,-2.3193639216769646,-1.7811923665465912,-0.6409896958131459,0.0818886717223044,0.8489374456643788,1.393160168332883,1.513593477464096,1.5207972876146587,-0.5040703041092098,160,-0.35134296939331067,0.9799592497834698,-0.36592912657908494,0.17572254335260118,,,
TREND,SENSITIVITY,173,0,0.0025693430936541356,0.9592336522943299,-2.3403351492522813,-2.2569709782505516,-1.2854476206029264,-0.684410238186336,-0.08111354895229438,0.7144113713272177,1.7608248832040723,2.306662651367465,2.401675597519098,0.2678977627230942,160,-0.600587033083228,0.9507371565630626,-0.631580760820971,0.26878612716763006,,,SHIFT_WATCH
