lambda,date_weighted_oof_binary_pairwise_logloss,date_weighted_oof_binary_pairwise_auc,date_weighted_oof_binary_pair_accuracy,evaluable_signal_dates,strict_top3_mean_capped_return_EVALUATION_ONLY,available_winner_capture_EVALUATION_ONLY,selected_lambda
0.1,0.8608251535653224,0.49679132731330533,0.49679132731330533,26,0.028303312728020193,0.5370370370370371,0
0.3,0.7922658824485148,0.5016523154297879,0.5016523154297879,26,0.029569195949434975,0.5617283950617283,0
1.0,0.743198441146187,0.5018485254062177,0.5018485254062177,26,0.028571880924160617,0.5370370370370371,0
3.0,0.7139612500868336,0.4922891313001203,0.4922891313001203,26,0.0218847371050019,0.5123456790123456,0
10.0,0.6978435765465629,0.49926233971563644,0.49926233971563644,26,0.0260508059823136,0.5246913580246914,1
