model,primary_ab,rank1_capped_return,rank2_capped_return,rank3_capped_return,strict_top1_capped_return,strict_top2_capped_return,strict_top3_capped_return,up_to_3_capped_return,top1_target7_hit,strict_top3_target7_precision,available_winner_capture,group_A_winner_capture,all_repair_concordance,cross_threshold_concordance,within_non_target_concordance,within_target7_concordance,binary_pairwise_auc
HISTORICAL_BINARY_CROSS_DATE,0,0.028231244710682217,0.03450409848044114,0.016650345697803756,0.028231244710682217,0.030621800965395296,0.02553497065165339,0.027843723798417173,0.41379310344827586,0.35802469135802467,0.5432098765432098,0.5111111111111112,0.4994887115685435,0.5049845138581402,0.45400304823381743,0.5974506974506973,0.5049845138581402
CORRECTED_BINARY_SAME_DATE,1,0.017580120143014764,0.029771682110805626,0.0345456394976418,0.017580120143014764,0.022739831843749746,0.0260508059823136,0.028323984278687025,0.3448275862068966,0.3333333333333333,0.5246913580246914,0.4444444444444444,0.48798398730121423,0.49926233971563644,0.4402872768257383,0.5702260702260703,0.49926233971563644
REPAIR_SAME_DATE,1,0.016254684101969327,0.034519089528269514,0.01624059907189678,0.016254684101969327,0.02442714903122602,0.021115666118159963,0.023729198887923294,0.3448275862068966,0.37037037037037035,0.5555555555555556,0.5333333333333333,0.47925633540129337,0.5260040219243517,0.40885973001357623,0.5592833092833093,0.5260040219243517
ORACLE,0,0.06979761669737651,0.05820589958259358,0.05385115729154291,0.06979761669737651,0.0639981441524382,0.06101024388011463,0.06087242645939833,0.9310344827586207,0.7183908045977011,1.0,1.0,1.0,1.0,1.0,1.0,
DAILY_UNIVERSE,0,0.029985390794374654,0.02855629760845946,0.02783527964731143,0.029985390794374654,0.02855629760845946,0.02783527964731143,0.029985390794374654,0.37947213368105853,0.37947213368105853,,,0.5,0.5,0.5,0.5,
