signal_date,candidate_count,target7_count,daily_universe_mean_capped_return,rank1_event_id,rank1_capped_return,rank1_target7,rank2_event_id,rank2_capped_return,rank2_target7,rank3_event_id,rank3_capped_return,rank3_target7,strict_top1_capped_return,strict_top1_excess_vs_universe,strict_top1_beat_universe,strict_top2_capped_return,strict_top2_excess_vs_universe,strict_top2_beat_universe,strict_top3_capped_return,strict_top3_excess_vs_universe,strict_top3_beat_universe,up_to_3_capped_return,up_to_3_excess_vs_universe,top3_target7_hits,available_winner_capture,binary_evaluable
2026-05-20,10,5,0.030833752262373587,600903_2026-05-20,0.07,1,002552_2026-05-20,0.07,1,603206_2026-05-20,-0.00410888546481758,0,0.07,0.03916624773762642,1,0.07,0.03916624773762642,1,0.045297038178394144,0.014463285916020557,1,0.045297038178394144,0.014463285916020557,2,0.6666666666666666,1
2026-05-21,6,3,0.041710819835180483,605288_2026-05-21,0.042279411764706065,0,603938_2026-05-21,-0.04166666666666674,0,000417_2026-05-21,0.07,1,0.042279411764706065,0.0005685919295255817,1,0.00030637254901966227,-0.04140444728616082,0,0.023537581699346444,-0.01817323813583404,0,0.023537581699346444,-0.01817323813583404,1,0.3333333333333333,1
2026-05-22,1,1,0.07,003004_2026-05-22,0.07,1,,,0,,,0,0.07,0.0,0,,,0,,,0,0.07,0.0,1,1.0,0
2026-05-25,8,1,0.026854768241664752,002442_2026-05-25,0.002512562814070307,0,600611_2026-05-25,-0.05942275042444811,0,001225_2026-05-25,0.04924308334783367,0,0.002512562814070307,-0.024342205427594445,0,-0.028455093805188902,-0.055309862046853654,0,-0.0025557014208480444,-0.029410469662512796,0,-0.0025557014208480444,-0.029410469662512796,0,0.0,1
2026-05-26,18,5,0.01746823674148515,603661_2026-05-26,-0.007780979827089474,0,002432_2026-05-26,-0.060659340659340644,0,603936_2026-05-26,0.0030864197530864335,0,-0.007780979827089474,-0.025249216568574623,0,-0.03422016024321506,-0.05168839698470021,0,-0.021784633577781227,-0.03925287031926637,0,-0.021784633577781227,-0.03925287031926637,0,0.0,1
2026-05-27,10,6,0.05421494113734039,002552_2026-05-27,0.07,1,003036_2026-05-27,0.07,1,002185_2026-05-27,0.06699751861042191,0,0.07,0.015785058862659615,1,0.07,0.015785058862659615,1,0.06899917287014064,0.014784231732800246,1,0.06899917287014064,0.014784231732800246,2,0.6666666666666666,1
2026-05-28,4,3,0.035580719069439534,002771_2026-05-28,0.07,1,001257_2026-05-28,-0.06767712372224188,0,002251_2026-05-28,0.07,1,0.07,0.03441928093056047,1,0.0011614381388790618,-0.03441928093056047,0,0.024107625425919377,-0.011473093643520157,0,0.024107625425919377,-0.011473093643520157,2,0.6666666666666666,1
2026-05-29,3,1,0.013392068858581074,603989_2026-05-29,-0.032201914708442136,0,002579_2026-05-29,0.07,1,603032_2026-05-29,0.0023781212841853527,0,-0.032201914708442136,-0.04559398356702321,0,0.018899042645778935,0.005506973787197861,1,0.013392068858581074,0.0,0,0.013392068858581074,0.0,1,1.0,1
2026-06-01,4,1,0.027793661105589965,000090_2026-06-01,-0.02638522427440637,0,002806_2026-06-01,0.07,1,600110_2026-06-01,0.0451559934318555,0,-0.02638522427440637,-0.054178885379996336,0,0.021807387862796818,-0.005986273242793147,0,0.029590256385816378,0.001796595280226413,1,0.029590256385816378,0.001796595280226413,1,1.0,1
2026-06-02,2,1,0.04802378255945647,002608_2026-06-02,0.07,1,600011_2026-06-02,0.02604756511891293,0,,,0,0.07,0.02197621744054354,1,0.04802378255945647,0.0,0,,,0,0.04802378255945647,0.0,1,1.0,1
2026-06-03,7,1,-0.00475946733783925,600280_2026-06-03,-0.01253132832080206,0,002404_2026-06-03,0.029931972789115635,0,002579_2026-06-03,0.05402542372881358,0,-0.01253132832080206,-0.0077718609829628095,0,0.008700322234156788,0.013459789571996037,1,0.023808689399042387,0.028568156736881636,1,0.023808689399042387,0.028568156736881636,0,0.0,1
2026-06-04,6,0,-0.002864828664527752,600121_2026-06-04,-0.007092198581560294,0,600487_2026-06-04,0.06593749999999998,0,000700_2026-06-04,-0.06513409961685834,0,-0.007092198581560294,-0.004227369917032542,0,0.029422650709219844,0.032287479373747596,1,-0.0020962660661395516,0.0007685625983882005,1,-0.0020962660661395516,0.0007685625983882005,0,,0
2026-06-05,6,2,0.025619301511013715,600688_2026-06-05,0.0030211480362536403,0,001896_2026-06-05,0.07,1,605162_2026-06-05,-0.044991511035653575,0,0.0030211480362536403,-0.022598153474760074,0,0.03651057401812682,0.010891272507113109,1,0.009343212333533357,-0.016276089177480357,0,0.009343212333533357,-0.016276089177480357,1,0.5,1
2026-06-08,3,0,0.0133228381898118,600293_2026-06-08,-0.01728395061728394,0,000520_2026-06-08,-0.010940919037199293,0,003036_2026-06-08,0.06819338422391863,0,-0.01728395061728394,-0.03060678880709574,0,-0.014112434827241616,-0.027435273017053417,0,0.0133228381898118,0.0,0,0.0133228381898118,0.0,0,,0
2026-06-09,9,1,-0.0018516822650699624,002421_2026-06-09,-0.14210526315789485,0,603859_2026-06-09,0.06404129229592792,0,603500_2026-06-09,0.07,1,-0.14210526315789485,-0.1402535808928249,0,-0.03903198543098346,-0.0371803031659135,0,-0.002687990287322306,-0.0008363080222523436,0,-0.002687990287322306,-0.0008363080222523436,1,1.0,1
2026-06-10,7,4,0.04389499596509298,603186_2026-06-10,0.07,1,603929_2026-06-10,0.07,1,001696_2026-06-10,0.07,1,0.07,0.02610500403490703,1,0.07,0.02610500403490703,1,0.07,0.02610500403490703,1,0.07,0.02610500403490703,3,1.0,1
2026-06-11,10,2,0.028416248118709197,002636_2026-06-11,0.07,1,605318_2026-06-11,0.0456747404844291,0,603065_2026-06-11,0.028676470588235414,0,0.07,0.041583751881290806,1,0.05783737024221455,0.029421122123505356,1,0.04811707035755484,0.01970082223884564,1,0.04811707035755484,0.01970082223884564,1,0.5,1
