signal_date,candidate_count,universe,stage1_top3,capped_top3,limited_risk_top3,oracle_loss_backfill_top3,delta_limited_vs_stage1,veto_count,correct_loss_veto_count,false_target7_veto_count,false_positive_nontarget_veto_count,backfill_count,opportunity_bucket
2026-06-03,7,-0.00475946733784,-0.0676878130753,-0.0676878130753,-0.0676878130753,0.0279857988393,0,0,0,0,0,0,LOW
2026-06-04,6,-0.00286482866453,0.0218937463061,0.0218937463061,0.0218937463061,0.00254644596105,0,0,0,0,0,0,LOW
2026-06-05,6,0.025619301511,0.00934321233353,0.0476737160121,0.00934321233353,0.0476737160121,0,0,0,0,0,0,MID
2026-06-08,3,0.0133228381898,0.0133228381898,0.0133228381898,0.0133228381898,0.0133228381898,0,0,0,0,0,0,LOW
2026-06-09,9,-0.00185168226507,-0.00268799028732,-0.0685345259411,-0.00268799028732,0.0403136185382,0,0,0,0,0,0,LOW
2026-06-10,7,0.0438949959651,0.0520194647202,0.0351623218631,0.0520194647202,0.0520194647202,0,0,0,0,0,0,HIGH
2026-06-11,10,0.0284162481187,0.0618915801615,-0.00279762842823,0.0618915801615,0.0618915801615,0,0,0,0,0,0,MID
2026-06-12,8,0.0402314517339,0.0342842122589,0.0342842122589,0.0342842122589,0.0647860043736,0,0,0,0,0,0,HIGH
2026-06-15,3,0.0449404761905,0.0449404761905,0.0449404761905,0.0449404761905,0.0449404761905,0,0,0,0,0,0,HIGH
2026-06-16,7,0.0313373111972,0.0331325092785,0.0613095238095,0.0331325092785,0.0317339932228,0,0,0,0,0,0,MID
2026-06-17,17,0.0600758531775,0.0395744680851,0.0395744680851,0.0395744680851,0.07,0,0,0,0,0,0,HIGH
2026-06-18,15,0.0173110111058,-0.00646240583523,0.0191215418554,-0.00646240583523,0.0450837771182,0,0,0,0,0,0,LOW
2026-06-22,7,0.0465409922629,0.0513726177223,0.0513726177223,0.0513726177223,0.0513726177223,0,0,0,0,0,0,HIGH
2026-06-23,14,0.0506855532343,0.0357224130528,0.0681720430108,0.0357224130528,0.0357224130528,0,0,0,0,0,0,HIGH
2026-06-24,15,0.0219491613706,-0.00254027333041,0.00356037289536,-0.00254027333041,0.0271296765442,0,0,0,0,0,0,MID
2026-06-25,9,0.0244977531928,0.0428939192188,0.00576851109329,0.0428939192188,0.00576851109329,0,0,0,0,0,0,MID
2026-06-26,12,0.0160137516633,0.0316153530378,0.0114607265603,0.0316153530378,0.0280950307674,0,0,0,0,0,0,LOW
