test_date,intercept,beta_stage1_strength,beta_closing_completion_gap,beta_strength_x_gap,train_loss_rate,l2
2026-06-03,-1.46910236151,-0.00921535848557,-0.00973539267801,-0.00536013744603,0.185185185185,0.3
2026-06-04,-1.38738629749,-0.032037659388,-0.02898389947,-0.0239328920022,0.19298245614,0.3
2026-06-05,-1.48279289451,0.00535849176576,-0.0329057306022,-0.0149571860404,0.183333333333,0.3
2026-06-08,-1.33152408626,0.00591215024627,-0.0409694728042,-0.0226295652778,0.206349206349,0.3
2026-06-09,-1.31356560142,0.0149994592403,-0.0268052577587,-0.00474284365544,0.212121212121,0.3
2026-06-10,-1.25334398041,-0.0175949982894,-0.0262468363525,-0.0129835286274,0.217391304348,0.3
2026-06-11,-1.14626138662,-0.0129889381534,-0.036787380389,-0.0144895467371,0.236111111111,0.3
2026-06-12,-1.13317101071,-0.0109370324184,-0.026127386194,-0.00485475720458,0.24,0.3
2026-06-15,-1.18304236101,-0.0170687666803,-0.0184746635483,-0.00250852346092,0.230769230769,0.3
2026-06-16,-1.22457759749,-0.0265052001046,-0.0155453772711,-0.00484036737275,0.222222222222,0.3
2026-06-17,-1.20771288292,-0.0250093555148,-0.00719753994358,0.00245041646891,0.22619047619,0.3
2026-06-18,-1.25484372386,-0.0196106089636,-0.0130228439645,0.000656003407805,0.218390804598,0.3
2026-06-22,-1.2234073767,-0.0245656855173,-0.0209075363634,-0.00775871684956,0.222222222222,0.3
2026-06-23,-1.20067414737,-0.017980309447,-0.0334407267134,-0.0176556057551,0.225806451613,0.3
2026-06-24,-1.12788332737,-0.0147227754978,-0.031390701507,-0.0147542985906,0.239583333333,0.3
2026-06-25,-1.10753716976,-0.0204250505579,-0.0309329687203,-0.0154433526259,0.242424242424,0.3
2026-06-26,-1.20023909998,-0.0206954682541,-0.0329828834076,-0.0176576438645,0.225490196078,0.3
