source_column,admission_status,reason_codes,mechanism_group,target_blind,notes
v004a_probability,EXCLUDE_FORBIDDEN,FORBIDDEN_MODEL_FIELD|recognition_score/v004a/v002/v005 禁止作为输入,FORBIDDEN_AUDIT,True,
v004a_rank,EXCLUDE_FORBIDDEN,FORBIDDEN_MODEL_FIELD|recognition_score/v004a/v002/v005 禁止作为输入,FORBIDDEN_AUDIT,True,
is_v004a_top3,EXCLUDE_FORBIDDEN,FORBIDDEN_MODEL_FIELD|recognition_score/v004a/v002/v005 禁止作为输入,FORBIDDEN_AUDIT,True,
is_v004a_top10,EXCLUDE_FORBIDDEN,FORBIDDEN_MODEL_FIELD|recognition_score/v004a/v002/v005 禁止作为输入,FORBIDDEN_AUDIT,True,
is_v004a_top15,EXCLUDE_FORBIDDEN,FORBIDDEN_MODEL_FIELD|recognition_score/v004a/v002/v005 禁止作为输入,FORBIDDEN_AUDIT,True,
is_v002_scorable,EXCLUDE_FORBIDDEN,FORBIDDEN_MODEL_FIELD|recognition_score/v004a/v002/v005 禁止作为输入,FORBIDDEN_AUDIT,True,
v002_rank,EXCLUDE_FORBIDDEN,FORBIDDEN_MODEL_FIELD|recognition_score/v004a/v002/v005 禁止作为输入,FORBIDDEN_AUDIT,True,
is_v002_top3,EXCLUDE_FORBIDDEN,FORBIDDEN_MODEL_FIELD|recognition_score/v004a/v002/v005 禁止作为输入,FORBIDDEN_AUDIT,True,
is_v002_top10,EXCLUDE_FORBIDDEN,FORBIDDEN_MODEL_FIELD|recognition_score/v004a/v002/v005 禁止作为输入,FORBIDDEN_AUDIT,True,
is_v002_top15,EXCLUDE_FORBIDDEN,FORBIDDEN_MODEL_FIELD|recognition_score/v004a/v002/v005 禁止作为输入,FORBIDDEN_AUDIT,True,
d2_trade_date,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
d3_trade_date,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
d2_open,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
d2_high,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
d2_low,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
d2_close,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
