source_column,source_column_role,available_as_of,stage1_allowed_for_feature_analysis,source_or_formula,dtype,semantic_type,mechanism_group,unit_family,non_null_count,missing_count,missing_rate,unique_count,dominant_value,dominant_count,dominant_rate,min_value,max_value,exact_duplicate_group_id,canonical_source_column,mutual_exclusion_group_id,admission_status,primary_allowed,sensitivity_allowed,derive_only,reason_codes,preprocess_policy,target_blind,notes
recent_limit_up_count_20d,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column recent_limit_up_count_20d,int64,ordinal_count,BOARD_HISTORY,count,333,0,0.0,10,2,142,0.426426,2,11,,recent_limit_up_count_20d,,PRIMARY_RAW,True,False,False,DEFAULT_PRIMARY,RAW_ORDINAL,True,
recent_pool_appearance_count_10d,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column recent_pool_appearance_count_10d,int64,ordinal_count,BOARD_HISTORY,count,333,0,0.0,7,2,173,0.51952,1,8,,recent_pool_appearance_count_10d,,PRIMARY_RAW,True,False,False,DEFAULT_PRIMARY,RAW_ORDINAL,True,
recent_pool_appearance_count_20d,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column recent_pool_appearance_count_20d,int64,ordinal_count,BOARD_HISTORY,count,333,0,0.0,10,2,126,0.378378,1,10,,recent_pool_appearance_count_20d,,PRIMARY_RAW,True,False,False,DEFAULT_PRIMARY,RAW_ORDINAL,True,
max_board_streak_20d,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column max_board_streak_20d,int64,ordinal_count,BOARD_HISTORY,count,333,0,0.0,4,2,263,0.78979,2,8,,max_board_streak_20d,,PRIMARY_RAW,True,False,False,DEFAULT_PRIMARY,RAW_ORDINAL,True,
board_day_amount_rank,d0_feature,D0_CLOSE,True,copied unchanged from source v0.2.2 column board_day_amount_rank,float64,cross_section_amount_rank,D0_CROSS_SECTION,rank,299,34,0.102102,89,11.0,11,0.033033,1.0,127.0,,board_day_amount_rank,,SENSITIVITY_RAW,False,True,False,MISSING_LE_15PCT,CROSS_SECTION_RANK_SENSITIVITY,True,
board_day_turnover_rank,d0_feature,D0_CLOSE,True,copied unchanged from source v0.2.2 column board_day_turnover_rank,float64,cross_section_turnover_rank,D0_CROSS_SECTION,rank,299,34,0.102102,89,3.0,13,0.039039,1.0,126.0,,board_day_turnover_rank,,SENSITIVITY_RAW,False,True,False,MISSING_LE_15PCT,CROSS_SECTION_RANK_SENSITIVITY,True,
board_day_volume_rank,d0_feature,D0_CLOSE,True,copied unchanged from source v0.2.2 column board_day_volume_rank,float64,cross_section_volume_rank,D0_CROSS_SECTION,rank,324,9,0.027027,101,10.0,11,0.033033,1.0,126.0,,board_day_volume_rank,,SENSITIVITY_RAW,False,True,False,MISSING_LE_15PCT,CROSS_SECTION_RANK_SENSITIVITY,True,
recognition_score,existing_model_audit,D1_CLOSE,False,copied unchanged from source v0.2.2 column recognition_score,float64,existing_model_audit_forbidden,FORBIDDEN_AUDIT,model_audit,299,34,0.102102,283,0.7555555555555555,3,0.009009,0.0131233595800524,0.9935897435897436,,recognition_score,,EXCLUDE_FORBIDDEN,False,False,False,FORBIDDEN_MODEL_FIELD|recognition_score/v004a/v002/v005 禁止作为输入,NO_DIRECT_MODEL_INPUT,True,
break_open,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column break_open,float64,break_day_absolute_price,RAW_SCALE_SOURCE,price,333,0,0.0,318,3.88,3,0.009009,1.49,558.2,ED01,d1_open,,EXCLUDE_EXACT_DUPLICATE_ALIAS,False,False,False,EXACT_DUP_ALIAS,NO_DIRECT_MODEL_INPUT,True,精确重复别名: canonical=d1_open (ED01)
break_high,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column break_high,float64,break_day_absolute_price,RAW_SCALE_SOURCE,price,333,0,0.0,317,3.72,2,0.006006,1.53,594.0,ED02,d1_high,,EXCLUDE_EXACT_DUPLICATE_ALIAS,False,False,False,EXACT_DUP_ALIAS,NO_DIRECT_MODEL_INPUT,True,精确重复别名: canonical=d1_high (ED02)
