signal_date,feature,count,target7_rate,top_quantile_target7_rate,bottom_quantile_target7_rate,quantile_rate_spread,corr_target7,direction_hint
2026-06-08,active_cooling_score,48,0.22916666666666666,0.3333333333333333,0.1875,0.14583333333333331,0.13894812013758523,higher_better
2026-06-09,active_cooling_score,35,0.37142857142857144,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.022451759435894593,higher_better
2026-06-10,active_cooling_score,118,0.2966101694915254,0.28888888888888886,0.21621621621621623,0.07267267267267263,0.08389166878253675,higher_better
2026-06-11,active_cooling_score,171,0.3216374269005848,0.391304347826087,0.29508196721311475,0.09622238061297222,0.024277905856311018,higher_better
2026-06-12,active_cooling_score,174,0.5229885057471264,0.5945945945945946,0.4642857142857143,0.13030888030888033,0.16043135967360736,higher_better
2026-06-15,active_cooling_score,66,0.15151515151515152,0.16666666666666666,0.16666666666666666,0.0,0.009727061939033098,flat
2026-06-16,active_cooling_score,96,0.4375,0.5277777777777778,0.34615384615384615,0.18162393162393164,0.1960435398607983,higher_better
2026-06-17,active_cooling_score,169,0.3609467455621302,0.37681159420289856,0.28205128205128205,0.09476031215161651,0.04161618576360081,higher_better
2026-06-18,active_cooling_score,210,0.37142857142857144,0.36046511627906974,0.3,0.06046511627906975,0.036446884233052264,higher_better
2026-06-23,active_cooling_score,91,0.43956043956043955,0.4827586206896552,0.38095238095238093,0.10180623973727426,0.07554689697213425,higher_better
2026-06-24,active_cooling_score,155,0.27741935483870966,0.34,0.23076923076923078,0.10923076923076924,0.03829660846526713,higher_better
2026-06-25,active_cooling_score,215,0.20465116279069767,0.19101123595505617,0.20967741935483872,-0.018666183399782543,-0.0023851560022505355,lower_better
2026-06-08,active_money_score,48,0.22916666666666666,0.08333333333333333,0.2727272727272727,-0.1893939393939394,-0.12043767358707988,lower_better
2026-06-09,active_money_score,35,0.37142857142857144,0.14285714285714285,0.2857142857142857,-0.14285714285714285,0.05750610052154001,lower_better
2026-06-10,active_money_score,118,0.2966101694915254,0.2692307692307692,0.21428571428571427,0.054945054945054944,0.05469385782078258,higher_better
2026-06-11,active_money_score,171,0.3216374269005848,0.3157894736842105,0.35714285714285715,-0.04135338345864664,-0.0162717801907389,lower_better
2026-06-12,active_money_score,174,0.5229885057471264,0.34146341463414637,0.5689655172413793,-0.22750210260723297,-0.198193302812225,lower_better
2026-06-15,active_money_score,66,0.15151515151515152,0.125,0.06666666666666667,0.058333333333333334,0.12381793689595973,higher_better
2026-06-16,active_money_score,96,0.4375,0.25,0.5384615384615384,-0.28846153846153844,-0.21212745191584956,lower_better
2026-06-17,active_money_score,169,0.3609467455621302,0.35135135135135137,0.358974358974359,-0.007623007623007605,0.047008142788860466,lower_better
2026-06-18,active_money_score,210,0.37142857142857144,0.4444444444444444,0.25,0.19444444444444442,0.13715973178803437,higher_better
