left_feature,right_feature,pair_rule,count,target7_count,target7_rate,target7_rate_lift_vs_base,feature_corr
total_score,d1_close_ma10_pct,both_top_30pct,332,147,0.4427710843373494,0.10491578717972666,0.7669094045745334
total_score,theme_score,both_top_30pct,344,151,0.438953488372093,0.10109819121447028,0.17255398663467006
total_score,active_money_score,both_top_30pct,190,83,0.4368421052631579,0.09898680810553517,0.13167015552923794
total_score,consecutive_boards,both_top_30pct,468,204,0.4358974358974359,0.09804213873981316,0.21265938440100415
total_score,trend_hold_score,both_top_30pct,374,163,0.4358288770053476,0.09797357984772487,0.8480667406571543
theme_score,d1_low_ma10_pct,both_top_30pct,327,142,0.43425076452599387,0.09639546736837112,0.10910565390924407
total_score,graph_quality_score,both_top_30pct,435,188,0.432183908045977,0.09432861088835426,0.8306684270672656
theme_score,trend_hold_score,both_top_30pct,359,155,0.43175487465181056,0.09389957749418781,0.10775572142434006
total_score,d1_low_ma10_pct,both_top_30pct,348,150,0.43103448275862066,0.09317918560099792,0.795311984603982
total_score,low_absorb_width_pct,both_top_30pct,119,51,0.42857142857142855,0.0907161314138058,-0.16354932501854239
total_score,invalid_distance_pct,both_top_30pct,119,51,0.42857142857142855,0.0907161314138058,-0.16354932501854239
total_score,active_cooling_score,both_top_30pct,188,80,0.425531914893617,0.08767661773599428,0.1615257111167053
total_score,entry_width_score,both_top_30pct,217,92,0.423963133640553,0.08610783648293024,0.14741052126152962
active_cooling_score,d1_close_vwap_pct,both_top_30pct,124,52,0.41935483870967744,0.08149954155205469,-0.2846644377347768
graph_quality_score,trend_hold_score,both_top_30pct,397,165,0.4156171284634761,0.07776183130585335,0.6314419791100455
graph_quality_score,d1_low_ma10_pct,both_top_30pct,365,151,0.4136986301369863,0.07584333297936358,0.6382920707982345
active_cooling_score,theme_score,both_top_30pct,380,157,0.4131578947368421,0.07530259757921937,-0.0023505829116972016
trend_hold_score,d1_close_ma10_pct,both_top_30pct,388,160,0.41237113402061853,0.07451583686299579,0.8601727859495774
total_score,d1_close_vwap_pct,both_top_30pct,199,82,0.4120603015075377,0.07420500434991495,0.1969727987189144
entry_width_score,d1_low_ma10_pct,both_top_30pct,211,86,0.4075829383886256,0.06972764123100283,0.051465981178987
d1_low_ma10_pct,d1_close_ma10_pct,both_top_30pct,371,151,0.40700808625336926,0.06915278909574651,0.9353170843034664
active_cooling_score,d1_low_ma10_pct,both_top_30pct,118,48,0.4067796610169492,0.06892436385932643,-0.19479347541837352
trend_hold_score,entry_width_score,both_top_30pct,239,97,0.40585774058577406,0.06800244342815132,0.05320725476639112
entry_width_score,d1_close_ma10_pct,both_top_30pct,196,79,0.4030612244897959,0.06520592733217317,0.04613379079058924
trend_hold_score,d1_low_ma10_pct,both_top_30pct,465,187,0.4021505376344086,0.06429524047678586,0.9139697216415649
d1_low_ma10_pct,consecutive_boards,both_top_30pct,465,187,0.4021505376344086,0.06429524047678586,0.3388302050560312
active_cooling_score,trend_hold_score,both_top_30pct,137,55,0.40145985401459855,0.0636045568569758,-0.17098859641181458
trend_hold_score,consecutive_boards,both_top_30pct,516,207,0.4011627906976744,0.06330749354005166,0.3066779761028629
trend_hold_score,low_absorb_width_pct,both_top_30pct,145,58,0.4,0.062144702842377275,-0.10675034214170888
trend_hold_score,invalid_distance_pct,both_top_30pct,145,58,0.4,0.062144702842377275,-0.10675034214170888
graph_quality_score,active_cooling_score,both_top_30pct,223,89,0.3991031390134529,0.061247841855830154,-0.1707412529812519
d1_low_ma10_pct,low_absorb_width_pct,both_top_30pct,133,53,0.39849624060150374,0.06064094344388099,-0.11514540616040846
d1_low_ma10_pct,invalid_distance_pct,both_top_30pct,133,53,0.39849624060150374,0.06064094344388099,-0.11514540616040846
graph_quality_score,d1_close_ma10_pct,both_top_30pct,386,153,0.3963730569948187,0.058517759837195926,0.724559924687825
active_money_score,trend_hold_score,both_top_30pct,268,106,0.39552238805970147,0.05766709090207872,0.32533655342899137
graph_quality_score,theme_score,both_top_30pct,473,187,0.3953488372093023,0.05749354005167956,0.08190766004536906
theme_score,d1_close_ma10_pct,both_top_30pct,332,131,0.39457831325301207,0.05672301609538932,0.1219627397837654
active_money_score,d1_low_ma10_pct,both_top_30pct,247,97,0.39271255060728744,0.05485725344966469,0.3387260322784294
total_score,days_since_d0,both_top_30pct,238,93,0.3907563025210084,0.052901005363385656,-0.09891560695307383
total_score,support_score,both_top_30pct,225,87,0.38666666666666666,0.04881136950904391,0.3391421197851101
graph_quality_score,consecutive_boards,both_top_30pct,679,262,0.3858615611192931,0.04800626396167035,0.1548463191669279
d1_close_ma10_pct,consecutive_boards,both_top_30pct,465,179,0.3849462365591398,0.04709093940151704,0.3311528078303568
active_cooling_score,d1_close_ma10_pct,both_top_30pct,99,38,0.3838383838383838,0.045983086680761065,-0.3229411977470321
graph_quality_score,entry_width_score,both_top_30pct,273,104,0.38095238095238093,0.043097083794758184,0.0017895524739226132
graph_quality_score,low_absorb_width_pct,both_top_30pct,210,80,0.38095238095238093,0.043097083794758184,-0.03190861569574815
graph_quality_score,invalid_distance_pct,both_top_30pct,210,80,0.38095238095238093,0.043097083794758184,-0.03190861569574815
trend_hold_score,d1_close_vwap_pct,both_top_30pct,185,70,0.3783783783783784,0.04052308122075565,0.1439160351381898
d1_low_ma10_pct,d1_close_vwap_pct,both_top_30pct,168,63,0.375,0.03714470284237725,0.1588398288745771
support_score,trend_hold_score,both_top_30pct,207,77,0.3719806763285024,0.034125379170879655,0.27446104486332995
theme_score,consecutive_boards,both_top_30pct,994,369,0.37122736418511065,0.033372067027487906,0.1194758018778829
active_cooling_score,consecutive_boards,both_top_30pct,575,213,0.37043478260869567,0.03257948545107292,-0.15993149708213947
trend_hold_score,days_since_d0,both_top_30pct,225,83,0.3688888888888889,0.03103359173126613,-0.1987730610296824
active_money_score,d1_close_ma10_pct,both_top_30pct,296,109,0.36824324324324326,0.03038794608562051,0.4807437468309577
graph_quality_score,days_since_d0,both_top_30pct,365,134,0.36712328767123287,0.02926799051361012,-0.023757959080524617
d1_close_ma10_pct,low_absorb_width_pct,both_top_30pct,142,52,0.36619718309859156,0.028341885940968814,-0.11972345566615
d1_close_ma10_pct,invalid_distance_pct,both_top_30pct,142,52,0.36619718309859156,0.028341885940968814,-0.11972345566615
support_score,d1_low_ma10_pct,both_top_30pct,189,69,0.36507936507936506,0.027224067921742312,0.2860767257849064
theme_score,entry_width_score,both_top_30pct,431,157,0.3642691415313225,0.026413844373699757,0.0033570874591662483
active_cooling_score,low_absorb_width_pct,both_top_30pct,162,59,0.36419753086419754,0.02634223370657479,0.039380318064635836
active_cooling_score,invalid_distance_pct,both_top_30pct,162,59,0.36419753086419754,0.02634223370657479,0.039380318064635836
theme_score,days_since_d0,both_top_30pct,553,200,0.3616636528028933,0.023808355645270562,-0.04807649742195706
d1_low_ma10_pct,days_since_d0,both_top_30pct,202,73,0.3613861386138614,0.023530841456238627,-0.20058083941192667
active_cooling_score,days_since_d0,both_top_30pct,382,138,0.3612565445026178,0.023401247344995046,0.07423994002196474
graph_quality_score,support_score,both_top_30pct,300,108,0.36,0.02214470284237724,0.4945556230184644
theme_score,low_absorb_width_pct,both_top_30pct,307,110,0.3583061889250814,0.02045089176745868,-0.008625283094103002
theme_score,invalid_distance_pct,both_top_30pct,307,110,0.3583061889250814,0.02045089176745868,-0.008625283094103002
graph_quality_score,active_money_score,both_top_30pct,305,109,0.35737704918032787,0.01952175202270512,0.29829817106069584
graph_quality_score,d1_close_vwap_pct,both_top_30pct,290,102,0.35172413793103446,0.013868840773411717,0.4006570380944306
active_cooling_score,support_score,both_top_30pct,162,56,0.345679012345679,0.007823715188056246,-0.23468510417229466
support_score,d1_close_ma10_pct,both_top_30pct,259,89,0.3436293436293436,0.005774046471720862,0.509923784712993
support_score,theme_score,both_top_30pct,341,117,0.34310850439882695,0.005253207241204205,0.06552740789555919
theme_score,d1_close_vwap_pct,both_top_30pct,312,106,0.33974358974358976,0.0018882925859670108,0.06028373397310997
d1_close_ma10_pct,d1_close_vwap_pct,both_top_30pct,245,83,0.33877551020408164,0.0009202130464588953,0.42982688832191546
active_cooling_score,entry_width_score,both_top_30pct,249,84,0.3373493975903614,-0.0005058995672613253,0.004604705539343517
entry_width_score,consecutive_boards,both_top_30pct,676,227,0.33579881656804733,-0.0020564805895754157,0.05596569911464345
entry_width_score,days_since_d0,both_top_30pct,381,126,0.33070866141732286,-0.007146635740299889,0.01922235282774314
low_absorb_width_pct,invalid_distance_pct,both_top_30pct,465,153,0.32903225806451614,-0.00882303909310661,0.9999999999999998
low_absorb_width_pct,consecutive_boards,both_top_30pct,465,153,0.32903225806451614,-0.00882303909310661,-0.045582306611777215
invalid_distance_pct,consecutive_boards,both_top_30pct,465,153,0.32903225806451614,-0.00882303909310661,-0.045582306611777215
entry_width_score,d1_close_vwap_pct,both_top_30pct,190,62,0.3263157894736842,-0.011539507683938521,-0.014401050841647485
support_score,entry_width_score,both_top_30pct,227,74,0.32599118942731276,-0.011864107730309992,1.0219505400584078e-05
d1_close_ma10_pct,days_since_d0,both_top_30pct,227,74,0.32599118942731276,-0.011864107730309992,-0.1808132645731377
support_score,d1_close_vwap_pct,both_top_30pct,390,127,0.32564102564102565,-0.012214271516597097,0.8011411781382868
days_since_d0,consecutive_boards,both_top_30pct,876,284,0.3242009132420091,-0.013654383915613633,-0.1539521008210711
support_score,consecutive_boards,both_top_30pct,502,160,0.3187250996015936,-0.019130197556029127,0.05908546035764376
active_money_score,entry_width_score,both_top_30pct,223,71,0.3183856502242152,-0.019469646933407525,-0.03837073080196603
active_money_score,theme_score,both_top_30pct,340,108,0.3176470588235294,-0.020208238334093354,0.028015014442199244
