event_id,signal_date,code,board_group,stage1_score,stage1_rank,top1,top2,top3,d2_date,d3_date,d2_open_daily,d3_high_daily,target7,positive_non_target,loss,severe_loss,raw_repair_return,capped_return_7
603629_2026-07-23,2026-07-23,603629,BOARD2,0.593083467269,1,True,True,True,2026-07-24,2026-07-27,114,118,0,1,0,0,0.0350877192982,0.0350877192982
603118_2026-07-23,2026-07-23,603118,BOARD2,0.572435628525,2,False,True,True,2026-07-24,2026-07-27,15.75,16.76,0,1,0,0,0.064126984127,0.064126984127
603407_2026-07-23,2026-07-23,603407,BOARD2,0.565203916724,3,False,False,True,2026-07-24,2026-07-27,59.62,61.35,0,1,0,0,0.0290171083529,0.0290171083529
002213_2026-07-23,2026-07-23,002213,BOARD2,0.553237520933,4,False,False,False,2026-07-24,2026-07-27,27.16,27.8,0,1,0,0,0.0235640648012,0.0235640648012
600722_2026-07-24,2026-07-24,600722,BOARD2,0.597274045642,1,True,True,True,2026-07-27,2026-07-28,10.29,9.26,0,0,1,1,-0.10009718173,-0.10009718173
603619_2026-07-24,2026-07-24,603619,BOARD2,0.580585012838,2,False,True,True,2026-07-27,2026-07-28,20.43,21.31,0,1,0,0,0.0430739109153,0.0430739109153
000603_2026-07-24,2026-07-24,000603,BOARD3,0.577388907184,3,False,False,True,2026-07-27,2026-07-28,25.14,24.54,0,0,1,0,-0.0238663484487,-0.0238663484487
600396_2026-07-24,2026-07-24,600396,BOARD2,0.565572303675,4,False,False,False,2026-07-27,2026-07-28,14,17.21,1,0,0,0,0.229285714286,0.07
002197_2026-07-24,2026-07-24,002197,BOARD3,0.561922985302,5,False,False,False,2026-07-27,2026-07-28,6.55,6.85,0,1,0,0,0.0458015267176,0.0458015267176
605162_2026-07-24,2026-07-24,605162,BOARD2,0.559648689791,6,False,False,False,2026-07-27,2026-07-28,7.78,9.23,1,0,0,0,0.186375321337,0.07
002412_2026-07-24,2026-07-24,002412,BOARD2,0.545941355363,7,False,False,False,2026-07-27,2026-07-28,6.94,7.45,1,0,0,0,0.0734870317003,0.07
603988_2026-07-24,2026-07-24,603988,BOARD2,0.54483073178,8,False,False,False,2026-07-27,2026-07-28,15.68,18.4,1,0,0,0,0.173469387755,0.07
002900_2026-07-24,2026-07-24,002900,BOARD2,0.544781193409,9,False,False,False,2026-07-27,2026-07-28,10.88,13.61,1,0,0,0,0.250919117647,0.07
002300_2026-07-27,2026-07-27,002300,BOARD2,0.540785162846,1,True,True,True,2026-07-28,2026-07-29,7.32,7.4,0,1,0,0,0.0109289617486,0.0109289617486
600698_2026-07-27,2026-07-27,600698,BOARD2,0.537609145297,2,False,True,True,2026-07-28,2026-07-29,6.76,6.61,0,0,1,0,-0.0221893491124,-0.0221893491124
002083_2026-07-27,2026-07-27,002083,BOARD2,0.537218022691,3,False,False,True,2026-07-28,2026-07-29,11.8,11.88,0,1,0,0,0.00677966101695,0.00677966101695
002498_2026-07-27,2026-07-27,002498,BOARD2,0.53606591701,4,False,False,False,2026-07-28,2026-07-29,6.76,7.19,0,1,0,0,0.0636094674556,0.0636094674556
000011_2026-07-27,2026-07-27,000011,BOARD2,0.53493691153,5,False,False,False,2026-07-28,2026-07-29,8.28,8.05,0,0,1,0,-0.0277777777778,-0.0277777777778
002298_2026-07-27,2026-07-27,002298,BOARD2,0.532266021251,6,False,False,False,2026-07-28,2026-07-29,8.3,8.77,0,1,0,0,0.0566265060241,0.0566265060241
000595_2026-07-27,2026-07-27,000595,BOARD3,0.528506316943,7,False,False,False,2026-07-28,2026-07-29,5.84,5.42,0,0,1,1,-0.0719178082192,-0.0719178082192
600984_2026-07-27,2026-07-27,600984,BOARD2,0.522637153302,8,False,False,False,2026-07-28,2026-07-29,4,4.05,0,1,0,0,0.0125,0.0125
002218_2026-07-27,2026-07-27,002218,BOARD2,0.518956974715,9,False,False,False,2026-07-28,2026-07-29,4.12,4.08,0,0,1,0,-0.00970873786408,-0.00970873786408
003001_2026-07-27,2026-07-27,003001,BOARD2,0.511878008034,10,False,False,False,2026-07-28,2026-07-29,19.2,19.43,0,1,0,0,0.0119791666667,0.0119791666667
000668_2026-07-27,2026-07-27,000668,BOARD2,0.511409053522,11,False,False,False,2026-07-28,2026-07-29,18.95,20.3,1,0,0,0,0.0712401055409,0.07
603956_2026-07-27,2026-07-27,603956,BOARD2,0.508787074065,12,False,False,False,2026-07-28,2026-07-29,6.05,6.42,0,1,0,0,0.0611570247934,0.0611570247934
002199_2026-07-27,2026-07-27,002199,BOARD2,0.506559958521,13,False,False,False,2026-07-28,2026-07-29,10.72,13.39,1,0,0,0,0.249067164179,0.07
601606_2026-07-28,2026-07-28,601606,BOARD3,0.586931641604,1,True,True,True,2026-07-29,2026-07-30,33,36.21,1,0,0,0,0.0972727272727,0.07
600617_2026-07-28,2026-07-28,600617,BOARD2,0.572382697336,2,False,True,True,2026-07-29,2026-07-30,3.29,3.51,0,1,0,0,0.0668693009119,0.0668693009119
603690_2026-07-28,2026-07-28,603690,BOARD2,0.56335371394,3,False,False,True,2026-07-29,2026-07-30,25.1,23.97,0,0,1,0,-0.0450199203187,-0.0450199203187
002388_2026-07-29,2026-07-29,002388,BOARD3,0.584032243038,1,True,True,True,2026-07-30,2026-07-31,4.99,4.76,0,0,1,0,-0.0460921843687,-0.0460921843687
