rank,rows,dates,target7,target7_rate,pnt,pnt_rate,loss,loss_rate,severe_loss,severe_loss_rate,raw_mean,raw_median,capped_mean,capped_median,worst_raw,universe_target7_rate,universe_loss_rate,universe_capped_mean,forward_value
1,23,23,6,0.260869565217,10,0.434782608696,7,0.304347826087,3,0.130434782609,0.0385958551168,0.0350877192982,0.0172026207819,0.0350877192982,-0.10009718173,0.257991715139,0.331425718207,0.01991989278,PARTIAL
2,23,23,6,0.260869565217,8,0.347826086957,9,0.391304347826,3,0.130434782609,0.0284468763784,0.0430739109153,0.0145947462994,0.0430739109153,-0.130864197531,0.257991715139,0.331425718207,0.01991989278,PARTIAL
3,21,21,6,0.285714285714,7,0.333333333333,8,0.380952380952,0,0,0.0314915290468,0.00766283524904,0.0187819716304,0.00766283524904,-0.0450199203187,0.282562354676,0.291561500894,0.0244923602074,PARTIAL
