signal_date,candidate_count,universe_target7_rate,universe_loss_rate,universe_raw,universe_capped,rank1_code,rank1_board,rank1_raw,rank1_capped,rank1_target7,rank1_loss,rank2_code,rank2_board,rank2_raw,rank2_capped,rank2_target7,rank2_loss,rank3_code,rank3_board,rank3_raw,rank3_capped,rank3_target7,rank3_loss,top2_raw,top2_capped,top2_target7_rate,top2_loss_rate,top2_severe_loss_rate,top2_worst_stock,top2_worst_contribution,top3_raw,top3_capped,top3_target7_rate,top3_loss_rate,top3_severe_loss_rate,top3_worst_stock,top3_worst_contribution,top2_minus_top3
2026-07-17,5,0,0.6,0.00650671022867,0.00650671022867,002365,BOARD2,0.0580204778157,0.0580204778157,0,0,000504,BOARD2,-0.0404761904762,-0.0404761904762,0,1,002739,BOARD2,-0.00104275286757,-0.00104275286757,0,1,0.00877214366975,0.00877214366975,0,0.5,0,-0.0404761904762,-0.0202380952381,0.00550051149064,0.00550051149064,0,0.666666666667,0,-0.0404761904762,-0.0134920634921,0.00327163217911
2026-07-20,6,0.666666666667,0.333333333333,0.0771284934059,0.0401444694665,000676,BOARD3,0.13679245283,0.07,1,0,603567,BOARD2,0.122082585278,0.07,1,0,002677,BOARD3,-0.0123266563945,-0.0123266563945,0,1,0.129437519054,0.07,1,0,0,0.122082585278,0.061041292639,0.0821827939045,0.0425577812018,0.666666666667,0.333333333333,0,-0.0123266563945,-0.00410888546483,0.0274422187982
2026-07-21,7,1,0,0.165381954666,0.07,000722,BOARD2,0.0816473988439,0.07,1,0,600644,BOARD2,0.236559139785,0.07,1,0,600236,BOARD2,0.133209990749,0.07,1,0,0.159103269314,0.07,1,0,0,0.0816473988439,0.040823699422,0.150472176459,0.07,1,0,0,0.0816473988439,0.0272157996146,0
2026-07-22,2,0,1,-0.0245200853181,-0.0245200853181,000889,BOARD2,-0.0283505154639,-0.0283505154639,0,1,002036,BOARD2,-0.0206896551724,-0.0206896551724,0,1,,,,,,,-0.0245200853181,-0.0245200853181,0,1,0,-0.0283505154639,-0.014175257732,,,,,,,,
2026-07-23,4,0,0,0.0379489691448,0.0379489691448,603629,BOARD2,0.0350877192982,0.0350877192982,0,0,603118,BOARD2,0.064126984127,0.064126984127,0,0,603407,BOARD2,0.0290171083529,0.0290171083529,0,0,0.0496073517126,0.0496073517126,0,0,0,0.0350877192982,0.0175438596491,0.0427439372594,0.0427439372594,0,0,0,0.0290171083529,0.00967236945097,0.00686341445323
2026-07-24,9,0.555555555556,0.222222222222,0.0976053866866,0.0349902119394,600722,BOARD2,-0.10009718173,-0.10009718173,0,1,603619,BOARD2,0.0430739109153,0.0430739109153,0,0,000603,BOARD3,-0.0238663484487,-0.0238663484487,0,1,-0.0285116354073,-0.0285116354073,0,0.5,0.5,-0.10009718173,-0.050048590865,-0.0269632064211,-0.0269632064211,0,0.666666666667,0.333333333333,-0.10009718173,-0.0333657272433,-0.00154842898622
2026-07-27,13,0.153846153846,0.307692307692,0.0317149526501,0.0178451626717,002300,BOARD2,0.0109289617486,0.0109289617486,0,0,600698,BOARD2,-0.0221893491124,-0.0221893491124,0,1,002083,BOARD2,0.00677966101695,0.00677966101695,0,0,-0.0056301936819,-0.0056301936819,0,0.5,0,-0.0221893491124,-0.0110946745562,-0.00149357544895,-0.00149357544895,0,0.333333333333,0,-0.0221893491124,-0.00739644970413,-0.00413661823295
2026-07-28,3,0.333333333333,0.333333333333,0.0397073692886,0.0306164601977,601606,BOARD3,0.0972727272727,0.07,1,0,600617,BOARD2,0.0668693009119,0.0668693009119,0,0,603690,BOARD2,-0.0450199203187,-0.0450199203187,0,1,0.0820710140923,0.068434650456,0.5,0,0,0.0668693009119,0.033434650456,0.0397073692886,0.0306164601977,0.333333333333,0.333333333333,0,-0.0450199203187,-0.0150066401062,0.0378181902582
2026-07-29,10,0.1,0.4,0.0122173404136,0.00894211105584,002388,BOARD3,-0.0460921843687,-0.0460921843687,0,1,002969,BOARD2,0.0433734939759,0.0433734939759,0,0,002173,BOARD2,0.0153617443013,0.0153617443013,0,0,-0.0013593451964,-0.0013593451964,0,0.5,0,-0.0460921843687,-0.0230460921844,0.00421435130283,0.00421435130283,0,0.333333333333,0,-0.0460921843687,-0.0153640614562,-0.00557369649923
2026-07-30,7,0.428571428571,0.142857142857,0.0511087221865,0.0338547771918,603580,BOARD2,0.045256916996,0.045256916996,0,0,002199,BOARD2,0.0167046317388,0.0167046317388,0,0,600693,BOARD2,0.149939540508,0.07,1,0,0.0309807743674,0.0309807743674,0,0,0,0.0167046317388,0.0083523158694,0.0706336964143,0.0439871829116,0.333333333333,0,0,0.0167046317388,0.0055682105796,-0.0130064085442
2026-07-31,5,0.2,0,0.0545034364614,0.0391922945288,002882,BOARD2,0.146555709663,0.07,1,0,600228,BOARD2,0.065306122449,0.065306122449,0,0,605388,BOARD2,0.0406779661017,0.0406779661017,0,0,0.105930916056,0.0676530612245,0.5,0,0,0.065306122449,0.0326530612245,0.0841799327379,0.0586613628502,0.333333333333,0,0,0.0406779661017,0.0135593220339,0.00899169837427
