portfolio,k,dates,selected_rows,target7,target7_precision,target7_capture,target7_lift,loss,loss_rate,severe_loss,severe_loss_rate,mean_raw,mean_capped,universe_raw,universe_capped,raw_excess,capped_excess,negative_date_rate,days_le_minus_3,rate_le_minus_3,days_le_minus_5,rate_le_minus_5,p10,p25,worst_day,worst_selected_stock,worst_name_contribution
TOP1,1,23,23,6,0.260869565217,0.130434782609,1.01115481587,7,0.304347826087,3,0.130434782609,0.0385958551168,0.0172026207819,0.0373389352437,0.01991989278,0.00125691987309,-0.00271727199806,0.304347826087,5,0.217391304348,3,0.130434782609,-0.0561093085278,-0.0193521343497,-0.10009718173,-0.10009718173,-0.10009718173
TOP2,2,23,46,12,0.260869565217,0.260869565217,1.01115481587,16,0.347826086957,6,0.130434782609,0.0335213657476,0.0158986835407,0.0373389352437,0.01991989278,-0.00381756949608,-0.00402120923934,0.391304347826,3,0.130434782609,2,0.0869565217391,-0.0310318831599,-0.0152048268527,-0.0875373619234,-0.130864197531,-0.0654320987655
TOP3,3,21,63,18,0.285714285714,0.391304347826,1.01115481587,21,0.333333333333,5,0.0793650793651,0.0367566507176,0.0196527763165,0.0435703590963,0.0244923602074,-0.00681370837869,-0.00483958389092,0.285714285714,2,0.0952380952381,1,0.047619047619,-0.0269632064211,-0.00149357544895,-0.0635404545889,-0.130864197531,-0.043621399177
