model_head,feature_a,feature_b,pearson,spearman
post_target,d1_oc_return_clipped,d1_repair_above_2_hinge,0.7647915294317531,0.8014484009680367
post_target,d1_oc_return_clipped,d1_high_to_close_drawdown_raw,-0.7102915084837758,-0.7359484476569352
post_target,d1_oc_return_clipped,d1_close_location,0.8183107305688684,0.8252410686519493
post_target,d1_oc_return_clipped,d1_close_to_vwap_raw,0.7465712661754628,0.7493730421926613
post_target,d1_oc_return_clipped,down_bar_volume_ratio,-0.6394198814871032,-0.7035825317828944
post_target,d1_repair_above_2_hinge,d1_repair_above_5_flag,0.8707119060011093,0.7255051516044237
post_target,d1_high_to_close_drawdown_raw,d1_close_location,-0.8036465718192397,-0.8558123490038941
post_target,d1_high_to_close_drawdown_raw,d1_close_to_vwap_raw,-0.8251222360673193,-0.848873293945858
post_target,d1_close_location,d1_close_to_vwap_raw,0.8575342453638631,0.9245226563381406
post_target,d1_close_location,volume_above_d1_close_ratio,-0.8868954931081547,-0.8946726816518724
post_target,d1_close_to_vwap_raw,volume_above_d1_close_ratio,-0.8336363171404867,-0.9003788281589533
post_target,break_volume_ratio_vs_board_days,break_volume_log_ratio,0.7938280942313607,1.0
post_target,break_volume_ratio_vs_board_days,break_volume_distance_from_one,0.80822644836483,0.9593070351297045
post_target,break_volume_log_ratio,break_volume_distance_from_one,0.8298217351447645,0.9593070351297045
post_target,break_high_to_close_drawdown,break_close_location,-0.8124043095301321,-0.8471394016062408
post_tail,d1_close_to_ma5_raw,ma5_gap_clipped,0.9960063222451887,0.9999998665405297
post_tail,d1_close_to_ma5_raw,ma5_below_minus_2_hinge,-0.6983285518075676,-0.7724516190674066
post_tail,d1_close_to_ma5_raw,ma5_above_5_hinge,0.7404741293315493,0.7929024896425436
post_tail,ma5_gap_clipped,ma5_below_minus_2_hinge,-0.6605887134221953,-0.7724513766106031
post_tail,ma5_gap_clipped,ma5_above_5_hinge,0.7540137236449324,0.7929025954629041
post_tail,d1_open_to_close_return_raw,d1_oc_return_clipped,0.9909481795114239,0.9999766436107932
post_tail,d1_open_to_close_return_raw,d1_repair_above_2_hinge,0.8020671755380508,0.8014862988374646
post_tail,d1_open_to_close_return_raw,d1_high_to_close_drawdown_raw,-0.7063738841967319,-0.7360734623523495
post_tail,d1_open_to_close_return_raw,d1_close_location,0.8069121485856031,0.8252832016238546
post_tail,d1_open_to_close_return_raw,d1_close_to_vwap_raw,0.7532785449889263,0.7494156639483657
post_tail,d1_open_to_close_return_raw,down_bar_volume_ratio,-0.6366761782423183,-0.7038787325454693
post_tail,d1_oc_return_clipped,d1_repair_above_2_hinge,0.7647915294317531,0.8014484009680367
post_tail,d1_oc_return_clipped,d1_high_to_close_drawdown_raw,-0.7102915084837758,-0.7359484476569352
post_tail,d1_oc_return_clipped,d1_close_location,0.8183107305688684,0.8252410686519493
post_tail,d1_oc_return_clipped,d1_close_to_vwap_raw,0.7465712661754628,0.7493730421926613
post_tail,d1_oc_return_clipped,down_bar_volume_ratio,-0.6394198814871032,-0.7035825317828944
post_tail,d1_repair_above_2_hinge,d1_repair_above_5_flag,0.8707119060011093,0.7255051516044237
post_tail,d1_high_to_close_drawdown_raw,d1_close_location,-0.8036465718192397,-0.8558123490038941
post_tail,d1_high_to_close_drawdown_raw,d1_close_to_vwap_raw,-0.8251222360673193,-0.848873293945858
post_tail,d1_close_location,d1_close_to_vwap_raw,0.8575342453638631,0.9245226563381406
post_tail,d1_close_location,volume_above_d1_close_ratio,-0.8868954931081547,-0.8946726816518724
post_tail,d1_close_to_vwap_raw,volume_above_d1_close_ratio,-0.8336363171404867,-0.9003788281589533
post_tail,break_volume_ratio_vs_board_days,break_volume_log_ratio,0.7938280942313607,1.0
post_tail,break_volume_ratio_vs_board_days,break_volume_distance_from_one,0.80822644836483,0.9593070351297045
post_tail,break_volume_log_ratio,break_volume_distance_from_one,0.8298217351447645,0.9593070351297045
post_tail,break_high_to_close_drawdown,break_close_location,-0.8124043095301321,-0.8471394016062408
