model_head,factor,bucket,bucket_n,bucket_target7_rate,bucket_tail_rate,bucket_avg_close_return
d0_target,d1_open_to_close_bucket,zero_to_plus_2pct,37,0.1891891891891892,0.2702702702702703,-0.0011250574304554803
d0_target,d1_high_to_close_drawdown_raw,0,3,0.6666666666666666,0.3333333333333333,-0.0324879026966562
d0_target,d1_high_to_close_drawdown_raw,1,277,0.3285198555956679,0.27075812274368233,0.001166356034080582
d0_target,d1_close_location,0,23,0.43478260869565216,0.2608695652173913,0.009022593359075473
d0_target,d1_close_location,1,257,0.3229571984435798,0.2723735408560311,7.041737778839307e-05
d0_target,d1_close_to_vwap_raw,0,166,0.3313253012048193,0.2891566265060241,-0.0025025502666629726
d0_target,d1_close_to_vwap_raw,1,114,0.3333333333333333,0.24561403508771928,0.005623160154529879
d0_target,volume_above_d1_close_ratio,1,280,0.33214285714285713,0.2714285714285714,0.0008057746905369736
d0_target,late_day_sell_volume_ratio,0,13,0.46153846153846156,0.23076923076923078,0.010461192002976957
d0_target,late_day_sell_volume_ratio,1,267,0.3258426966292135,0.27340823970037453,0.0003356607389949542
d0_target,down_bar_volume_ratio,0,2,0.5,0.5,-0.0572662860638189
d0_target,down_bar_volume_ratio,1,278,0.33093525179856115,0.2697841726618705,0.0012235593002805421
d0_target,break_volume_ratio_vs_board_days,1,280,0.33214285714285713,0.2714285714285714,0.0008057746905369736
d0_target,break_volume_log_ratio,0,20,0.35,0.3,0.000917727745170409
d0_target,break_volume_log_ratio,1,260,0.33076923076923076,0.2692307692307692,0.0007971629171036328
d0_target,break_volume_distance_from_one,1,280,0.33214285714285713,0.2714285714285714,0.0008057746905369736
d0_target,break_high_to_close_drawdown,0,3,0.6666666666666666,0.3333333333333333,-0.0324879026966562
d0_target,break_high_to_close_drawdown,1,277,0.3285198555956679,0.27075812274368233,0.001166356034080582
d0_target,break_close_location,0,23,0.43478260869565216,0.2608695652173913,0.009022593359075473
d0_target,break_close_location,1,257,0.3229571984435798,0.2723735408560311,7.041737778839307e-05
d0_target,break_touched_limit_up,0,233,0.3261802575107296,0.2532188841201717,0.004759605531829928
