model_head,factor_name,mathematical_expression,effective_degrees_of_freedom,coverage,univariate_auc,june_direction,july_direction,temporal_direction_consistency,max_abs_correlation,target7_interpretation,tail_interpretation,decision,reason
post_tail,d1_open_to_close_bucket,分桶(-5/-2/0/+2/+5%),5,1.0,0.5143569292123629,up,down,0.6666666666666666,,桶率 0.26 0.47 0.32 0.33 0.28 0.35,桶尾 0.36 0.32 0.35 0.34 0.36 0.32,ADMIT_ALTERNATIVE,"auc=0.514 中等, 作备用"
post_tail,break_high_to_close_drawdown,(break_high - break_close) / break_high,1,1.0,0.5134263875041543,up,down,0.3333333333333333,0.8471394016062408,桶率 0.40 0.33,桶尾 0.40 0.34,REJECT_UNSTABLE,方向一致率 0.33 < 0.67
post_tail,d1_close_to_ma5_raw,d1_close / d1_ma5 - 1,1,1.0,0.5111332668660684,flat,up,0.3333333333333333,0.9999998665405297,桶率 0.38 0.30,桶尾 0.35 0.34,REJECT_UNSTABLE,方向一致率 0.33 < 0.67
post_tail,ma5_gap_clipped,"clip(d1_close_to_ma5_raw, -0.15, 0.20)",1,1.0,0.5111332668660684,flat,up,0.3333333333333333,0.9999998665405297,桶率 0.38 0.30,桶尾 0.35 0.34,REJECT_UNSTABLE,方向一致率 0.33 < 0.67
post_tail,board_streak_is_3,board_streak_before_break == 3,1,1.0,0.5084524205162291,flat,up,0.6666666666666666,0.23453358654768083,桶率 0.33 0.34,桶尾 0.34 0.36,AUDIT_ONLY,"auc=0.508 低于 0.51, 证据弱"
post_tail,d1_close_to_ma5_bucket,分桶(-5/-2/+2/+5/+10%),5,1.0,0.5080536169269968,down,up,0.3333333333333333,,桶率 0.32 0.45 0.30 0.32 0.39 0.25,桶尾 0.47 0.27 0.39 0.39 0.22 0.34,AUDIT_ONLY,"auc=0.508 低于 0.51, 证据弱"
post_tail,break_opened_from_limit_up,break_open >= 涨停价 - 0.011,1,1.0,0.5078652930098593,flat,up,0.6666666666666666,0.324072262080895,桶率 0.34 0.20,桶尾 0.34 0.50,AUDIT_ONLY,"auc=0.508 低于 0.51, 证据弱"
post_tail,down_bar_volume_ratio,Σvol(close<open) / Σvol,1,1.0,0.507566190317935,flat,up,0.3333333333333333,0.7038787325454693,桶率 0.67 0.33,桶尾 0.33 0.34,AUDIT_ONLY,"auc=0.508 低于 0.51, 证据弱"
post_tail,d1_repair_above_5_flag,1 if d1_open_to_close_return_raw >= 0.05 else 0,1,1.0,0.5059155865736125,flat,up,0.6666666666666666,0.7255051516044237,桶率 0.34 0.26,桶尾 0.34 0.36,AUDIT_ONLY,"auc=0.506 低于 0.51, 证据弱"
post_tail,ma5_below_minus_2_hinge,"max(-0.02 - d1_close_to_ma5_raw, 0)",1,1.0,0.4983272405007201,down,flat,0.3333333333333333,0.7724516190674066,桶率 0.32 0.37,桶尾 0.34 0.34,AUDIT_ONLY,"auc=0.498 低于 0.51, 证据弱"
post_tail,d1_true_reclaim_ma5,d1_low <= d1_ma5 AND d1_close >= d1_ma5,1,1.0,0.49330896200288027,up,down,0.6666666666666666,0.395302745687998,桶率 0.34 0.31,桶尾 0.35 0.33,AUDIT_ONLY,"auc=0.493 低于 0.51, 证据弱"
post_tail,post_day,post_day (仅 post 头),1,1.0,0.49147003434142017,flat,down,0.6666666666666666,0.3738532322962164,桶率 0.33,桶尾 0.34,AUDIT_ONLY,"auc=0.491 低于 0.51, 证据弱"
post_tail,break_close_location,(break_close - break_low) / (break_high - break_low),1,0.9933,0.48861595114065026,down,up,0.3333333333333333,0.8471394016062408,桶率 0.43 0.32,桶尾 0.32 0.34,AUDIT_ONLY,"auc=0.489 低于 0.51, 证据弱"
post_tail,d1_high_to_close_drawdown_raw,(d1_high - d1_close) / d1_high,1,1.0,0.4772349617813227,down,up,1.0,0.8558123490038941,桶率 0.56 0.33,桶尾 0.33 0.34,AUDIT_ONLY,"auc=0.477 低于 0.51, 证据弱"
post_tail,volume_above_d1_close_ratio,Σvol(bar close >= d1_close) / Σvol,1,1.0,0.4717181787969425,down,up,1.0,0.9003788281589533,桶率 0.33,桶尾 0.34,AUDIT_ONLY,"auc=0.472 低于 0.51, 证据弱"
