code,status,daily_source,minute_source,from_cache,daily_rows,daily_history_rows,daily_required_days,minute_rows,minute_trade_days,minute_target_days,minute_required_days,daily_start,daily_end,minute_start,minute_end,daily_ma_coverage_ok,missing_latest_daily_ma,missing_daily_amount_count,missing_daily_volume_count,missing_minute_amount_count,missing_minute_volume_count,zero_minute_volume_count,daily_minute_close_matched_days,daily_minute_close_max_abs_diff,daily_minute_close_check_ok,warnings,error,name,trade_date,d0_date
000012,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,南  玻Ａ,2026-06-23,2026-06-22
000048,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,京基智农,2026-06-23,2026-06-22
000060,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,中金岭南,2026-06-23,2026-06-22
000070,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,特发信息,2026-06-23,2026-06-23
000510,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,新金路,2026-06-23,2026-06-22
000519,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,中兵红箭,2026-06-23,2026-06-22
000545,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,金浦钛业,2026-06-23,2026-06-22
000571,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,新大洲A,2026-06-23,2026-06-23
000612,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,焦作万方,2026-06-23,2026-06-22
000657,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,中钨高新,2026-06-23,2026-06-22
000682,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,东方电子,2026-06-23,2026-06-22
000751,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,锌业股份,2026-06-23,2026-06-22
000776,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,广发证券,2026-06-23,2026-06-22
000783,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,长江证券,2026-06-23,2026-06-23
000811,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,冰轮环境,2026-06-23,2026-06-22
000823,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,超声电子,2026-06-23,2026-06-22
000833,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,粤桂股份,2026-06-23,2026-06-22
000960,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,锡业股份,2026-06-23,2026-06-22
000962,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,东方钽业,2026-06-23,2026-06-22
000987,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,越秀资本,2026-06-23,2026-06-22
001296,failed,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.05000000000000071,False,"daily/minute close cross-check failed: matched=38, max_diff=0.05000000000000071","001296 data quality check failed: daily/minute close cross-check failed: matched=38, max_diff=0.05000000000000071",长江材料,2026-06-23,2026-06-22
001359,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,平安电工,2026-06-23,2026-06-22
002057,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,中钢天源,2026-06-23,2026-06-22
002068,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,黑猫股份,2026-06-23,2026-06-23
002114,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,罗平锌电,2026-06-23,2026-06-22
002167,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,东方锆业,2026-06-23,2026-06-23
002258,failed,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.02999999999999936,False,"daily/minute close cross-check failed: matched=38, max_diff=0.02999999999999936","002258 data quality check failed: daily/minute close cross-check failed: matched=38, max_diff=0.02999999999999936",利尔化学,2026-06-23,2026-06-22
002297,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,博云新材,2026-06-23,2026-06-22
002312,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,川发龙蟒,2026-06-23,2026-06-22
002346,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,柘中股份,2026-06-23,2026-06-22
002354,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,天娱数科,2026-06-23,2026-06-22
002367,ok,cache,sina_5m,False,40,180,180,1783,38,40,20,2026-04-23 00:00:00,2026-06-23 00:00:00,2026-04-27 14:30:00,2026-06-23 15:00:00,True,,2,0,0,0,0,38,0.0,True,,,康力电梯,2026-06-23,2026-06-22
