D0,code,pool_member_count,members_with_daily_volume,members_missing_daily_volume,rank_denominator_complete,event_id,signal_date
2026-05-19,600850,75,75,0,True,600850_2026-05-20,2026-05-20
2026-05-19,600903,75,75,0,True,600903_2026-05-20,2026-05-20
2026-05-19,603115,75,75,0,True,603115_2026-05-20,2026-05-20
2026-05-19,603206,75,75,0,True,603206_2026-05-20,2026-05-20
2026-05-19,603311,75,75,0,True,603311_2026-05-20,2026-05-20
2026-05-19,603989,75,75,0,True,603989_2026-05-20,2026-05-20
2026-05-19,605218,75,75,0,True,605218_2026-05-20,2026-05-20
2026-05-20,000417,53,53,0,True,000417_2026-05-21,2026-05-21
2026-05-20,002272,53,53,0,True,002272_2026-05-21,2026-05-21
2026-05-20,002782,53,53,0,True,002782_2026-05-21,2026-05-21
2026-05-20,600563,53,53,0,True,600563_2026-05-21,2026-05-21
2026-05-20,603938,53,53,0,True,603938_2026-05-21,2026-05-21
2026-05-20,605288,53,53,0,True,605288_2026-05-21,2026-05-21
2026-05-21,003004,34,34,0,True,003004_2026-05-22,2026-05-22
2026-05-22,000012,100,100,0,True,000012_2026-05-25,2026-05-25
2026-05-22,000725,100,100,0,True,000725_2026-05-25,2026-05-25
2026-05-22,001225,100,100,0,True,001225_2026-05-25,2026-05-25
2026-05-22,002036,100,100,0,True,002036_2026-05-25,2026-05-25
2026-05-22,002442,100,100,0,True,002442_2026-05-25,2026-05-25
2026-05-22,002931,100,100,0,True,002931_2026-05-25,2026-05-25
2026-05-22,600303,100,100,0,True,600303_2026-05-25,2026-05-25
2026-05-22,600611,100,100,0,True,600611_2026-05-25,2026-05-25
2026-05-25,000636,93,93,0,True,000636_2026-05-26,2026-05-26
2026-05-25,002421,93,93,0,True,002421_2026-05-26,2026-05-26
2026-05-25,002432,93,93,0,True,002432_2026-05-26,2026-05-26
2026-05-25,002741,93,93,0,True,002741_2026-05-26,2026-05-26
2026-05-25,002897,93,93,0,True,002897_2026-05-26,2026-05-26
2026-05-25,002938,93,93,0,True,002938_2026-05-26,2026-05-26
2026-05-25,002975,93,93,0,True,002975_2026-05-26,2026-05-26
2026-05-25,002980,93,93,0,True,002980_2026-05-26,2026-05-26
2026-05-25,600186,93,93,0,True,600186_2026-05-26,2026-05-26
2026-05-25,600234,93,93,0,True,600234_2026-05-26,2026-05-26
2026-05-25,600503,93,93,0,True,600503_2026-05-26,2026-05-26
2026-05-25,600539,93,93,0,True,600539_2026-05-26,2026-05-26
2026-05-25,603001,93,93,0,True,603001_2026-05-26,2026-05-26
2026-05-25,603256,93,93,0,True,603256_2026-05-26,2026-05-26
2026-05-25,603661,93,93,0,True,603661_2026-05-26,2026-05-26
2026-05-25,603663,93,93,0,True,603663_2026-05-26,2026-05-26
2026-05-25,603936,93,93,0,True,603936_2026-05-26,2026-05-26
2026-05-25,605580,93,93,0,True,605580_2026-05-26,2026-05-26
2026-05-26,000510,45,45,0,True,000510_2026-05-27,2026-05-27
2026-05-26,002185,45,45,0,True,002185_2026-05-27,2026-05-27
2026-05-26,002388,45,45,0,True,002388_2026-05-27,2026-05-27
2026-05-26,002552,45,45,0,True,002552_2026-05-27,2026-05-27
2026-05-26,002585,45,45,0,True,002585_2026-05-27,2026-05-27
2026-05-26,002957,45,45,0,True,002957_2026-05-27,2026-05-27
2026-05-26,003036,45,45,0,True,003036_2026-05-27,2026-05-27
2026-05-26,600172,45,45,0,True,600172_2026-05-27,2026-05-27
2026-05-26,600520,45,45,0,True,600520_2026-05-27,2026-05-27
2026-05-26,600584,45,45,0,True,600584_2026-05-27,2026-05-27
2026-05-27,000759,45,45,0,True,000759_2026-05-28,2026-05-28
2026-05-27,001257,45,45,0,True,001257_2026-05-28,2026-05-28
2026-05-27,002251,45,45,0,True,002251_2026-05-28,2026-05-28
2026-05-27,002771,45,45,0,True,002771_2026-05-28,2026-05-28
2026-05-28,002579,88,88,0,True,002579_2026-05-29,2026-05-29
2026-05-28,603032,88,88,0,True,603032_2026-05-29,2026-05-29
2026-05-28,603989,88,88,0,True,603989_2026-05-29,2026-05-29
2026-05-29,000090,47,47,0,True,000090_2026-06-01,2026-06-01
2026-05-29,002806,47,47,0,True,002806_2026-06-01,2026-06-01
2026-05-29,600110,47,47,0,True,600110_2026-06-01,2026-06-01
2026-05-29,603324,47,47,0,True,603324_2026-06-01,2026-06-01
2026-06-01,002608,109,109,0,True,002608_2026-06-02,2026-06-02
2026-06-01,600011,109,109,0,True,600011_2026-06-02,2026-06-02
2026-06-02,000055,57,57,0,True,000055_2026-06-03,2026-06-03
2026-06-02,001210,57,57,0,True,001210_2026-06-03,2026-06-03
2026-06-02,002404,57,57,0,True,002404_2026-06-03,2026-06-03
2026-06-02,002421,57,57,0,True,002421_2026-06-03,2026-06-03
2026-06-02,002579,57,57,0,True,002579_2026-06-03,2026-06-03
2026-06-02,600280,57,57,0,True,600280_2026-06-03,2026-06-03
2026-06-02,603045,57,57,0,True,603045_2026-06-03,2026-06-03
2026-06-03,000700,61,61,0,True,000700_2026-06-04,2026-06-04
2026-06-03,002137,61,61,0,True,002137_2026-06-04,2026-06-04
2026-06-03,600121,61,61,0,True,600121_2026-06-04,2026-06-04
2026-06-03,600487,61,61,0,True,600487_2026-06-04,2026-06-04
2026-06-03,600936,61,61,0,True,600936_2026-06-04,2026-06-04
