signal_date,candidate_count,candidate_count_lt3,universe_top3_return,control_rank1_return,control_rank2_return,control_rank3_return,control_top2_return,control_top3_return,full_reranker_top3_return,veto_only_rank1_return,veto_only_rank2_return,veto_only_rank3_return,veto_only_top2_return,veto_only_top3_return,veto_only_minus_control,control_target7_count,full_reranker_target7_count,veto_only_target7_count,veto_count,backfill_count,opportunity_bucket
2026-06-01,4,False,0.0277936611056,0.07,0.0451559934319,-0.0263852242744,0.057577996716,0.0295902563858,0.0295902563858,0.07,0.0451559934319,-0.0263852242744,0.057577996716,0.0295902563858,0,1,1,1,0,0,MID
2026-06-02,2,True,0.0480237825595,0.07,0.0260475651189,,0.0480237825595,0.0480237825595,0.0480237825595,0.07,0.0260475651189,,0.0480237825595,0.0480237825595,0,1,1,1,0,0,HIGH
2026-06-03,7,False,-0.00475946733786,-0.0125313283208,0.0540254237288,-0.244557534634,0.020747047704,-0.0676878130753,-0.0676878130753,-0.0125313283208,0.0540254237288,-0.244557534634,0.020747047704,-0.0676878130753,0,0,0,0,0,0,LOW
2026-06-04,6,False,-0.00286482866454,-0.00709219858156,0.0659375,0.0068359375,0.0294226507092,0.0218937463061,0.0218937463061,-0.00709219858156,0.0659375,0.0068359375,0.0294226507092,0.0218937463061,0,0,0,0,0,0,LOW
2026-06-05,6,False,0.025619301511,0.00302114803625,0.07,-0.0449915110357,0.0365105740181,0.00934321233352,0.00934321233352,0.00302114803625,0.07,-0.0449915110357,0.0365105740181,0.00934321233352,0,1,1,1,0,0,MID
2026-06-08,3,False,0.0133228381898,-0.0109409190372,-0.0172839506173,0.0681933842239,-0.0141124348272,0.0133228381898,0.0133228381898,-0.0109409190372,-0.0172839506173,0.0681933842239,-0.0141124348272,0.0133228381898,0,0,0,0,0,0,LOW
2026-06-09,9,False,-0.00185168226508,0.0640412922959,0.07,-0.142105263158,0.067020646148,-0.00268799028737,-0.00268799028737,0.0640412922959,0.07,-0.142105263158,0.067020646148,-0.00268799028737,0,1,1,1,0,0,LOW
2026-06-10,7,False,0.0438949959651,0.07,0.0160583941606,0.07,0.0430291970803,0.0520194647202,0.0520194647202,0.07,0.0160583941606,0.07,0.0430291970803,0.0520194647202,0,2,2,2,0,0,HIGH
2026-06-11,10,False,0.0284162481187,0.07,0.0456747404844,0.012037037037,0.0578373702422,0.0425705925071,0.0425705925071,0.07,0.0456747404844,0.012037037037,0.0578373702422,0.0425705925071,0,1,1,1,0,0,MID
2026-06-12,8,False,0.0402314517339,0.0543580131209,-0.0215053763441,0.07,0.0164263183884,0.0342842122589,0.0342842122589,0.0543580131209,-0.0215053763441,0.07,0.0164263183884,0.0342842122589,0,1,1,1,0,0,HIGH
2026-06-15,3,False,0.0449404761905,0.03625,0.0285714285714,0.07,0.0324107142857,0.0449404761905,0.0449404761905,0.03625,0.0285714285714,0.07,0.0324107142857,0.0449404761905,0,1,1,1,0,0,HIGH
2026-06-16,7,False,0.0313373111972,0.0439285714286,0.07,-0.0145310435931,0.0569642857143,0.0331325092785,0.0331325092785,0.0439285714286,0.07,-0.0145310435931,0.0569642857143,0.0331325092785,0,1,1,1,0,0,MID
2026-06-17,17,False,0.0600758531775,0.07,-0.0212765957447,0.07,0.0243617021277,0.0395744680851,0.0395744680851,0.07,-0.0212765957447,0.07,0.0243617021277,0.0395744680851,0,2,2,2,0,0,HIGH
2026-06-18,15,False,0.0173110111058,0.0454831800428,-0.0204131227217,-0.0444572748268,0.0125350286605,-0.00646240583523,0.011106824487,0.0454831800428,-0.0444572748268,0.07,0.000512952608,0.0236753017387,0.0301377075739,0,0,1,1,1,LOW
2026-06-22,7,False,0.0465409922629,0.0626988437961,0.0214190093708,0.07,0.0420589265835,0.0513726177223,0.0513726177223,0.0626988437961,0.0214190093708,0.07,0.0420589265835,0.0513726177223,0,1,1,1,0,0,HIGH
2026-06-23,14,False,0.0506855532343,0.0294117647059,0.07,0.0645161290323,0.049705882353,0.0546426312461,0.0546426312461,0.0294117647059,0.07,0.0645161290323,0.049705882353,0.0546426312461,0,1,1,1,0,0,HIGH
2026-06-24,15,False,0.0219491613706,0.0516980613227,-0.036815920398,-0.0225029609159,0.00744107046235,-0.0025402733304,0.00356037289537,-0.036815920398,-0.0225029609159,0.0564468211527,-0.029659440657,-0.000957353387067,0.00158291994333,0,1,0,1,1,MID
2026-06-25,9,False,0.0244977531928,0.07,0.07,-0.0113182423435,0.07,0.0428939192188,0.00576851109333,0.07,0.07,-0.12269446672,0.07,0.00576851109333,-0.0371254081255,2,2,2,1,1,MID
2026-06-26,12,False,0.0160137516633,-0.0419642857143,0.07,-0.0525252525253,0.0140178571429,-0.0081631794132,-0.0081631794132,-0.0419642857143,0.07,-0.0525252525253,0.0140178571429,-0.0081631794132,0,1,1,1,0,0,LOW
2026-06-29,5,False,0.0300581148122,-0.0793172690763,0.0196078431373,0.07,-0.0298547129695,0.00343019135367,0.00343019135367,-0.0793172690763,0.0196078431373,0.07,-0.0298547129695,0.00343019135367,0,1,1,1,0,0,MID
2026-06-30,7,False,0.0182847477676,-0.0627906976744,0.0474406991261,-0.0287162162162,-0.00767499927415,-0.0146887382548,-0.0173227329663,-0.0627906976744,-0.0287162162162,0.0395387149918,-0.0457534569453,-0.0173227329663,-0.00263399471143,0,0,0,1,1,LOW
