scope,model,Rank1_mean,Rank1_median,Rank1_p25,Rank1_worst,Rank1_baseline,Rank1_excess,Rank1_target7_precision,Rank1_positive_date_rate,Rank1_negative_date_rate,Rank1_beat_universe,Rank1_dates,Rank2_mean,Rank2_median,Rank2_p25,Rank2_worst,Rank2_baseline,Rank2_excess,Rank2_target7_precision,Rank2_positive_date_rate,Rank2_negative_date_rate,Rank2_beat_universe,Rank2_dates,Rank3_mean,Rank3_median,Rank3_p25,Rank3_worst,Rank3_baseline,Rank3_excess,Rank3_target7_precision,Rank3_positive_date_rate,Rank3_negative_date_rate,Rank3_beat_universe,Rank3_dates,Top2_mean,Top2_median,Top2_p25,Top2_worst,Top2_baseline,Top2_excess,Top2_target7_precision,Top2_positive_date_rate,Top2_negative_date_rate,Top2_beat_universe,Top2_dates,Top3_mean,Top3_median,Top3_p25,Top3_worst,Top3_baseline,Top3_excess,Top3_target7_precision,Top3_positive_date_rate,Top3_negative_date_rate,Top3_beat_universe,Top3_dates,Top1_target7_hit,winner_capture,universe_target7_rate,days_le_minus3,days_le_minus5
COMBINED,CONTROL,0.0283930560164,0.0454831800428,-0.00709219858156,-0.0793172690763,0.0275962393758,0.000796816640657,0.285714285714,0.714285714286,0.285714285714,0.571428571429,21,0.0320306491097,0.0451559934319,0.0160583941606,-0.036815920398,0.0275962393758,0.00443440973398,0.285714285714,0.761904761905,0.238095238095,0.52380952381,21,-0.00302540178649,-0.00224115242175,-0.0326514808689,-0.244557534634,0.0265748622166,-0.0296002640031,0.3,0.5,0.5,0.45,20,0.0302118525631,0.0324107142857,0.0140178571429,-0.0298547129695,0.0275962393758,0.00261561318732,0.285714285714,0.857142857143,0.142857142857,0.380952380952,21,0.01853903678,0.025742001346,-0.00257720256964,-0.0676878130753,0.0265748622166,-0.00803582543656,0.283333333333,0.7,0.3,0.4,20,0.285714285714,0.444444444444,0.329456226935,1,1
COMBINED,FULL_RERANKER,0.0184953110205,0.03625,-0.0125313283208,-0.0793172690763,0.0275962393758,-0.00910092835526,0.238095238095,0.619047619048,0.380952380952,0.47619047619,21,0.0125981870908,0.0285714285714,-0.0215053763441,-0.142105263158,0.0275962393758,-0.014998052285,0.190476190476,0.666666666667,0.333333333333,0.428571428571,21,0.0253578866358,0.069096692112,0.00149419222672,-0.244557534634,0.0265748622166,-0.00121697558077,0.5,0.75,0.25,0.7,20,0.0155467490556,0.0294226507092,-0.02634723336,-0.0472447691198,0.0275962393758,-0.0120494903201,0.214285714286,0.666666666667,0.333333333333,0.333333333333,21,0.0177345604656,0.017608292248,0.00352782750994,-0.0676878130753,0.0265748622166,-0.00884030175101,0.3,0.8,0.2,0.35,20,0.238095238095,0.462962962963,0.329456226935,1,1
COMBINED,VETO_ONLY,0.0241781045059,0.0439285714286,-0.0109409190372,-0.0793172690763,0.0275962393758,-0.00341813486985,0.285714285714,0.666666666667,0.333333333333,0.52380952381,21,0.0279407392066,0.0285714285714,-0.0172839506173,-0.0444572748268,0.0275962393758,0.000344499830871,0.285714285714,0.714285714286,0.285714285714,0.47619047619,21,0.00448888639986,0.0479927680723,-0.0310367959647,-0.244557534634,0.0265748622166,-0.0220859758167,0.35,0.65,0.35,0.6,20,0.0260594218563,0.0324107142857,0.0140178571429,-0.0457534569453,0.0275962393758,-0.00153681751949,0.285714285714,0.809523809524,0.190476190476,0.380952380952,21,0.018137098014,0.0227845240224,0.00233330516848,-0.0676878130753,0.0265748622166,-0.00843776420255,0.3,0.75,0.25,0.4,20,0.285714285714,0.472222222222,0.329456226935,1,1
COMBINED,TOP10_ORACLE,0.0697205182964,0.07,0.07,0.0659375,0.0275962393758,0.0421242789206,0.904761904762,1,0,1,21,0.0577702855928,0.07,0.0474406991261,-0.0109409190372,0.0275962393758,0.0301740462171,0.571428571429,0.952380952381,0.047619047619,0.857142857143,21,0.0528186836057,0.0669300766283,0.044879346684,-0.0172839506173,0.0265748622166,0.0262438213891,0.4,0.95,0.05,0.85,20,0.0637454019446,0.07,0.0587203495631,0.0286262325934,0.0275962393758,0.0361491625689,0.738095238095,1,0,0.952380952381,21,0.0606272164778,0.0689766922095,0.058717021134,0.0133228381898,0.0265748622166,0.0340523542612,0.633333333333,1,0,0.9,20,0.904761904762,0.935185185185,0.329456226935,0,0
COMBINED,FULL_ORACLE,0.0697205182964,0.07,0.07,0.0659375,0.0275962393758,0.0421242789206,0.904761904762,1,0,1,21,0.0578858176192,0.07,0.0474406991261,-0.0109409190372,0.0275962393758,0.0302895782435,0.619047619048,0.952380952381,0.047619047619,0.857142857143,21,0.0543470039116,0.0687869137232,0.0462599193984,-0.0172839506173,0.0265748622166,0.027772141695,0.5,0.95,0.05,0.85,20,0.0638031679578,0.07,0.0587203495631,0.0286262325934,0.0275962393758,0.036206928582,0.761904761905,1,0,0.952380952381,21,0.061177092789,0.0695956379077,0.058717021134,0.0133228381898,0.0265748622166,0.0346022305724,0.683333333333,1,0,0.9,20,0.904761904762,1,0.329456226935,0,0
COMBINED,UNIVERSE,0.0275962393758,,,,0.0275962393758,0,0.329456226935,,,,21,0.0275962393758,,,,0.0275962393758,0,0.329456226935,,,,21,0.0265748622166,,,,0.0265748622166,0,0.329456226935,,,,20,0.0275962393758,,,,0.0275962393758,0,0.329456226935,,,,21,0.0265748622166,,,,0.0265748622166,0,0.329456226935,,,,20,0.329456226935,,0.329456226935,,
LOW,CONTROL,-0.00368499385565,-0.0109409190372,-0.0272478070176,-0.0627906976744,0.007922338637,-0.0116073324926,0,0.285714285714,0.714285714286,0.285714285714,7,0.0385295070737,0.0540254237288,0.0150783742544,-0.0204131227217,0.007922338637,0.0306071684367,0.285714285714,0.714285714286,0.285714285714,0.714285714286,7,-0.0624760313766,-0.0444572748268,-0.0973152578417,-0.244557534634,0.007922338637,-0.0703983700136,0,0.285714285714,0.714285714286,0.285714285714,7,0.017422256609,0.0140178571429,0.0024300146932,-0.0141124348272,0.007922338637,0.00949991797203,0.142857142857,0.714285714286,0.285714285714,0.428571428571,7,-0.00921050605286,-0.00646240583523,-0.011425958834,-0.0676878130753,0.007922338637,-0.0171328446899,0.0952380952381,0.285714285714,0.714285714286,0.142857142857,7,0,0.266666666667,0.111451247166,1,1
LOW,FULL_RERANKER,-0.01804233981,-0.0125313283208,-0.0484912636761,-0.0627906976744,0.007922338637,-0.025964678447,0,0.142857142857,0.857142857143,0.142857142857,7,-0.00923194456203,-0.0172839506173,-0.0353402509653,-0.142105263158,0.007922338637,-0.017154283199,0,0.428571428571,0.571428571429,0.428571428571,7,0.00604358147526,0.0395387149918,0.0195652528725,-0.244557534634,0.007922338637,-0.00187875716174,0.285714285714,0.857142857143,0.142857142857,0.857142857143,7,-0.013637142186,-0.0141124348272,-0.0423927211882,-0.0472447691198,0.007922338637,-0.021559480823,0,0.428571428571,0.571428571429,0.285714285714,7,-0.0070769009656,-0.00268799028737,-0.0127429561897,-0.0676878130753,0.007922338637,-0.0149992396026,0.0952380952381,0.428571428571,0.571428571429,0.142857142857,7,0,0.266666666667,0.111451247166,1,1
LOW,VETO_ONLY,-0.00368499385565,-0.0109409190372,-0.0272478070176,-0.0627906976744,0.007922338637,-0.0116073324926,0,0.285714285714,0.714285714286,0.285714285714,7,0.0242150688669,0.0540254237288,-0.0230000834168,-0.0444572748268,0.007922338637,0.0162927302299,0.285714285714,0.571428571429,0.428571428571,0.571428571429,7,-0.0363742876574,0.0068359375,-0.0973152578417,-0.244557534634,0.007922338637,-0.0442966262944,0.142857142857,0.571428571429,0.428571428571,0.571428571429,7,0.0102650375056,0.0140178571429,-0.00679974110963,-0.0457534569453,0.007922338637,0.00234269886864,0.142857142857,0.714285714286,0.285714285714,0.428571428571,7,-0.00528140421536,-0.00268799028737,-0.0127429561897,-0.0676878130753,0.007922338637,-0.0132037428524,0.142857142857,0.428571428571,0.571428571429,0.285714285714,7,0,0.366666666667,0.111451247166,1,1
LOW,TOP10_ORACLE,0.0691615548891,0.07,0.069096692112,0.0659375,0.007922338637,0.0612392162521,0.714285714286,1,0,1,7,0.0479603484141,0.0640412922959,0.037616521561,-0.0109409190372,0.007922338637,0.0400380097771,0.142857142857,0.857142857143,0.142857142857,0.857142857143,7,0.0351803893931,0.0454831800428,0.0249518920539,-0.0172839506173,0.007922338637,0.0272580507561,0,0.857142857143,0.142857142857,0.857142857143,7,0.0585609516516,0.067020646148,0.0527926357805,0.0286262325934,0.007922338637,0.0506386130146,0.428571428571,1,0,1,7,0.0507674308988,0.0604550786526,0.0435123878716,0.0133228381898,0.007922338637,0.0428450922618,0.285714285714,1,0,0.857142857143,7,0.714285714286,0.833333333333,0.111451247166,0,0
