event_id,code,name,signal_date,break_date,recognition_score,is_v004a_scorable,v004a_probability,v004a_rank,is_v004a_top3,is_v004a_top10,is_v004a_top15,is_v002_scorable,v002_rank,is_v002_top3,is_v002_top10,is_v002_top15,v004a_score_source
002747_2026-06-10,002747,埃斯顿,2026-06-10,2026-06-10,0.7716049382716049,False,,,False,False,False,False,,False,False,False,
603186_2026-06-10,603186,华正新材,2026-06-10,2026-06-10,0.6697530864197532,True,0.4762073621809718,1.0,True,True,True,False,,False,False,False,grid_v2_walk_forward
603616_2026-06-10,603616,韩建河山,2026-06-10,2026-06-10,0.1141975308641975,False,,,False,False,False,False,,False,False,False,
603929_2026-06-10,603929,亚翔集成,2026-06-10,2026-06-10,0.2037037037037037,True,0.4713362904488171,2.0,True,True,True,False,,False,False,False,grid_v2_walk_forward
000029_2026-06-11,000029,深深房Ａ,2026-06-11,2026-06-11,0.0833333333333333,True,0.433087182665108,33.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
002585_2026-06-11,002585,双星新材,2026-06-11,2026-06-11,0.9322916666666666,True,0.4370558647242197,23.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
002636_2026-06-11,002636,金安国纪,2026-06-11,2026-06-11,0.6614583333333334,True,0.4833927712116613,1.0,True,True,True,False,,False,False,False,grid_v2_walk_forward
002669_2026-06-11,002669,康达新材,2026-06-11,2026-06-11,0.8697916666666666,True,0.4221301664030447,47.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
003026_2026-06-11,003026,中晶科技,2026-06-11,2026-06-11,0.4895833333333333,True,0.377105793202968,119.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
603002_2026-06-11,603002,宏昌电子,2026-06-11,2026-06-11,0.9739583333333334,True,0.4156225654355585,61.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
603065_2026-06-11,603065,XD宿迁联,2026-06-11,2026-06-11,0.03125,False,,,False,False,False,False,,False,False,False,
605006_2026-06-11,605006,山东玻纤,2026-06-11,2026-06-11,0.875,True,0.4710045518932435,6.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
605318_2026-06-11,605318,法狮龙,2026-06-11,2026-06-11,0.265625,True,0.4833514805715464,2.0,True,True,True,False,,False,False,False,grid_v2_walk_forward
605589_2026-06-11,605589,圣泉集团,2026-06-11,2026-06-11,0.4114583333333333,True,0.4606484919026423,11.0,False,False,True,False,,False,False,False,grid_v2_walk_forward
000048_2026-06-12,000048,京基智农,2026-06-12,2026-06-12,0.4166666666666667,False,,,False,False,False,False,,False,False,False,
002119_2026-06-12,002119,康强电子,2026-06-12,2026-06-12,0.7440476190476191,True,0.4613187098212403,4.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
002165_2026-06-12,002165,红 宝 丽,2026-06-12,2026-06-12,0.8928571428571428,True,0.4386387768800506,22.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
002409_2026-06-12,002409,雅克科技,2026-06-12,2026-06-12,0.8452380952380952,True,0.4675018166730403,2.0,True,True,True,False,,False,False,False,grid_v2_walk_forward
600178_2026-06-12,600178,东安动力,2026-06-12,2026-06-12,0.3095238095238095,False,,,False,False,False,False,,False,False,False,
600378_2026-06-12,600378,昊华科技,2026-06-12,2026-06-12,0.75,True,0.4656750063916746,3.0,True,True,True,False,,False,False,False,grid_v2_walk_forward
600665_2026-06-12,600665,天地源,2026-06-12,2026-06-12,0.3273809523809524,True,0.4172773133821916,45.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
603155_2026-06-12,603155,新亚强,2026-06-12,2026-06-12,0.6130952380952381,False,,,False,False,False,False,,False,False,False,
002203_2026-06-15,002203,海亮股份,2026-06-15,2026-06-15,0.7695473251028807,True,0.4685646436100604,3.0,True,True,True,False,,False,False,False,grid_v2_walk_forward
