event_id,code,signal_date,break_date,stage_group,days_since_break,exclusion_reason
000759_2026-06-09,000759,2026-06-11,2026-06-09,post,2,not_d1_first_break_observation
002361_2026-06-09,002361,2026-06-11,2026-06-09,post,2,not_d1_first_break_observation
002362_2026-06-10,002362,2026-06-11,2026-06-10,post,1,not_d1_first_break_observation
002421_2026-06-09,002421,2026-06-11,2026-06-09,post,2,not_d1_first_break_observation
002613_2026-06-09,002613,2026-06-11,2026-06-09,post,2,not_d1_first_break_observation
002747_2026-06-10,002747,2026-06-11,2026-06-10,post,1,not_d1_first_break_observation
003009_2026-06-09,003009,2026-06-11,2026-06-09,post,2,not_d1_first_break_observation
603186_2026-06-10,603186,2026-06-11,2026-06-10,post,1,not_d1_first_break_observation
603500_2026-06-09,603500,2026-06-11,2026-06-09,post,2,not_d1_first_break_observation
603616_2026-06-10,603616,2026-06-11,2026-06-10,post,1,not_d1_first_break_observation
603859_2026-06-09,603859,2026-06-11,2026-06-09,post,2,not_d1_first_break_observation
603929_2026-06-10,603929,2026-06-11,2026-06-10,post,1,not_d1_first_break_observation
000029_2026-06-11,000029,2026-06-12,2026-06-11,post,1,not_d1_first_break_observation
001696_2026-06-10,001696,2026-06-12,2026-06-10,post,2,not_d1_first_break_observation
002254_2026-06-10,002254,2026-06-12,2026-06-10,post,2,not_d1_first_break_observation
002362_2026-06-10,002362,2026-06-12,2026-06-10,post,2,not_d1_first_break_observation
002585_2026-06-11,002585,2026-06-12,2026-06-11,post,1,not_d1_first_break_observation
002636_2026-06-11,002636,2026-06-12,2026-06-11,post,1,not_d1_first_break_observation
002669_2026-06-11,002669,2026-06-12,2026-06-11,post,1,not_d1_first_break_observation
002747_2026-06-10,002747,2026-06-12,2026-06-10,post,2,not_d1_first_break_observation
003026_2026-06-11,003026,2026-06-12,2026-06-11,post,1,not_d1_first_break_observation
603002_2026-06-11,603002,2026-06-12,2026-06-11,post,1,not_d1_first_break_observation
603186_2026-06-10,603186,2026-06-12,2026-06-10,post,2,not_d1_first_break_observation
603616_2026-06-10,603616,2026-06-12,2026-06-10,post,2,not_d1_first_break_observation
603929_2026-06-10,603929,2026-06-12,2026-06-10,post,2,not_d1_first_break_observation
605006_2026-06-11,605006,2026-06-12,2026-06-11,post,1,not_d1_first_break_observation
605318_2026-06-11,605318,2026-06-12,2026-06-11,post,1,not_d1_first_break_observation
605589_2026-06-11,605589,2026-06-12,2026-06-11,post,1,not_d1_first_break_observation
000029_2026-06-11,000029,2026-06-15,2026-06-11,post,2,not_d1_first_break_observation
000048_2026-06-12,000048,2026-06-15,2026-06-12,post,1,not_d1_first_break_observation
002119_2026-06-12,002119,2026-06-15,2026-06-12,post,1,not_d1_first_break_observation
002165_2026-06-12,002165,2026-06-15,2026-06-12,post,1,not_d1_first_break_observation
002409_2026-06-12,002409,2026-06-15,2026-06-12,post,1,not_d1_first_break_observation
002636_2026-06-11,002636,2026-06-15,2026-06-11,post,2,not_d1_first_break_observation
002669_2026-06-11,002669,2026-06-15,2026-06-11,post,2,not_d1_first_break_observation
003026_2026-06-11,003026,2026-06-15,2026-06-11,post,2,not_d1_first_break_observation
600178_2026-06-12,600178,2026-06-15,2026-06-12,post,1,not_d1_first_break_observation
600378_2026-06-12,600378,2026-06-15,2026-06-12,post,1,not_d1_first_break_observation
600665_2026-06-12,600665,2026-06-15,2026-06-12,post,1,not_d1_first_break_observation
603065_2026-06-11,603065,2026-06-15,2026-06-11,post,2,not_d1_first_break_observation
603155_2026-06-12,603155,2026-06-15,2026-06-12,post,1,not_d1_first_break_observation
605006_2026-06-11,605006,2026-06-15,2026-06-11,post,2,not_d1_first_break_observation
605318_2026-06-11,605318,2026-06-15,2026-06-11,post,2,not_d1_first_break_observation
002119_2026-06-12,002119,2026-06-16,2026-06-12,post,2,not_d1_first_break_observation
002165_2026-06-12,002165,2026-06-16,2026-06-12,post,2,not_d1_first_break_observation
002203_2026-06-15,002203,2026-06-16,2026-06-15,post,1,not_d1_first_break_observation
002409_2026-06-12,002409,2026-06-16,2026-06-12,post,2,not_d1_first_break_observation
600067_2026-06-15,600067,2026-06-16,2026-06-15,post,1,not_d1_first_break_observation
600178_2026-06-12,600178,2026-06-16,2026-06-12,post,2,not_d1_first_break_observation
600378_2026-06-12,600378,2026-06-16,2026-06-12,post,2,not_d1_first_break_observation
600665_2026-06-12,600665,2026-06-16,2026-06-12,post,2,not_d1_first_break_observation
603014_2026-06-15,603014,2026-06-16,2026-06-15,post,1,not_d1_first_break_observation
603155_2026-06-12,603155,2026-06-16,2026-06-12,post,2,not_d1_first_break_observation
000506_2026-06-16,000506,2026-06-17,2026-06-16,post,1,not_d1_first_break_observation
000510_2026-06-16,000510,2026-06-17,2026-06-16,post,1,not_d1_first_break_observation
001359_2026-06-16,001359,2026-06-17,2026-06-16,post,1,not_d1_first_break_observation
