event_id,code,name,signal_date,break_date,board_streak_before_break,days_since_break,days_since_last_limit_up,repair_attempt_count,recent_limit_up_count_10d,recent_limit_up_count_20d,recent_pool_appearance_count_10d,recent_pool_appearance_count_20d,max_board_streak_20d,board_day_amount_rank,board_day_turnover_rank,board_day_volume_rank,break_open,break_high,break_low,break_close,break_prev_close,break_open_return,break_high_return,break_close_return,break_intraday_range,break_high_to_close_drawdown,break_upper_shadow_ratio,break_lower_shadow_ratio,break_close_location,break_volume,break_amount,break_volume_ratio_vs_board_days,break_amount_ratio_vs_board_days,break_turnover_ratio,break_touched_limit_up,break_opened_from_limit_up,d1_open,d1_high,d1_low,d1_close,d1_volume,d1_amount,d1_ma5,d1_ma10,d1_ma20,d1_close_to_ma5_raw,d1_low_to_ma5_raw,d1_high_to_ma5_raw,d1_close_to_ma10_raw,d1_low_to_ma10_raw,d1_close_to_ma20,d1_ma5_slope,d1_ma10_slope,deprecated_d1_reclaimed_ma5_v01,deprecated_d1_reclaimed_ma10_v01,consecutive_days_below_ma5,consecutive_days_below_ma10,d1_open_to_close_return_raw,d1_low_to_close_recovery,d1_high_to_close_drawdown_raw,d1_close_location,d1_vwap,d1_close_to_vwap_raw,d1_intraday_range,d1_afternoon_return,d1_last_hour_return,d1_up_bar_volume_ratio,d1_down_bar_volume_ratio,volume_above_d1_close_ratio,amount_above_d1_close_ratio,volume_above_break_close_ratio,high_zone_volume_ratio,high_zone_amount_ratio,late_day_sell_volume_ratio,late_day_sell_amount_ratio,down_bar_volume_ratio,d1_vwap_to_close_gap,future_data_status,last_board_date,break_day_in_pool,last_board_day_in_pool,pool_consecutive_count_last_board,stage_group,post_day,training_stage_feature,d1_bar_count,d2_bar_count,d3_bar_count,d1_first_bar_time,d2_first_bar_time,d3_first_bar_time,d1_last_bar_time,d2_last_bar_time,d3_last_bar_time,d1_expected_bar_count,d2_expected_bar_count,d3_expected_bar_count,d1_minute_complete,d2_minute_complete,d3_minute_complete,d2_daily_minute_open_diff,d3_daily_minute_high_diff,d3_daily_minute_close_diff,d2_date_shift_reason,d3_date_shift_reason,suspension_proof_status,label_quality_ok,label_quality_reason,target_quality_ok,tail_label_quality_ok,sample_role,sample_role_reason,d1_close_above_ma5,d1_close_above_ma10,d1_true_reclaim_ma5,d1_true_reclaim_ma10,d1_close_to_ma5_bucket,d1_open_to_close_bucket,event_observation_count,signal_date_candidate_count,proposed_training_weight,d2_open_daily,d3_high_daily,d3_close_daily,daily_d2open_to_d3high_return,daily_d2open_to_d3close_return,target7_daily_d2open_d3high,tail_loss_daily_5pct,d2_daily_date_shift_reason,d3_daily_date_shift_reason,suspension_proof_status_daily,daily_label_quality_ok,daily_label_quality_reason,d1_factor_quality_ok,target_training_eligible,tail_training_eligible,sample_role_v021,daily_label_source_d2,daily_label_source_d3,daily_label_cache_path,daily_label_cache_mtime,daily_label_cache_sha256,sample_role_v022,d1_break_date,d1_signal_date,d0_last_board_date
000090_2026-06-01,000090,天健集团,2026-06-01,2026-06-01,2,0,1,1,2,2,2,2,2,,,11.0,3.84,4.01,3.65,3.87,3.85,-0.0025974025974027,0.0415584415584415,0.0051948051948051,0.0935064935064934,0.0349127182044887,0.3888888888888881,0.5277777777777778,0.6111111111111118,1511520.0,576719965.3734,1.9557475120024888,2.027092477077651,,False,False,3.84,4.01,3.65,3.87,1511520.0,576719965.3734,3.536,3.438,3.475,0.0944570135746607,0.0322398190045247,0.134049773755656,0.12565445026178,0.0616637579988363,0.1136690647482014,0.0315052508751458,0.0138602182247127,True,True,0,0,0.0078125,0.0602739726027397,0.0349127182044887,0.6111111111111118,3.8157144854903486,0.0142268282168589,0.0935064935064934,-0.020253164556962,-0.0025773195876288,0.3851331955502515,0.5154537802268873,0.3087669902832327,0.3162052040250228,0.3087669902832327,0.2112907429783144,0.2174351392711187,0.0226204026474862,0.0228478987857973,0.5154537802268873,-0.014027264731176,complete,2026-05-29,False,True,2.0,d0,,stage_group,48,48,48,09:35,09:35,09:35,15:00,15:00,15:00,48,48,48,True,True,True,0.0,,,none,none,not_applicable,True,ok,True,True,TRAIN_PRIMARY,train_primary_20260601_20260729,True,True,False,False,plus_5_to_plus_10pct,zero_to_plus_2pct,2.0,9.0,2.901382496171519,3.79,3.69,3.59,-0.02638522427440637,-0.05277044854881274,False,True,none,no_bar_after_d2,not_applicable,True,ok,True,True,True,EXCLUDED_QUALITY,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\000090_daily.pkl,2026-08-03 22:45:27,da26317adb930094661589a2a67c5239b859c05bf33c5ad67a8dc1c20465b53f,TRAIN_PRIMARY,2026-06-01,2026-06-01,2026-05-29
002806_2026-06-01,002806,华锋股份,2026-06-01,2026-06-01,2,0,1,1,3,3,3,3,2,,,20.0,19.28,20.34,18.47,18.48,18.49,0.042725797728502,0.1000540832882639,-0.0005408328826391,0.1011357490535425,0.0914454277286135,0.5668449197860953,0.0053475935828885,0.0053475935828885,771228.0,1503482545.4305,2.1176703177213905,2.340353828022252,,True,False,19.28,20.34,18.47,18.48,771228.0,1503482545.4305,16.982,16.394,15.6,0.0882110469909316,0.0876221881992698,0.1977387822400189,0.1272416737830914,0.1266316945223862,0.1846153846153846,0.024122542515981,0.0227712271507891,True,True,0,0,-0.04149377593361,0.0005414185165133,0.0914454277286135,0.0053475935828885,19.49504012323576,-0.052066582926698,0.1011357490535425,-0.0227392913802221,-0.0185873605947953,0.473894035868308,0.4377594590131635,1.0,1.0,1.0,0.3825093811650052,0.3932954910927058,0.0819821402094117,0.0782605066267057,0.4377594590131635,0.0549264135950086,complete,2026-05-29,False,True,2.0,d0,,stage_group,48,48,48,09:35,09:35,09:35,15:00,15:00,15:00,48,48,48,True,True,True,0.0,0.0,0.0,none,none,not_applicable,True,ok,True,True,TRAIN_PRIMARY,train_primary_20260601_20260729,True,True,False,False,plus_5_to_plus_10pct,minus_5_to_minus_2pct,2.0,9.0,2.901382496171519,17.68,20.32,18.8,0.14932126696832593,0.06334841628959276,True,False,none,none,not_applicable,True,ok,True,True,True,TRAIN_PRIMARY,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\002806_daily.pkl,2026-06-29 14:05:38,6b2d0e4fe2f5276238c91558456eafddeb745e13b8ed154b7b419375a1c6b52c,TRAIN_PRIMARY,2026-06-01,2026-06-01,2026-05-29
600110_2026-06-01,600110,诺德股份,2026-06-01,2026-06-01,2,0,1,1,2,2,2,2,2,,,6.0,12.61,13.19,12.2,12.37,12.66,-0.0039494470774091,0.0418641390205369,-0.0229067930489732,0.0781990521327014,0.0621683093252464,0.5858585858585859,0.1717171717171716,0.1717171717171716,3124311.0,3944595531.79,1.2262103451787827,1.3084893822261008,,False,False,12.61,13.19,12.2,12.37,3124311.0,3944595531.79,11.562,10.678999999999998,10.7375,0.0698841030963501,0.0551807645736031,0.1408060889119529,0.1583481599400693,0.1424290663919842,0.1520372526193245,0.0412463976945243,0.0226968013790462,True,True,0,0,-0.0190325138778747,0.0139344262295081,0.0621683093252464,0.1717171717171716,12.625490864811994,-0.0202361133953264,0.0781990521327014,-0.0111910471622702,-0.0016142050040356,0.4743558197348642,0.4889984130675252,0.8534638343563169,0.8570101930327576,0.8534638343563169,0.0,0.0,0.0896703795422544,0.0874795921844518,0.4889984130675252,0.0206540715288597,complete,2026-05-29,False,True,2.0,d0,,stage_group,48,48,48,09:35,09:35,09:35,15:00,15:00,15:00,48,48,48,True,True,True,0.0,0.0,0.0,none,none,not_applicable,True,ok,True,True,TRAIN_PRIMARY,train_primary_20260601_20260729,True,True,False,False,plus_5_to_plus_10pct,minus_2_to_0pct,3.0,9.0,1.93425499744768,12.18,12.73,12.04,0.0451559934318555,-0.011494252873563315,False,False,none,none,not_applicable,True,ok,True,True,True,TRAIN_PRIMARY,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\600110_daily.pkl,2026-06-29 13:40:34,ea8bc1046225438142f352aadc344dfe39ba1ddc5c2f5e77d39cf3f3685b455d,TRAIN_PRIMARY,2026-06-01,2026-06-01,2026-05-29
603324_2026-06-01,603324,盛剑科技,2026-06-01,2026-06-01,2,0,1,1,3,3,3,3,2,,,40.0,33.0,34.98,32.33,32.87,34.29,-0.0376202974628171,0.0201224846894136,-0.0414114902303879,0.0772820064158646,0.0603201829616923,0.7471698113207539,0.2037735849056601,0.2037735849056601,193610.0,643950984.6373,1.4169868628096751,1.4661752638144625,,False,False,33.0,34.98,32.33,32.87,193610.0,643950984.6373,31.294,30.880000000000003,28.742,0.050361091583051,0.033105387614239,0.117786157090816,0.0644430051813469,0.0469559585492227,0.1436225732377702,0.0157091853294384,0.0168598524762908,True,True,0,0,-0.003939393939394,0.0167027528611196,0.0603201829616923,0.2037735849056601,33.26024739642828,-0.0117331477357016,0.0772820064158646,0.0070465686274507,-0.0009118541033434,0.524941402759571,0.4505402102579518,0.8954236820656806,0.8970057759213521,0.8954236820656806,0.0,0.0,0.1108084404818351,0.1098617670474514,0.4505402102579518,0.0118724489330173,complete,2026-05-29,False,True,2.0,d0,,stage_group,48,48,48,09:35,09:35,09:35,15:00,15:00,15:00,48,48,48,True,True,True,0.0,0.0,0.0,none,none,not_applicable,True,ok,True,True,TRAIN_PRIMARY,train_primary_20260601_20260729,True,True,False,False,plus_5_to_plus_10pct,minus_2_to_0pct,3.0,9.0,1.93425499744768,33.03,33.77,32.48,0.022403875264910722,-0.016651528913109392,False,False,none,none,not_applicable,True,ok,True,True,True,TRAIN_PRIMARY,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\603324_daily.pkl,2026-06-29 13:52:38,ac7cbb423091cc86c6bf60f163bf7a7b84cfcd855b26142b69f815c77d044000,TRAIN_PRIMARY,2026-06-01,2026-06-01,2026-05-29
002608_2026-06-02,002608,江苏国信,2026-06-02,2026-06-02,2,0,1,1,2,2,2,2,2,,,11.0,10.09,10.82,9.72,10.42,10.12,-0.0029644268774703,0.0691699604743083,0.0296442687747036,0.108695652173913,0.0369685767097967,0.3636363636363641,0.3363636363636357,0.6363636363636359,2204760.0,2258605158.7175,1.9944637429439864,2.13948509820854,,False,False,10.09,10.82,9.72,10.42,2204760.0,2258605158.7175,9.262,8.719999999999999,8.442499999999999,0.1250269920103648,0.0494493629885555,0.1682142085942561,0.194954128440367,0.1146788990825691,0.2342315664791237,0.0491617580425918,0.0202410202410201,True,True,0,0,0.0327056491575816,0.0720164609053497,0.0369685767097967,0.6363636363636359,10.245117708460892,0.0170698176942059,0.108695652173913,0.017578125,0.0276134122287967,0.6492197419002824,0.2904063246769272,0.1368433654221245,0.1381489599119556,0.1368433654221245,0.1010658458870099,0.1047054575846204,0.0227504961052878,0.0228123118711713,0.2904063246769272,-0.0167833293223711,complete,2026-06-01,False,True,2.0,d0,,stage_group,48,48,48,09:35,09:35,09:35,15:00,15:00,15:00,48,48,48,True,True,True,0.0,0.0,0.0,none,none,not_applicable,True,ok,True,True,TRAIN_PRIMARY,train_primary_20260601_20260729,True,True,False,False,above_plus_10pct,plus_2_to_plus_5pct,3.0,6.0,2.901382496171519,10.0,10.99,10.5,0.09899999999999998,0.050000000000000044,True,False,none,none,not_applicable,True,ok,True,True,True,TRAIN_PRIMARY,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\002608_daily.pkl,2026-08-03 22:45:45,b67bca04aefd0978ead34eaf0ee2c9e2327edc14e22effce3f399e70330fb54d,TRAIN_PRIMARY,2026-06-02,2026-06-02,2026-06-01
600011_2026-06-02,600011,华能国际,2026-06-02,2026-06-02,2,0,1,1,2,2,2,2,2,,,1.0,9.39,9.39,8.89,9.09,9.76,-0.0379098360655737,-0.0379098360655737,-0.0686475409836065,0.0512295081967213,0.0319488817891374,0.0,0.3999999999999986,0.3999999999999986,5329692.0,4880218605.1995,0.9128974427202968,0.9301267772615188,,False,False,9.39,9.39,8.89,9.09,5329692.0,4880218605.1995,8.698,8.056999999999999,7.772499999999999,0.0450678316854449,0.0220740400091974,0.079558519199816,0.1282114931115801,0.1033883579496093,0.1695078803473786,0.0376998329754236,0.0160151324085748,True,True,0,0,-0.0319488817891374,0.0224971878515184,0.0319488817891374,0.3999999999999986,9.156661475190065,-0.0072801069877579,0.0512295081967213,-0.0065573770491803,0.0033112582781456,0.2514630380888027,0.6463614679337375,0.8599353864734628,0.8611901849604733,0.8599353864734628,0.0505107811979088,0.051150887665983,0.0964489117285907,0.0961926073375784,0.6463614679337375,0.0073334956204691,complete,2026-06-01,False,True,2.0,d0,,stage_group,48,48,48,09:35,09:35,09:35,15:00,15:00,15:00,48,48,48,True,True,True,0.0,0.0,0.0,none,none,not_applicable,True,ok,True,True,TRAIN_PRIMARY,train_primary_20260601_20260729,True,True,False,False,plus_2_to_plus_5pct,minus_5_to_minus_2pct,3.0,6.0,2.901382496171519,8.83,9.06,8.75,0.02604756511891293,-0.009060022650056676,False,False,none,none,not_applicable,True,ok,True,True,True,TRAIN_PRIMARY,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\600011_daily.pkl,2026-08-03 22:45:55,918054a27a38e44e781984522247d3713a9a09f65986787b27e759e12e593d0b,TRAIN_PRIMARY,2026-06-02,2026-06-02,2026-06-01
000055_2026-06-03,000055,方大集团,2026-06-03,2026-06-03,2,0,1,1,2,2,2,2,2,,,28.0,4.43,4.44,3.91,3.93,4.19,0.0572792362768495,0.0596658711217183,-0.0620525059665871,0.126491646778043,0.1148648648648649,0.0188679245283031,0.0377358490566037,0.0377358490566037,1119950.0,464411053.2095,2.952816110440253,3.073157519164857,,False,False,4.43,4.44,3.91,3.93,1119950.0,464411053.2095,3.770000000000001,3.641000000000001,3.666,0.0424403183023871,0.0371352785145888,0.1777188328912466,0.0793737984070308,0.0738808019774786,0.0720130932896891,0.0283687943262413,0.0083079479368597,True,True,0,0,-0.112866817155756,0.0051150895140665,0.1148648648648649,0.0377358490566037,4.1481289570926645,-0.0525849025787149,0.126491646778043,-0.0125628140703517,0.0,0.1793413910517627,0.6920248062926154,0.9829764625008688,0.983887631507503,0.9829764625008688,0.3597223799468141,0.3788186387524189,0.0484755479781059,0.0459539464739497,0.6920248062926154,0.0555035514230698,complete,2026-06-02,False,True,2.0,d0,,stage_group,48,48,48,09:35,09:35,09:35,15:00,15:00,15:00,48,48,48,True,True,True,0.0,0.0,0.0,none,none,not_applicable,True,ok,True,True,TRAIN_PRIMARY,train_primary_20260601_20260729,True,True,False,False,plus_2_to_plus_5pct,below_minus_5pct,3.0,12.0,1.4506912480857594,3.89,3.89,3.67,0.0,-0.05655526992287918,False,True,none,none,not_applicable,True,ok,True,True,True,TRAIN_PRIMARY,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\000055_daily.pkl,2026-08-03 22:45:26,f5da75263d4dc8ae2e404010297bd95fa456c8a462f9b77fdb43c76600479979,TRAIN_PRIMARY,2026-06-03,2026-06-03,2026-06-02
001210_2026-06-03,001210,金房能源,2026-06-03,2026-06-03,2,0,1,1,2,4,2,4,2,,,49.0,35.0,37.95,34.31,35.9,36.86,-0.0504612045577862,0.0295713510580575,-0.0260444926749864,0.0987520347259902,0.0540184453227932,0.5631868131868143,0.1895604395604389,0.4368131868131857,231102.0,831611276.2495999,2.632740943267259,2.701181493739894,,False,False,35.0,37.95,34.31,35.9,231102.0,831611276.2495999,33.128,31.077,29.0195,0.083675440714803,0.0356797874909442,0.1455566288336152,0.1551951604080188,0.1040319207130677,0.2370991919226726,0.0460372592358699,0.0158538179916316,True,True,0,0,0.0257142857142855,0.0463421742932088,0.0540184453227932,0.4368131868131857,36.0332565744788,-0.003698155180711,0.0987520347259902,0.0030734842134674,0.0039149888143177,0.6555595818240423,0.3415590099620031,0.447838473715036,0.4560577769124284,0.447838473715036,0.1056650521970347,0.1092917504583244,0.0969231196525775,0.0955952545880816,0.3415590099620031,0.0037118822974596,complete,2026-06-02,False,True,2.0,d0,,stage_group,48,48,48,09:35,09:35,09:35,15:00,15:00,15:00,48,48,48,True,True,True,0.0,0.0,0.0,none,none,not_applicable,True,ok,True,True,TRAIN_PRIMARY,train_primary_20260601_20260729,True,True,False,False,plus_5_to_plus_10pct,plus_2_to_plus_5pct,3.0,12.0,1.4506912480857594,35.37,26.72,24.93,-0.24455753463387053,-0.2951653944020356,False,True,none,none,not_applicable,True,ok,True,True,True,TRAIN_PRIMARY,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\001210_daily.pkl,2026-07-02 23:09:12,28468a6a1e0d1bf204a4ddbe08ba68de7558bec39f5c3d41c08b9e58d079661c,TRAIN_PRIMARY,2026-06-03,2026-06-03,2026-06-02
002404_2026-06-03,002404,嘉欣丝绸,2026-06-03,2026-06-03,2,0,1,1,2,2,1,1,2,,,40.0,7.19,7.72,7.09,7.55,7.4,-0.0283783783783784,0.0432432432432432,0.0202702702702701,0.0851351351351351,0.022020725388601,0.2698412698412697,0.1587301587301596,0.7301587301587302,845499.0,622346083.5948999,3.014460872572473,3.1917137711249635,,False,False,7.19,7.72,7.09,7.55,845499.0,622346083.5948999,6.772,6.55,6.7455,0.1148848198464262,0.0469580626107501,0.1399881866509154,0.1526717557251908,0.082442748091603,0.1192646949818396,0.0460302749459378,0.0133044554455443,True,True,0,0,0.0500695410292071,0.0648801128349788,0.022020725388601,0.7301587301587302,7.365276267823983,0.0250803534665771,0.0851351351351351,0.0161507402422611,0.0188933873144399,0.5487898154210032,0.3633233703739966,0.1350540751489186,0.138915230242012,0.1350540751489186,0.1823597191849298,0.1873696317311502,0.0640848750262685,0.0658100775104413,0.3633233703739966,-0.0244667194935121,complete,2026-06-02,False,True,2.0,d0,,stage_group,48,48,48,09:35,09:35,09:35,15:00,15:00,15:00,48,48,48,True,True,True,0.0,0.0,0.0,none,none,not_applicable,True,ok,True,True,TRAIN_PRIMARY,train_primary_20260601_20260729,True,True,False,False,above_plus_10pct,above_plus_5pct,3.0,12.0,1.4506912480857594,7.35,7.57,7.22,0.029931972789115635,-0.017687074829931926,False,False,none,none,not_applicable,True,ok,True,True,True,TRAIN_PRIMARY,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\002404_daily.pkl,2026-06-29 14:19:40,c5c7db0fb1978ad1907bff5bc354d372167c140967ed621c9f7115eaabe79fc6,TRAIN_PRIMARY,2026-06-03,2026-06-03,2026-06-02
002421_2026-06-03,002421,达实智能,2026-06-03,2026-06-03,2,0,1,1,4,8,4,8,4,,,1.0,4.88,5.1,4.74,4.88,4.97,-0.0181086519114688,0.0261569416498994,-0.0181086519114688,0.0724346076458751,0.0431372549019607,0.6111111111111114,0.3888888888888886,0.3888888888888886,7668822.0,3752182832.4913,1.6250595982032174,1.7269881541118592,,False,False,4.88,5.1,4.74,4.88,7668822.0,3752182832.4913,4.609999999999999,4.54,3.9135,0.0585683297180044,0.0281995661605207,0.1062906724511931,0.0748898678414096,0.0440528634361234,0.2469656317874025,0.0131868131868131,0.0136191114087966,True,True,0,0,0.0,0.0295358649789028,0.0431372549019607,0.3888888888888886,4.897143063974625,-0.003500625517914,0.0724346076458751,0.0145530145530146,0.0061855670103092,0.5729144496737737,0.4134949438136924,0.6582589362446913,0.6635109228475935,0.6582589362446913,0.0762986994193771,0.0780387773606122,0.0756128743788998,0.0750651706061695,0.4134949438136924,0.0035129229456199,complete,2026-06-02,False,True,2.0,d0,,stage_group,48,48,48,09:35,09:35,09:35,15:00,15:00,15:00,48,48,48,True,True,True,0.0,0.0,0.0,none,none,not_applicable,True,ok,True,True,TRAIN_PRIMARY,train_primary_20260601_20260729,True,True,False,False,plus_5_to_plus_10pct,zero_to_plus_2pct,2.0,12.0,2.1760368721286394,4.87,5.21,5.21,0.06981519507186862,0.06981519507186862,False,False,none,none,not_applicable,True,ok,True,True,True,TRAIN_PRIMARY,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\002421_daily.pkl,2026-08-03 22:02:18,486cd083f3d13e63a9ede005716d2c9f2c94fd7fd63ef750b59ec766fc18171e,TRAIN_PRIMARY,2026-06-03,2026-06-03,2026-06-02
