factor,bucket,record_count,success_count,failed_count,missed_count,ordinary_count,data_issue_count,success_rate,failed_rate,missed_rate,avg_d3_realized_return_pct,median_d3_realized_return_pct,avg_candidate_d3_max_return_pct,avg_d3_max_return_pct,avg_d3_close_return_pct
active_money_score,50-60,406,11,24,143,228,0,0.027093596059113302,0.059113300492610835,0.3522167487684729,-0.1685849027097182,0.5170623707219768,6.460375505548905,5.235667525298236,-0.5258443343237742
active_money_score,60-70,576,14,26,201,335,0,0.024305555555555556,0.04513888888888889,0.3489583333333333,1.3727196756003868,1.9938008546627415,6.139984320740169,6.11808193528559,1.4121733440491875
active_money_score,70-80,488,21,29,154,276,8,0.0430327868852459,0.05942622950819672,0.3155737704918033,1.8108156542031377,2.6158686976385237,5.945534949961666,6.632388553878205,2.6308955061695376
active_money_score,<=50,617,13,28,251,325,0,0.02106969205834684,0.04538087520259319,0.406807131280389,-0.21947447633636907,-0.5946361858557347,6.967538959409268,5.478167395664407,0.15183311322496248
active_money_score,>80,875,11,27,303,532,2,0.012571428571428572,0.030857142857142857,0.3462857142857143,-0.13162313232474074,0.12090113583900776,5.629603780198441,4.6058094322512755,-1.390893911151793
allowed_bool,False,2116,0,0,825,1281,10,0.0,0.0,0.3898865784499055,,,6.353990484358873,,
allowed_bool,True,846,70,134,227,415,0,0.08274231678486997,0.15839243498817968,0.26832151300236406,0.6154361057902005,0.8666245848163667,5.727555411335416,5.682434755581182,0.6029330705272921
candidate_d3_close_return_pct,,10,0,0,0,0,10,0.0,0.0,0.0,,,,,
candidate_d3_close_return_pct,0-3,419,13,23,98,285,0,0.031026252983293555,0.05489260143198091,0.23389021479713604,3.4367426853459113,2.6158686976385237,5.519512728821243,5.768955651879684,1.879108467346307
candidate_d3_close_return_pct,3-7,442,14,12,265,151,0,0.03167420814479638,0.027149321266968326,0.5995475113122172,5.014269290095787,7.0,8.323379856646518,7.18584615452015,4.171819002458757
candidate_d3_close_return_pct,7-10,223,9,1,213,0,0,0.04035874439461883,0.004484304932735426,0.9551569506726457,6.865764023210832,7.0,11.325461142184885,10.487463988018398,8.142478604415151
candidate_d3_close_return_pct,<=0,1501,13,98,130,1260,0,0.008660892738174551,0.06528980679546968,0.0866089273817455,-3.100922638431087,-3.311258278145701,2.376779687191444,2.88601151975193,-4.090058099753481
candidate_d3_close_return_pct,>10,367,21,0,346,0,0,0.05722070844686648,0.0,0.9427792915531336,7.0,7.0,16.736463114043868,16.16573181336765,15.212133834650373
candidate_d3_max_return_pct,,10,0,0,0,0,10,0.0,0.0,0.0,,,,,
candidate_d3_max_return_pct,0-3,742,2,56,0,684,0,0.0026954177897574125,0.07547169811320754,0.0,-2.627296274328443,-1.897419139547829,1.602845417136451,2.0219140007904173,-2.687781643691289
candidate_d3_max_return_pct,3-7,768,7,48,0,713,0,0.009114583333333334,0.0625,0.0,-0.6486593803116285,-0.0687757909215935,4.882016466855823,4.663041227134043,-1.184450842507853
candidate_d3_max_return_pct,7-10,462,23,8,431,0,0,0.049783549783549784,0.017316017316017316,0.9329004329004329,5.722004734163075,7.0,8.550709659278201,8.34892417064129,3.0620756578368753
candidate_d3_max_return_pct,<=0,321,0,22,0,299,0,0.0,0.06853582554517133,0.0,-5.898805970439324,-5.556928386668753,-1.271876756542884,-0.40668849533520474,-5.898805970439324
candidate_d3_max_return_pct,>10,659,38,0,621,0,0,0.057663125948406675,0.0,0.9423368740515933,7.0,7.0,14.7893178577432,14.094971268627354,9.970628000429379
consecutive_boards,<=50,2962,70,134,1052,1696,10,0.02363268062120189,0.04523970290344362,0.3551654287643484,0.6154361057902005,0.8666245848163667,6.174463359772882,5.682434755581182,0.6029330705272921
daily_rank,,2628,0,0,991,1627,10,0.0,0.0,0.3770928462709285,,,6.1763917604003975,,
daily_rank,1,12,2,1,4,5,0,0.16666666666666666,0.08333333333333333,0.3333333333333333,4.9618721998044215,7.0,6.958937043991132,10.142300851588848,2.268876528535287
daily_rank,2,11,2,2,6,1,0,0.18181818181818182,0.18181818181818182,0.5454545454545454,1.532693086654013,2.052097428958052,8.344137886902578,6.50056875025395,-0.5784742060227361
daily_rank,3,11,2,6,3,0,0,0.18181818181818182,0.5454545454545454,0.2727272727272727,-0.6010755513015555,-0.9360584052737875,4.8020826843229365,3.7592443984561297,-1.7549080404461292
daily_rank,>3,300,64,125,48,63,0,0.21333333333333335,0.4166666666666667,0.16,0.5785247674369527,0.9737827715355918,6.097021795033112,5.675733107910741,0.701295650527099
days_since_d0,0,1142,0,0,549,583,10,0.0,0.0,0.4807355516637478,,,7.64050193275285,,
days_since_d0,1,698,40,63,203,392,0,0.05730659025787966,0.09025787965616046,0.29083094555873923,1.038183830951343,1.8441279368695884,5.5600605863313,5.957643129424931,0.8304172856946992
days_since_d0,2,490,19,39,141,291,0,0.03877551020408163,0.07959183673469387,0.28775510204081634,0.5937548028616917,0.20946939156235023,5.429425130629393,5.515239981914382,0.46026847843049934
days_since_d0,3,394,11,32,112,239,0,0.027918781725888325,0.08121827411167512,0.28426395939086296,-0.3679476179712923,-0.129819850570001,5.510031008203282,5.248733229226963,0.25046033051266575
days_since_d0,>3,238,0,0,47,191,0,0.0,0.0,0.19747899159663865,,,3.6372892003091617,,
eligible_for_trade,False,2628,0,0,991,1627,10,0.0,0.0,0.3770928462709285,,,6.1763917604003975,,
eligible_for_trade,True,334,70,134,61,69,0,0.20958083832335328,0.40119760479041916,0.18263473053892215,0.6154361057902005,0.8666245848163667,6.159347932099724,5.682434755581182,0.6029330705272921
executed,False,2758,0,0,1052,1696,10,0.0,0.0,0.38143582306018853,,,6.216339044311257,,
executed,True,204,70,134,0,0,0,0.3431372549019608,0.6568627450980392,0.0,0.6154361057902005,0.8666245848163667,5.61037325628537,5.682434755581182,0.6029330705272921
failure_reason,,2676,54,4,991,1627,0,0.020179372197309416,0.0014947683109118087,0.3703288490284006,6.615932918020243,7.0,6.2841662347889935,11.601515868019195,7.033902097548468
failure_reason,break_invalid,35,0,0,3,32,0,0.0,0.0,0.08571428571428572,,,1.957296140951075,,
failure_reason,data_issue,10,0,0,0,0,10,0.0,0.0,0.0,,,,,
failure_reason,not_triggered,28,0,0,0,28,0,0.0,0.0,0.0,,,3.414823035752085,,
failure_reason,stop_hit,131,16,115,0,0,0,0.12213740458015267,0.8778625954198473,0.0,-2.008690082832906,-2.2435299763161387,3.32509135055145,3.229100265783343,-2.21321551494184
failure_reason,unknown,6,0,6,0,0,0,0.0,1.0,0.0,2.600717475257993,2.693521441788771,5.133076101516172,5.3710275718738245,2.600717475257993
failure_reason,weak_repair,9,0,9,0,0,0,0.0,1.0,0.0,-1.1823386293789342,-0.942285041224966,3.499500575974955,3.4544966160652404,-1.1823386293789342
failure_reason,zone_too_low,67,0,0,58,9,0,0.0,0.0,0.8656716417910447,,,11.172920225443974,,
graph_quality_score,50-60,455,0,0,160,291,4,0.0,0.0,0.3516483516483517,,,6.00222624830171,,
graph_quality_score,60-70,409,14,43,141,211,0,0.034229828850855744,0.10513447432762836,0.34474327628361856,0.14190269635015226,0.6875606841119764,6.537919316417294,4.705950180555839,0.5640946843999075
graph_quality_score,70-80,276,9,13,118,136,0,0.03260869565217391,0.04710144927536232,0.427536231884058,0.7718423682642471,1.3634944154691908,7.006265239947705,5.40255102403733,-0.8582965028583321
graph_quality_score,<=50,1076,0,0,324,750,2,0.0,0.0,0.30111524163568776,,,5.2609132475797535,,
graph_quality_score,>80,746,47,78,309,308,4,0.06300268096514745,0.10455764075067024,0.41420911528150134,0.8038398382994303,1.1842689228782843,7.091715317418577,6.176971258544459,0.8778197795172495
invalid_distance_pct,1-2,303,2,6,124,167,4,0.006600660066006601,0.019801980198019802,0.40924092409240925,-1.3426651314830425,-1.0500481510645032,6.711805867698677,5.202180435887,-0.1510536377449454
