factor,target,universe,quantile,count,factor_min,factor_max,factor_mean,target_mean,target_median,target_p25,target_p75,target7_rate,target10_rate,loss_rate,opportunity7_rate,primary_close_mean,opportunity_max_mean
daily_rank,all_opportunity_d3_max,all_candidates,5,67,40.0,64.0,49.9851,5.0818,3.2325,0.9336,7.6237,0.3284,0.1642,0.0,0.3284,-0.8058,5.0818
daily_rank,all_primary_d3_close,all_candidates,1,67,1.0,7.0,3.4925,0.3768,-0.6721,-4.5607,4.9098,0.1791,0.0896,0.3284,0.4776,0.3768,6.4837
daily_rank,all_primary_d3_close,all_candidates,2,67,7.0,14.0,10.4478,2.0426,0.3606,-4.5629,7.7216,0.2985,0.194,0.2985,0.4179,2.0426,6.9503
daily_rank,all_primary_d3_close,all_candidates,3,66,14.0,23.0,18.197,0.4625,0.6967,-4.3002,4.5672,0.1515,0.0909,0.3182,0.3636,0.4625,5.6795
daily_rank,all_primary_d3_close,all_candidates,4,67,23.0,40.0,31.3881,0.7528,-0.9309,-5.7808,4.8105,0.209,0.1642,0.3582,0.3582,0.7528,6.5943
daily_rank,all_primary_d3_close,all_candidates,5,67,40.0,64.0,49.9851,-0.8058,-2.7778,-6.2388,2.9177,0.1343,0.0896,0.4627,0.3284,-0.8058,5.0818
daily_rank,executed_realized_d3,executed_only,1,41,1.0,8.0,4.4878,1.007,1.4969,-3.7932,7.0,0.4146,0.0,0.2683,0.3171,-0.4479,5.6357
daily_rank,executed_realized_d3,executed_only,2,41,8.0,16.0,12.4878,1.8213,2.0124,-1.99,7.0,0.4146,0.0,0.1951,0.3902,2.0013,6.5442
daily_rank,executed_realized_d3,executed_only,3,40,16.0,26.0,20.675,1.6325,1.9173,-2.3323,7.0,0.35,0.0,0.2,0.35,0.7476,5.4281
daily_rank,executed_realized_d3,executed_only,4,41,26.0,42.0,34.3415,-1.1271,-1.3603,-5.3555,7.0,0.2683,0.0,0.3902,0.2683,-0.6675,5.3649
daily_rank,executed_realized_d3,executed_only,5,41,43.0,63.0,51.9512,-0.2317,-0.1298,-4.4698,7.0,0.2683,0.0,0.3659,0.3659,0.1473,5.0746
days_since_d0,all_opportunity_d3_max,all_candidates,1,591,0.0,0.0,0.0,7.7715,6.7266,3.0789,10.6517,0.489,0.3113,0.0068,0.489,2.4533,7.7715
days_since_d0,all_opportunity_d3_max,all_candidates,2,590,0.0,1.0,0.0831,7.2555,6.4005,2.7828,10.0048,0.4644,0.2576,0.0068,0.4644,1.2579,7.2555
days_since_d0,all_opportunity_d3_max,all_candidates,3,590,1.0,1.0,1.0,5.8365,4.682,1.8485,9.5392,0.3593,0.2136,0.0136,0.3593,0.6269,5.8365
days_since_d0,all_opportunity_d3_max,all_candidates,4,590,1.0,3.0,1.9695,5.1423,3.8419,1.3322,8.0431,0.3119,0.1678,0.0102,0.3119,-0.1406,5.1423
days_since_d0,all_opportunity_d3_max,all_candidates,5,591,3.0,4.0,3.4027,4.866,3.2315,0.9269,7.7215,0.2741,0.1658,0.022,0.2741,-0.1056,4.866
days_since_d0,all_primary_d3_close,all_candidates,1,591,0.0,0.0,0.0,2.4533,1.8033,-3.5617,7.5442,0.2657,0.1777,0.2826,0.489,2.4533,7.7715
days_since_d0,all_primary_d3_close,all_candidates,2,590,0.0,1.0,0.0831,1.2579,0.6164,-4.435,6.4375,0.222,0.1458,0.3102,0.4644,1.2579,7.2555
days_since_d0,all_primary_d3_close,all_candidates,3,590,1.0,1.0,1.0,0.6269,0.1019,-4.2934,5.2497,0.1831,0.0881,0.3288,0.3593,0.6269,5.8365
days_since_d0,all_primary_d3_close,all_candidates,4,590,1.0,3.0,1.9695,-0.1406,-0.9813,-5.108,4.406,0.1695,0.1017,0.3966,0.3119,-0.1406,5.1423
days_since_d0,all_primary_d3_close,all_candidates,5,591,3.0,4.0,3.4027,-0.1056,-1.3055,-5.1806,3.8127,0.1591,0.1083,0.3824,0.2741,-0.1056,4.866
days_since_d0,executed_realized_d3,executed_only,1,41,1.0,1.0,1.0,2.157,5.6576,-0.9672,7.0,0.4878,0.0,0.1951,0.3659,0.6108,6.3344
days_since_d0,executed_realized_d3,executed_only,2,41,1.0,1.0,1.0,0.7384,1.4552,-3.1108,7.0,0.3659,0.0,0.2683,0.439,1.4086,6.9033
days_since_d0,executed_realized_d3,executed_only,3,40,1.0,2.0,1.475,1.0943,1.2885,-1.9429,7.0,0.325,0.0,0.25,0.375,1.2418,5.0673
days_since_d0,executed_realized_d3,executed_only,4,41,2.0,3.0,2.0488,-0.1734,-1.1181,-5.2093,7.0,0.3171,0.0,0.3415,0.2927,-0.4853,5.2148
days_since_d0,executed_realized_d3,executed_only,5,41,3.0,3.0,3.0,-0.7274,-0.5946,-5.1988,2.8049,0.2195,0.0,0.3659,0.2195,-0.9831,4.519
graph_quality_score,all_opportunity_d3_max,all_candidates,1,591,0.0,40.0,24.9882,5.1805,3.9111,1.4692,7.7717,0.2978,0.1607,0.0051,0.2978,0.1895,5.1805
graph_quality_score,all_opportunity_d3_max,all_candidates,2,590,40.0,58.0,44.9559,5.57,4.1439,1.4382,8.8503,0.3288,0.1949,0.0102,0.3288,0.4935,5.57
graph_quality_score,all_opportunity_d3_max,all_candidates,3,590,58.0,70.0,62.6305,6.2229,4.9089,1.7641,9.909,0.3644,0.2373,0.0186,0.3644,0.894,6.2229
graph_quality_score,all_opportunity_d3_max,all_candidates,4,590,70.0,82.0,76.261,6.9181,5.7175,2.2715,10.0988,0.4254,0.2678,0.0119,0.4254,1.3446,6.9181
graph_quality_score,all_opportunity_d3_max,all_candidates,5,591,82.0,90.0,89.2826,6.9811,6.702,2.4047,10.0,0.4822,0.2555,0.0135,0.4822,1.1719,6.9811
graph_quality_score,all_primary_d3_close,all_candidates,1,591,0.0,40.0,24.9882,0.1895,-0.8117,-4.4671,4.454,0.1506,0.0863,0.3418,0.2978,0.1895,5.1805
graph_quality_score,all_primary_d3_close,all_candidates,2,590,40.0,58.0,44.9559,0.4935,-0.4243,-4.9545,4.7921,0.1763,0.1203,0.361,0.3288,0.4935,5.57
graph_quality_score,all_primary_d3_close,all_candidates,3,590,58.0,70.0,62.6305,0.894,-0.5251,-4.4145,5.4974,0.2085,0.1356,0.3559,0.3644,0.894,6.2229
graph_quality_score,all_primary_d3_close,all_candidates,4,590,70.0,82.0,76.261,1.3446,0.6003,-4.5546,6.5527,0.239,0.139,0.3254,0.4254,1.3446,6.9181
graph_quality_score,all_primary_d3_close,all_candidates,5,591,82.0,90.0,89.2826,1.1719,0.6866,-4.5411,6.445,0.225,0.1404,0.3164,0.4822,1.1719,6.9811
graph_quality_score,executed_realized_d3,executed_only,1,41,70.0,70.0,70.0,1.1332,1.2858,-1.2838,7.0,0.2927,0.0,0.2439,0.3415,2.1653,5.9703
graph_quality_score,executed_realized_d3,executed_only,2,41,70.0,82.0,74.1951,-1.1223,-0.9423,-6.2301,7.0,0.2683,0.0,0.4146,0.2683,-2.1298,4.5244
graph_quality_score,executed_realized_d3,executed_only,3,40,82.0,82.0,82.0,2.5011,7.0,-1.4714,7.0,0.55,0.0,0.2,0.475,4.1774,9.0317
graph_quality_score,executed_realized_d3,executed_only,4,41,82.0,82.0,82.0,-0.4745,-1.3189,-4.8337,7.0,0.2927,0.0,0.3659,0.3415,-1.4159,4.5425
graph_quality_score,executed_realized_d3,executed_only,5,41,82.0,90.0,89.6098,1.0857,0.8856,-2.3852,7.0,0.3171,0.0,0.1951,0.2683,-0.9327,4.0664
invalid_distance_pct,all_opportunity_d3_max,all_candidates,1,591,0.0,2.1053,1.0808,7.4415,6.7266,2.2166,10.4059,0.4839,0.2978,0.022,0.4839,2.3248,7.4415
invalid_distance_pct,all_opportunity_d3_max,all_candidates,2,590,2.1059,3.1454,2.6907,5.8955,4.6105,1.7495,9.2888,0.3492,0.2085,0.0068,0.3492,0.4408,5.8955
invalid_distance_pct,all_opportunity_d3_max,all_candidates,3,590,3.1461,3.8955,3.5282,5.9,4.6354,1.8309,8.7915,0.3525,0.1966,0.0068,0.3525,0.7033,5.9
invalid_distance_pct,all_opportunity_d3_max,all_candidates,4,590,3.8961,4.5543,4.2184,6.1453,4.9766,1.6878,9.8286,0.3729,0.2203,0.0119,0.3729,0.6162,6.1453
invalid_distance_pct,all_opportunity_d3_max,all_candidates,5,591,4.5544,6.4587,5.0059,5.489,4.335,1.5138,9.0109,0.3401,0.1929,0.0118,0.3401,0.0068,5.489
invalid_distance_pct,all_primary_d3_close,all_candidates,1,591,0.0,2.1053,1.0808,2.3248,1.7428,-3.8823,7.7709,0.2741,0.1912,0.2927,0.4839,2.3248,7.4415
invalid_distance_pct,all_primary_d3_close,all_candidates,2,590,2.1059,3.1454,2.6907,0.4408,-0.7322,-4.6352,4.6109,0.1763,0.1169,0.3458,0.3492,0.4408,5.8955
invalid_distance_pct,all_primary_d3_close,all_candidates,3,590,3.1461,3.8955,3.5282,0.7033,-0.3515,-4.3465,5.2493,0.1915,0.1136,0.339,0.3525,0.7033,5.9
invalid_distance_pct,all_primary_d3_close,all_candidates,4,590,3.8961,4.5543,4.2184,0.6162,-0.423,-4.541,5.0694,0.1814,0.1085,0.3458,0.3729,0.6162,6.1453
invalid_distance_pct,all_primary_d3_close,all_candidates,5,591,4.5544,6.4587,5.0059,0.0068,-0.7647,-5.2486,4.8787,0.176,0.0914,0.3773,0.3401,0.0068,5.489
