signal_date,old_signal_count,current_signal_count,shared_signal_count,added_signal_count,removed_signal_count,old_eligible_count,current_eligible_count,added_eligible_count,removed_eligible_count,old_scorable_count,current_scorable_count,added_scorable_count,removed_scorable_count,shared_business_field_mismatch_count,shared_business_field_mismatch_cell_count,shared_all_signal_feature_mismatch_count,shared_all_signal_feature_mismatch_cell_count,shared_model_domain_feature_mismatch_count,shared_model_feature_hash_match,reference_model_domain_hash,independent_old_model_semantic_hash,independent_current_model_semantic_hash,added_d0_dates_json,removed_d0_dates_json,all_old_signal_preserved,all_old_eligible_preserved,all_old_scorable_preserved,classification,overall_classification
2026-06-26,333,333,333,0,0,205,205,0,0,205,205,0,0,0,0,0,0,0,True,4dfe944067b68a69b06f87de25be4721c6de1bb2439a1bb227b80f56384a89bf,1c589b69b7dd5593441be237881d08ed13b855f13d4ac1aed3fd4ac7c1c3963c,1c589b69b7dd5593441be237881d08ed13b855f13d4ac1aed3fd4ac7c1c3963c,{},{},True,True,True,STABLE,DATE_SPECIFIC_MIXED_DRIFT
2026-06-29,131,194,131,63,0,21,41,20,0,21,41,20,0,0,0,12,54,0,True,2d0d3521c2af11a4e9a9a33630564d944466f84e0fd4ba8ac8ebdc8d099f65d8,36092072c929feccc6283f9276bcac9b90727ab06bf55643ae3659fbaa54adc4,36092072c929feccc6283f9276bcac9b90727ab06bf55643ae3659fbaa54adc4,"{""2026-06-25"":{""count"":43,""days_since_d0"":[4],""eligible_count"":0,""scorable_count"":0,""signal_types"":[""WATCH_ONLY""]},""2026-06-26"":{""count"":20,""days_since_d0"":[3],""eligible_count"":20,""scorable_count"":20,""signal_types"":[""D2_LOW_ABSORB""]}}",{},True,True,True,UPSTREAM_EXPANSION_WITH_NONSCORABLE_FEATURE_DRIFT,DATE_SPECIFIC_MIXED_DRIFT
