code,cache_path,cache_exists,source,cache_fetched_at,file_mtime_asia_shanghai,time_basis,latest_daily_date,latest_daily_close,latest_daily_high,latest_daily_low,latest_daily_volume,file_sha256,stale_intraday_daily_cache,audit_error,refresh_status,refresh_source,refreshed_latest_daily_date,tencent_raw_close,sina_daily_close,eastmoney_raw_close,sina_5m_last_close,sina_5m_last_timestamp,sina_5m_bar_count,tencent_vs_sina_5m_abs_diff,sina_daily_vs_sina_5m_abs_diff,eastmoney_vs_sina_5m_abs_diff,max_refresh_close_abs_diff,refresh_error
002254,F:\fenqixuangu\data\cache\daily\002254_daily.pkl,True,tencent_daily,,2026-06-29T13:32:20.846705+08:00,file_mtime,2026-06-29,17.72,19.4,17.5,815932.0,40ad4a20d525b2932d413b96fba4d084202b906de926e57466d9bf6c1d6ebd26,True,,ok,tencent_daily,2026-06-29,17.97,17.97,17.97,17.97,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
603500,F:\fenqixuangu\data\cache\daily\603500_daily.pkl,True,tencent_daily,,2026-06-29T13:33:17.557203+08:00,file_mtime,2026-06-29,11.84,12.84,11.78,155213.0,620695b9d94803f4843d5a6fb00a85c92d08822b376760f59b846e7d90f83f7f,True,,ok,tencent_daily,2026-06-29,11.84,11.84,11.84,11.84,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
600330,F:\fenqixuangu\data\cache\daily\600330_daily.pkl,True,tencent_daily,,2026-06-29T13:40:42.497435+08:00,file_mtime,2026-06-29,29.87,33.0,29.48,1502820.0,ec4707163201522162d3dce4fffc3caafebeb8cf523f64041bbc86661c1318c0,True,,ok,tencent_daily,2026-06-29,30.14,30.14,30.14,30.14,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
000962,F:\fenqixuangu\data\cache\daily\000962_daily.pkl,True,tencent_daily,,2026-06-29T14:31:09.242134+08:00,file_mtime,2026-06-29,92.3,95.73,88.99,463270.0,07f0027aa196d8f57b53ff675f625162a21484b51ea48665524e94187dc2c467,True,,ok,tencent_daily,2026-06-29,93.88,93.88,93.88,93.88,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
603267,F:\fenqixuangu\data\cache\daily\603267_daily.pkl,True,tencent_daily,,2026-06-29T14:06:33.904054+08:00,file_mtime,2026-06-29,75.17,82.37,73.78,182430.0,4b2ec694a6a6e1d68fa9d5ec320bbd090725a48d89c7b208febf5d9933cb47f0,True,,ok,tencent_daily,2026-06-29,76.05,76.05,76.05,76.05,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
600458,F:\fenqixuangu\data\cache\daily\600458_daily.pkl,True,tencent_daily,,2026-06-29T13:40:46.420782+08:00,file_mtime,2026-06-29,15.7,16.35,15.31,434202.0,c5bf9ffbb991159ebc788fca5ea2c29d6e49d24a9d8ee8d994654224694dca7c,True,,ok,tencent_daily,2026-06-29,16.0,16.0,16.0,16.0,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
605376,F:\fenqixuangu\data\cache\daily\605376_daily.pkl,True,tencent_daily,,2026-06-29T13:41:32.373381+08:00,file_mtime,2026-06-29,275.73,290.3,266.0,152712.0,859af228e612de8242dc0cc910ffbced86d1c77b9731a2b9547a7b7e484d30e2,True,,ok,tencent_daily,2026-06-29,279.5,279.5,279.5,279.5,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
002080,F:\fenqixuangu\data\cache\daily\002080_daily.pkl,True,tencent_daily,,2026-06-29T13:39:56.296126+08:00,file_mtime,2026-06-29,90.55,99.58,87.9,780416.0,9e44d844810e9fe9dbdea6af0a66cacdadf8ed0bb6a0d0d60815920ac0f9c2f4,True,,ok,tencent_daily,2026-06-29,90.5,90.5,90.5,90.5,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
002558,F:\fenqixuangu\data\cache\daily\002558_daily.pkl,True,tencent_daily,,2026-06-29T14:44:07.130180+08:00,file_mtime,2026-06-29,27.06,28.5,26.65,1167349.0,e1e7c1e69a886b66532dd512779a37330a27058b6da3ae11d74b3e5dd2b9b5fe,True,,ok,tencent_daily,2026-06-29,27.23,27.23,27.23,27.23,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
002980,F:\fenqixuangu\data\cache\daily\002980_daily.pkl,True,tencent_daily,,2026-06-29T14:44:11.195301+08:00,file_mtime,2026-06-29,115.08,123.27,109.6,101337.0,b377cf0c2e03a4627ffaf22971fe6aad29ce6f98f110c6e8f31d1dc2ed78f24c,True,,ok,tencent_daily,2026-06-29,115.44,115.44,115.44,115.44,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
002303,F:\fenqixuangu\data\cache\daily\002303_daily.pkl,True,tencent_daily,,2026-06-29T14:13:01.920830+08:00,file_mtime,2026-06-29,4.24,4.33,3.99,864313.0,e18a3f49c46b3f4c1aa8c2e8d3e7b9c30ddd086ce1222dc493707d551043b614,True,,ok,tencent_daily,2026-06-29,4.26,4.26,4.26,4.26,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
603527,F:\fenqixuangu\data\cache\daily\603527_daily.pkl,True,tencent_daily,,2026-06-29T14:44:21.957120+08:00,file_mtime,2026-06-29,11.83,13.11,11.6,223350.0,fd429169a69ffbed2f1828a34b9cc01315c4e6980a7cc7256abaa1d76c5196ad,True,,ok,tencent_daily,2026-06-29,11.85,11.85,11.85,11.85,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
601798,F:\fenqixuangu\data\cache\daily\601798_daily.pkl,True,tencent_daily,,2026-06-29T14:44:16.510230+08:00,file_mtime,2026-06-29,7.36,7.81,7.2,144869.0,a9d194af58e03cc009a683810084444a172b72cbfef0b50648d7336597b45262,True,,ok,tencent_daily,2026-06-29,7.38,7.38,7.38,7.38,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
600058,F:\fenqixuangu\data\cache\daily\600058_daily.pkl,True,tencent_daily,,2026-06-29T13:46:16.735697+08:00,file_mtime,2026-06-29,11.3,12.45,11.21,268160.0,c02e99c596e888977517d8718d3e3c75a2adc991c1ccccec7358ea0d772cdf4a,True,,ok,tencent_daily,2026-06-29,11.28,11.28,11.28,11.28,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
605318,F:\fenqixuangu\data\cache\daily\605318_daily.pkl,True,tencent_daily,,2026-06-29T13:41:29.732761+08:00,file_mtime,2026-06-29,125.55,131.55,120.12,29233.0,9725a572c9b26f8dcdac03c72e4eea2af4f853518b7460ce01d9c4ee124ca923,True,,ok,tencent_daily,2026-06-29,125.4,125.4,125.4,125.4,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
600152,F:\fenqixuangu\data\cache\daily\600152_daily.pkl,True,tencent_daily,,2026-06-29T14:44:12.511787+08:00,file_mtime,2026-06-29,9.67,10.4,9.6,592150.0,d0673dd61cedb6997bf51217b29edcdfa1dda2d7149e674d65a0015cbf965428,True,,ok,tencent_daily,2026-06-29,9.69,9.69,9.69,9.69,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
600516,F:\fenqixuangu\data\cache\daily\600516_daily.pkl,True,tencent_daily,,2026-06-29T13:32:53.005675+08:00,file_mtime,2026-06-29,5.83,6.74,5.82,2257330.0,e833927c3c4d1798df4a54b063dd74f9b431506e126a2e757b87aa4f6269cfeb,True,,ok,tencent_daily,2026-06-29,5.83,5.83,5.83,5.83,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
002928,F:\fenqixuangu\data\cache\daily\002928_daily.pkl,True,tencent_daily,,2026-06-29T14:44:09.945068+08:00,file_mtime,2026-06-29,7.43,7.7,7.3,393448.0,3d852b38a1db10538a08e2c750fa29368e018e7a9f0a44ebc292b62a4111a17a,True,,ok,tencent_daily,2026-06-29,7.44,7.44,7.44,7.44,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
