code,name,date,tencent_current_close,tencent_raw_close,tencent_qfq_close,sina_daily_close,sina_5m_last_close,sina_5m_last_timestamp,sina_5m_bar_count,eastmoney_raw_close,tencent_current_vs_sina_5m_abs_diff,tencent_current_vs_sina_5m_rel_diff,tencent_raw_vs_sina_5m_abs_diff,tencent_raw_vs_sina_5m_rel_diff,tencent_qfq_vs_sina_5m_abs_diff,tencent_qfq_vs_sina_5m_rel_diff,eastmoney_raw_vs_sina_5m_abs_diff,eastmoney_raw_vs_sina_5m_rel_diff,sina_daily_vs_sina_5m_abs_diff,sina_daily_vs_sina_5m_rel_diff,failure_cache_daily_close,failure_cache_daily_volume,failure_cache_daily_mtime,failure_cache_daily_vs_sina_5m_abs_diff,failure_cache_daily_vs_sina_5m_rel_diff,sina_5m_total_volume_lots,sina_5m_volume_through_daily_cache_mtime_lots,failure_cache_daily_volume_fraction_of_full_minute,failure_cache_daily_volume_vs_intraday_cumulative_rel_diff,failure_cache_created_before_market_close,tencent_qfq_to_raw_close_ratio,sina_qfq_factor_asof,sina_qfq_factor_event_date,qfq_factor_changed_on_date,factor_changed_between_2026_06_26_and_2026_06_29,nearby_ex_dividend_dates,nearby_record_dates,nearby_distribution_descriptions,diagnostic_category,diagnostic_subtype,source_errors_json,tencent_current_adjust,failure_cache_minute_last_close,failure_cache_minute_last_timestamp,failure_cache_minute_bar_count,failure_cache_minute_mtime,corporate_action_evidence_json,tencent_current_source,tencent_raw_source,tencent_qfq_source,sina_daily_source,sina_5m_source,eastmoney_raw_source,qfq_factor_source,corporate_action_source,diagnostic_generated_at
603115,海星股份,2026-06-29,118,118,117.4,118,118,2026-06-29 15:00:00,48,118,0,0,0,0,0.6,0.00508474576271,0,0,0,0,119.21,77871,2026-06-29 14:06:29,1.21,0.0102542372881,92247.0,74626.0,0.8441575335783278,0.04348350440865114,True,0.994915254237,1.0049232789,2025-06-25,False,False,2026-07-01,2026-06-30,"10派6.00元(含税,扣税后5.40元)",PROVIDER_DATA_CONFLICT,stale_intraday_tencent_daily_cache,{},none,118,2026-06-29 15:00:00,48,2026-07-13 22:21:50,"[{""ASSIGN_PROGRESS"":""实施分配"",""BASIC_EPS"":0.86,""BD10_CLOSE_ADJCHRATE"":23.54484011,""BONUS_IT_RATIO"":null,""BONUS_RATIO"":null,""BVPS"":8.778229419894,""D10_CLOSE_ADJCHRATE"":32.24852071,""D30_CLOSE_ADJCHRATE"":null,""DIVIDENT_RATIO"":0.004899158978,""EQUITY_RECORD_DATE"":""2026-06-30 00:00:00"",""EX_DIVIDEND_DATE"":""2026-07-01 00:00:00"",""EX_DIVIDEND_DAYS"":13,""IMPL_PLAN_PROFILE"":""10派6.00元(含税,扣税后5.40元)"",""IS_KCB"":null,""IT_RATIO"":null,""MARKET_TYPE"":""069001001001"",""NOTICE_DATE"":""2026-06-24 00:00:00"",""ORG_CODE"":""10781319"",""PER_CAPITAL_RESERVE"":4.685403654052,""PER_UNASSIGN_PROFIT"":2.548817175134,""PLAN_NOTICE_DATE"":""2026-04-18 00:00:00"",""PNP_YOY_RATIO"":28.171445030503,""PRETAX_BONUS_RMB"":6,""PUBLISH_DATE"":""2026-04-18 00:00:00"",""REPORT_DATE"":""2025-12-31 00:00:00"",""SECUCODE"":""603115.SH"",""SECURITY_CODE"":""603115"",""SECURITY_INNER_CODE"":""1001247933"",""SECURITY_NAME_ABBR"":""海星股份"",""TOTAL_SHARES"":241890400}]",Tencent fqkline day; project adjust=none,Tencent fqkline day adjust=none,Tencent fqkline qfqday adjust=qfq,Sina CN_MarketDataService scale=240,Sina CN_MarketDataService scale=5 adjust=none,Eastmoney push2his klt=101 fqt=0,Sina qfq.js event factor,Eastmoney RPT_SHAREBONUS_DET,2026-07-14T20:03:22.138665+08:00
603115,海星股份,2026-06-30,122.47,122.47,121.87,122.47,122.47,2026-06-30 15:00:00,48,122.47,0,0,0,0,0.6,0.00489915897771,0,0,0,0,,,2026-06-29 14:06:29,,,85530.99,,,,False,0.995100841022,1.0049232789,2025-06-25,False,False,2026-07-01,2026-06-30,"10派6.00元(含税,扣税后5.40元)",,,{},none,122.47,2026-06-30 15:00:00,48,2026-07-13 22:21:50,"[{""ASSIGN_PROGRESS"":""实施分配"",""BASIC_EPS"":0.86,""BD10_CLOSE_ADJCHRATE"":23.54484011,""BONUS_IT_RATIO"":null,""BONUS_RATIO"":null,""BVPS"":8.778229419894,""D10_CLOSE_ADJCHRATE"":32.24852071,""D30_CLOSE_ADJCHRATE"":null,""DIVIDENT_RATIO"":0.004899158978,""EQUITY_RECORD_DATE"":""2026-06-30 00:00:00"",""EX_DIVIDEND_DATE"":""2026-07-01 00:00:00"",""EX_DIVIDEND_DAYS"":13,""IMPL_PLAN_PROFILE"":""10派6.00元(含税,扣税后5.40元)"",""IS_KCB"":null,""IT_RATIO"":null,""MARKET_TYPE"":""069001001001"",""NOTICE_DATE"":""2026-06-24 00:00:00"",""ORG_CODE"":""10781319"",""PER_CAPITAL_RESERVE"":4.685403654052,""PER_UNASSIGN_PROFIT"":2.548817175134,""PLAN_NOTICE_DATE"":""2026-04-18 00:00:00"",""PNP_YOY_RATIO"":28.171445030503,""PRETAX_BONUS_RMB"":6,""PUBLISH_DATE"":""2026-04-18 00:00:00"",""REPORT_DATE"":""2025-12-31 00:00:00"",""SECUCODE"":""603115.SH"",""SECURITY_CODE"":""603115"",""SECURITY_INNER_CODE"":""1001247933"",""SECURITY_NAME_ABBR"":""海星股份"",""TOTAL_SHARES"":241890400}]",Tencent fqkline day; project adjust=none,Tencent fqkline day adjust=none,Tencent fqkline qfqday adjust=qfq,Sina CN_MarketDataService scale=240,Sina CN_MarketDataService scale=5 adjust=none,Eastmoney push2his klt=101 fqt=0,Sina qfq.js event factor,Eastmoney RPT_SHAREBONUS_DET,2026-07-14T20:03:22.138665+08:00
603267,鸿远电子,2026-06-26,78.03,78.03,78.03,78.03,78.03,2026-06-26 15:00:00,48,78.03,0,0,0,0,0,0,0,0,0,0,78.03,268632,2026-06-29 14:06:33,0,0,268234.7,,,,False,1,1,2026-05-19,False,False,,,,,,{},none,78.03,2026-06-26 15:00:00,48,2026-07-13 22:21:58,,Tencent fqkline day; project adjust=none,Tencent fqkline day adjust=none,Tencent fqkline qfqday adjust=qfq,Sina CN_MarketDataService scale=240,Sina CN_MarketDataService scale=5 adjust=none,Eastmoney push2his klt=101 fqt=0,Sina qfq.js event factor,Eastmoney RPT_SHAREBONUS_DET,2026-07-14T20:03:22.138665+08:00
603267,鸿远电子,2026-06-29,76.05,76.05,76.05,76.05,76.05,2026-06-29 15:00:00,48,76.05,0,0,0,0,0,0,0,0,0,0,75.17,182430,2026-06-29 14:06:33,0.88,0.0115713346483,204794.8,173759.45,0.8907941021940011,0.04989973207212608,True,1,1,2026-05-19,False,False,,,,PROVIDER_DATA_CONFLICT,stale_intraday_tencent_daily_cache,{},none,76.05,2026-06-29 15:00:00,48,2026-07-13 22:21:58,,Tencent fqkline day; project adjust=none,Tencent fqkline day adjust=none,Tencent fqkline qfqday adjust=qfq,Sina CN_MarketDataService scale=240,Sina CN_MarketDataService scale=5 adjust=none,Eastmoney push2his klt=101 fqt=0,Sina qfq.js event factor,Eastmoney RPT_SHAREBONUS_DET,2026-07-14T20:03:22.138665+08:00
603267,鸿远电子,2026-06-30,77.48,77.48,77.48,77.48,77.48,2026-06-30 15:00:00,48,77.48,0,0,0,0,0,0,0,0,0,0,,,2026-06-29 14:06:33,,,188413.78,,,,False,1,1,2026-05-19,False,False,,,,,,{},none,77.48,2026-06-30 15:00:00,48,2026-07-13 22:21:58,,Tencent fqkline day; project adjust=none,Tencent fqkline day adjust=none,Tencent fqkline qfqday adjust=qfq,Sina CN_MarketDataService scale=240,Sina CN_MarketDataService scale=5 adjust=none,Eastmoney push2his klt=101 fqt=0,Sina qfq.js event factor,Eastmoney RPT_SHAREBONUS_DET,2026-07-14T20:03:22.138665+08:00
603678,火炬电子,2026-06-26,79.49,79.49,79.49,79.49,79.49,2026-06-26 15:00:00,48,79.49,0,0,0,0,0,0,0,0,0,0,79.49,576974,2026-06-29 13:52:43,0,0,576585.14,,,,False,1,1,2026-06-05,False,False,,,,,,{},none,79.49,2026-06-26 15:00:00,48,2026-07-13 22:22:22,,Tencent fqkline day; project adjust=none,Tencent fqkline day adjust=none,Tencent fqkline qfqday adjust=qfq,Sina CN_MarketDataService scale=240,Sina CN_MarketDataService scale=5 adjust=none,Eastmoney push2his klt=101 fqt=0,Sina qfq.js event factor,Eastmoney RPT_SHAREBONUS_DET,2026-07-14T20:03:22.138665+08:00
603678,火炬电子,2026-06-29,80.43,80.43,80.43,80.43,80.43,2026-06-29 15:00:00,48,80.43,0,0,0,0,0,0,0,0,0,0,80.22,362061,2026-06-29 13:52:43,0.21,0.00261096605744,434591.04,336028.0,0.8331073737737438,0.07747271060744938,True,1,1,2026-06-05,False,False,,,,PROVIDER_DATA_CONFLICT,stale_intraday_tencent_daily_cache,{},none,80.43,2026-06-29 15:00:00,48,2026-07-13 22:22:22,,Tencent fqkline day; project adjust=none,Tencent fqkline day adjust=none,Tencent fqkline qfqday adjust=qfq,Sina CN_MarketDataService scale=240,Sina CN_MarketDataService scale=5 adjust=none,Eastmoney push2his klt=101 fqt=0,Sina qfq.js event factor,Eastmoney RPT_SHAREBONUS_DET,2026-07-14T20:03:22.138665+08:00
603678,火炬电子,2026-06-30,83,83,83,83,83,2026-06-30 15:00:00,48,83,0,0,0,0,0,0,0,0,0,0,,,2026-06-29 13:52:43,,,428243.64,,,,False,1,1,2026-06-05,False,False,,,,,,{},none,83,2026-06-30 15:00:00,48,2026-07-13 22:22:22,,Tencent fqkline day; project adjust=none,Tencent fqkline day adjust=none,Tencent fqkline qfqday adjust=qfq,Sina CN_MarketDataService scale=240,Sina CN_MarketDataService scale=5 adjust=none,Eastmoney push2his klt=101 fqt=0,Sina qfq.js event factor,Eastmoney RPT_SHAREBONUS_DET,2026-07-14T20:03:22.138665+08:00
603690,至纯科技,2026-06-26,35.49,35.49,35.49,35.49,35.49,2026-06-26 15:00:00,48,35.49,0,0,0,0,0,0,0,0,0,0,35.49,815471,2026-06-29 14:44:23,0,0,813819.0,,,,False,1,1,2025-07-15,False,False,,,,,,{},none,35.49,2026-06-26 15:00:00,48,2026-07-13 22:22:23,,Tencent fqkline day; project adjust=none,Tencent fqkline day adjust=none,Tencent fqkline qfqday adjust=qfq,Sina CN_MarketDataService scale=240,Sina CN_MarketDataService scale=5 adjust=none,Eastmoney push2his klt=101 fqt=0,Sina qfq.js event factor,Eastmoney RPT_SHAREBONUS_DET,2026-07-14T20:03:22.138665+08:00
603690,至纯科技,2026-06-29,35.39,35.39,35.39,35.39,35.39,2026-06-29 15:00:00,48,35.39,0,0,0,0,0,0,0,0,0,0,35.05,680360,2026-06-29 14:44:23,0.34,0.00960723368183,693424.76,641726.33,0.9811590806189269,0.060202719124833236,True,1,1,2025-07-15,False,False,,,,PROVIDER_DATA_CONFLICT,stale_intraday_tencent_daily_cache,{},none,35.39,2026-06-29 15:00:00,48,2026-07-13 22:22:23,,Tencent fqkline day; project adjust=none,Tencent fqkline day adjust=none,Tencent fqkline qfqday adjust=qfq,Sina CN_MarketDataService scale=240,Sina CN_MarketDataService scale=5 adjust=none,Eastmoney push2his klt=101 fqt=0,Sina qfq.js event factor,Eastmoney RPT_SHAREBONUS_DET,2026-07-14T20:03:22.138665+08:00
