code,name,field,old_value,current_value,absolute_difference,relative_difference,isclose_1e-10,old_canonical_12g,current_canonical_12g
600152,维科技术,days_since_d0,4.0,4.0,0.0,0.0,True,4,4
600152,维科技术,total_score,44.0,42.5,1.5,0.03409090909090909,False,44,42.5
600152,维科技术,graph_quality_score,0.0,0.0,0.0,0.0,True,0,0
600152,维科技术,active_money_score,60.0,60.0,0.0,0.0,True,60,60
600152,维科技术,active_cooling_score,90.0,90.0,0.0,0.0,True,90,90
600152,维科技术,support_score,0.0,15.0,15.0,,False,0,15
600152,维科技术,theme_score,60.0,60.0,0.0,0.0,True,60,60
600152,维科技术,trend_hold_score,40.0,40.0,0.0,0.0,True,40,40
600152,维科技术,entry_width_score,60.0,45.0,15.0,0.25,False,60,45
600152,维科技术,d1_low_ma10_pct,-11.7728,-11.789,0.016199999999999548,0.001376053275346523,False,-11.7728,-11.789
600152,维科技术,d1_close_ma10_pct,-11.1295,-10.9621,0.16740000000000066,0.015041106967968072,False,-11.1295,-10.9621
600152,维科技术,d1_close_vwap_pct,-1.308,-1.1039,0.20409999999999995,0.1560397553516819,False,-1.308,-1.1039
600152,维科技术,low_absorb_width_pct,4.062500000000013,5.254728552045607,1.1922285520455933,0.2934716435804528,False,4.0625,5.25472855205
600152,维科技术,invalid_distance_pct,4.062500000000013,5.254728552045607,1.1922285520455933,0.2934716435804528,False,4.0625,5.25472855205
600152,维科技术,candidate_base_price,9.67,9.69,0.019999999999999574,0.0020682523267838235,False,9.67,9.69
600500,中化国际,days_since_d0,4.0,4.0,0.0,0.0,True,4,4
600500,中化国际,total_score,45.0,45.0,0.0,0.0,True,45,45
600500,中化国际,graph_quality_score,0.0,0.0,0.0,0.0,True,0,0
600500,中化国际,active_money_score,54.0,54.0,0.0,0.0,True,54,54
600500,中化国际,active_cooling_score,90.0,90.0,0.0,0.0,True,90,90
600500,中化国际,support_score,0.0,15.0,15.0,,False,0,15
600500,中化国际,theme_score,70.0,70.0,0.0,0.0,True,70,70
600500,中化国际,trend_hold_score,40.0,40.0,0.0,0.0,True,40,40
600500,中化国际,entry_width_score,60.0,60.0,0.0,0.0,True,60,60
600500,中化国际,d1_low_ma10_pct,-6.1587,-6.1587,0.0,0.0,True,-6.1587,-6.1587
600500,中化国际,d1_close_ma10_pct,-6.1587,-6.1587,0.0,0.0,True,-6.1587,-6.1587
600500,中化国际,d1_close_vwap_pct,-3.1734,-3.1734,0.0,0.0,True,-3.1734,-3.1734
600500,中化国际,low_absorb_width_pct,4.981320049813198,4.981320049813198,0.0,0.0,True,4.98132004981,4.98132004981
600500,中化国际,invalid_distance_pct,4.981320049813198,4.981320049813198,0.0,0.0,True,4.98132004981,4.98132004981
600500,中化国际,candidate_base_price,8.03,8.03,0.0,0.0,True,8.03,8.03
600668,尖峰集团,days_since_d0,4.0,4.0,0.0,0.0,True,4,4
600668,尖峰集团,total_score,37.0,37.0,0.0,0.0,True,37,37
600668,尖峰集团,graph_quality_score,0.0,0.0,0.0,0.0,True,0,0
600668,尖峰集团,active_money_score,84.0,84.0,0.0,0.0,True,84,84
600668,尖峰集团,active_cooling_score,70.0,70.0,0.0,0.0,True,70,70
600668,尖峰集团,support_score,89.0,89.0,0.0,0.0,True,89,89
600668,尖峰集团,theme_score,45.0,45.0,0.0,0.0,True,45,45
600668,尖峰集团,trend_hold_score,40.0,40.0,0.0,0.0,True,40,40
600668,尖峰集团,entry_width_score,45.0,45.0,0.0,0.0,True,45,45
600668,尖峰集团,d1_low_ma10_pct,-4.7165,-4.7035,0.0129999999999999,0.002756281140676328,False,-4.7165,-4.7035
