scope,signal_date,feature,group_a_count,group_b_count,group_a_mean,group_b_mean,mean_difference_a_minus_b,group_a_median,group_b_median,median_difference_a_minus_b,group_a_q25,group_b_q25,q25_difference_a_minus_b,group_a_q75,group_b_q75,q75_difference_a_minus_b,daily_comparable_dates,daily_nonzero_direction_dates,daily_a_greater_than_b_rate,daily_direction_consistency_rate,persistent_extreme_signal_bool
daily,2026-07-07,d1_low_ma10_pct,5,0,13.994620000000001,,,12.0446,,,10.4455,,,12.4094,,,,,,,
daily,2026-07-08,d1_low_ma10_pct,4,3,10.865025000000001,6.479733333333333,4.385291666666668,8.469999999999999,6.4804,1.9895999999999985,7.7075,6.4174500000000005,1.290049999999999,11.627525,6.542350000000001,5.085175,,,,,
overall,ALL,d1_low_ma10_pct,39,18,13.705507692307691,11.771016666666668,1.934491025641023,12.1911,11.30245,0.8886500000000002,10.5528,7.29445,3.258349999999999,16.3415,14.963825,1.377675,7.0,7.0,0.7142857142857143,0.7142857142857143,False
daily,2026-06-26,d1_close_ma10_pct,4,3,22.337775,23.41293333333333,-1.0751583333333308,23.267699999999998,24.7509,-1.4832000000000036,17.596825,21.52745,-3.9306250000000027,28.00865,25.9674,2.041249999999998,,,,,
daily,2026-06-29,d1_close_ma10_pct,5,2,22.78662,14.652099999999999,8.13452,22.5046,14.652099999999999,7.852500000000001,12.174,13.031949999999998,-0.8579499999999989,23.6801,16.27225,7.40785,,,,,
daily,2026-06-30,d1_close_ma10_pct,3,1,23.009833333333333,18.2653,4.744533333333333,27.1444,18.2653,8.879100000000001,19.74195,18.2653,1.4766499999999994,28.345,18.2653,10.079699999999999,,,,,
daily,2026-07-01,d1_close_ma10_pct,3,5,21.321133333333332,22.906200000000002,-1.5850666666666697,19.3406,25.1785,-5.837900000000001,17.522399999999998,18.6843,-1.1619000000000028,24.1296,26.9845,-2.8549000000000007,,,,,
daily,2026-07-02,d1_close_ma10_pct,5,2,16.861620000000002,20.5696,-3.707979999999999,14.8385,20.5696,-5.731100000000001,13.5385,16.3583,-2.819799999999999,20.4432,24.780900000000003,-4.337700000000002,,,,,
daily,2026-07-03,d1_close_ma10_pct,4,2,15.47755,14.046199999999999,1.431350000000002,12.9985,14.046199999999999,-1.047699999999999,11.059525,12.32085,-1.2613249999999994,17.416525,15.77155,1.6449750000000005,,,,,
daily,2026-07-06,d1_close_ma10_pct,6,0,15.394216666666665,,,14.02145,,,12.4957,,,17.113574999999997,,,,,,,
daily,2026-07-07,d1_close_ma10_pct,5,0,16.03796,,,14.1819,,,13.1773,,,16.9945,,,,,,,
daily,2026-07-08,d1_close_ma10_pct,4,3,15.668500000000002,13.054400000000001,2.6141000000000005,13.8129,15.956,-2.1430999999999987,10.8284,11.22815,-0.39974999999999916,18.653000000000002,16.33145,2.321550000000002,,,,,
overall,ALL,d1_close_ma10_pct,39,18,18.403192307692304,18.929672222222223,-0.5264799145299186,15.7042,18.07885,-2.374649999999999,12.3676,15.79385,-3.4262500000000014,24.374000000000002,25.0716,-0.6975999999999978,7.0,7.0,0.5714285714285714,0.42857142857142855,False
daily,2026-06-26,d1_close_vwap_pct,4,3,0.5960749999999999,0.6741333333333334,-0.07805833333333345,0.5398999999999999,0.3687,0.1711999999999999,-1.4742250000000001,-0.06474999999999997,-1.409475,2.6102,1.2603,1.3498999999999999,,,,,
daily,2026-06-29,d1_close_vwap_pct,5,2,-0.36054,0.023700000000000054,-0.3842400000000001,-2.3035,0.023700000000000054,-2.3272000000000004,-2.7792,-1.60305,-1.1761499999999998,1.3706,1.6504500000000002,-0.27985000000000015,,,,,
daily,2026-06-30,d1_close_vwap_pct,3,1,2.9901666666666666,1.8462,1.1439666666666666,3.3652,1.8462,1.5190000000000001,1.8342500000000002,1.8462,-0.011949999999999905,4.3336,1.8462,2.4873999999999996,,,,,
daily,2026-07-01,d1_close_vwap_pct,3,5,-0.6025333333333333,2.31612,-2.9186533333333333,-0.3025,1.7908,-2.0933,-0.84315,-0.759,-0.08414999999999995,-0.21189999999999998,3.8967,-4.1086,,,,,
daily,2026-07-02,d1_close_vwap_pct,5,2,-0.74766,-0.75595,0.00829000000000002,-0.8064,-0.75595,-0.050449999999999995,-1.5081,-1.586325,0.07822499999999999,-0.6357,0.07442499999999996,-0.710125,,,,,
daily,2026-07-03,d1_close_vwap_pct,4,2,-0.761325,0.8251,-1.586425,-0.3825,0.8251,-1.2076,-0.979975,0.07330000000000003,-1.0532750000000002,-0.16385,1.5769,-1.74075,,,,,
