signal_date,code,name,d2open_d3high_return_pct,target7_d2open_d3high,in_v004a_topk,v004a_rank,v004a_score,in_v004a_top3,in_v002_topk,v002_rank,v002_score,in_v002_top3,in_v005_candidate_pool,v005_pool_order,v005_sort_field_name,in_final_top3,final_rank,selection_outcome_class,selection_path_classes,selected_hit,selected_false_positive,missed_hit_in_candidate_pool,missed_hit_outside_candidate_pool,v005_rescued_from_v004a,v005_rescued_from_v002,v005_dropped_v004a_hit,v005_dropped_v002_hit,group_a_false_positive,group_a_source,group_b_missed_pool_hit,total_score,trend_hold_score,active_money_score,d1_low_ma10_pct,d1_close_ma10_pct,d1_close_vwap_pct,candidate_base_price,low_absorb_width_pct,invalid_distance_pct,days_since_d0
2026-06-26,000882,华联股份,0.7575757575757569,False,False,203,0.3712548295908283,False,False,199,19.53834,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,37.5,40.0,42.0,-5.1724,-4.454,-0.8781,1.33,4.999999999999982,4.999999999999982,3.0
2026-06-26,000908,景峰医药,6.870229007633566,False,False,178,0.3824587952830032,False,False,195,19.768645,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,45.5,40.0,50.0,-12.0693,-11.7298,-2.0356,5.2,2.4719881696027235,2.4719881696027235,2.0
2026-06-26,000925,众合科技,1.3903743315508033,False,False,77,0.440746170519203,False,False,46,43.08799500000001,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,55.25,75.0,70.0,7.1013,10.8265,-0.0686,9.52,3.661979413726213,3.661979413726213,2.0
2026-06-26,000962,东方钽业,8.146982807056968,True,True,2,0.5015938681473577,True,True,2,55.258790000000005,True,True,2.0,source_v004a_model_rank,False,,missed_hit_in_candidate_pool,missed_hit_in_candidate_pool|v005_dropped_v004a_hit|v005_dropped_v002_hit,False,False,True,False,False,False,True,True,False,v004a_top3,True,61.75,95.0,72.0,16.1074,24.7509,2.1519,87.03,4.938271604938271,4.938271604938271,1.0
2026-06-26,000967,盈峰环境,-1.1267605633802913,False,False,148,0.3973184445024513,False,False,134,27.122855,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,44.75,55.0,40.0,1.3153,1.3153,-2.6036,10.63,2.6732469460817754,2.6732469460817754,2.0
2026-06-26,001206,依依股份,3.90625,False,False,127,0.4070921273023182,False,False,98,33.774355,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,42.75,65.0,42.0,5.1637,6.3865,-0.6428,19.14,5.8401968124933035,5.8401968124933035,3.0
2026-06-26,001225,和泰机电,1.1038635223281412,False,False,163,0.3889614954390852,False,False,158,22.79171,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,45.0,40.0,50.0,-6.2338,-6.1161,-1.501,39.88,4.468993221190054,4.468993221190054,3.0
2026-06-26,001279,强邦新材,0.22471910112360494,False,False,159,0.3917841942534165,False,False,159,22.744065000000003,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,43.5,40.0,50.0,-1.3741,-1.3741,-2.5189,26.7,4.906367041198512,4.906367041198512,3.0
2026-06-26,001309,德明利,1.9192510239906424,False,True,1,0.5061804348474056,True,True,4,54.759435,False,True,1.0,source_v004a_model_rank,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,True,v004a_top3,False,58.75,95.0,84.0,16.6089,27.128,4.124,951.0,4.702901908887469,4.702901908887469,1.0
2026-06-26,001330,博纳影业,-2.6666666666666727,False,False,150,0.3957505942518692,False,False,170,22.03161,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,42.5,40.0,54.0,-7.2946,-7.146,-2.5401,6.25,4.551282051282035,4.551282051282035,1.0
2026-06-26,001339,智微智能,5.3532338308457605,False,False,68,0.4466031324076633,False,False,77,37.458645,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,57.75,75.0,50.0,6.2751,6.5244,-2.0546,128.2,3.2838154808443987,3.2838154808443987,2.0
2026-06-26,001359,平安电工,-1.7265624999999951,False,False,126,0.407187762709177,False,False,120,29.019655000000004,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,43.5,40.0,58.0,-1.5903,3.366,-0.2972,129.93,4.971705739692789,4.971705739692789,2.0
2026-06-26,002014,永新股份,5.31496062992125,False,False,184,0.3792611566622169,False,False,175,21.76574,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,40.0,40.0,42.0,-5.3876,-4.7306,-0.7679,10.15,3.7698412698412787,3.7698412698412787,3.0
2026-06-26,002021,中捷资源,3.2520325203251987,False,False,176,0.3840886567316519,False,False,154,23.125145,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,45.5,40.0,50.0,-2.2853,-2.2853,-2.3756,2.48,3.2258064516129004,3.2258064516129004,3.0
2026-06-26,002025,航天电器,7.013698630136989,True,False,29,0.4735177497038652,False,False,40,43.72001,False,False,,,False,,missed_hit_outside_candidate_pool,missed_hit_outside_candidate_pool,False,False,False,True,False,False,False,False,False,,False,54.75,75.0,78.0,6.975,10.9563,0.6323,72.46,4.881190953335235,4.881190953335235,1.0
2026-06-26,002031,巨轮智能,6.343283582089554,False,False,179,0.3818243050056103,False,False,169,22.038045,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,45.5,40.0,58.0,-5.3913,-5.3913,-3.0485,5.44,3.144380962443427,3.144380962443427,3.0
2026-06-26,002038,双鹭药业,16.15384615384614,True,False,182,0.3812894279314395,False,False,166,22.335905,False,False,,,False,,missed_hit_outside_candidate_pool,missed_hit_outside_candidate_pool,False,False,False,True,False,False,False,False,False,,False,45.0,40.0,54.0,-4.1485,-3.9591,-2.5371,5.07,4.545454545454564,4.545454545454564,3.0
2026-06-26,002046,国机精工,0.18543046357615278,False,False,45,0.4614647936641505,False,False,30,47.57166,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,59.25,95.0,42.0,10.8292,12.2489,-1.3138,74.32,3.761242845461976,3.761242845461976,2.0
2026-06-26,002047,宝鹰股份,-0.41753653444677186,False,False,125,0.4073440783508066,False,False,85,34.959525,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,49.25,65.0,42.0,3.5699,5.3327,-0.6307,4.78,2.872903540604521,2.872903540604521,3.0
2026-06-26,002051,中工国际,-6.5269943593875945,False,False,142,0.3996548423116584,False,False,136,26.72637,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,45.0,40.0,56.0,-0.7262,2.2265,-0.82,12.81,3.8255986992377533,3.8255986992377533,2.0
2026-06-26,002056,横店东磁,2.448709463931187,False,False,42,0.4657883473808397,False,False,56,41.35491999999999,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,55.25,75.0,70.0,7.8392,10.4077,-1.281,30.52,3.7103242854025,3.7103242854025,1.0
2026-06-26,002068,黑猫股份,3.2193158953722323,False,False,17,0.4839703947145826,False,False,34,46.86168,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,50.5,90.0,94.0,21.0984,24.5096,-0.8985,14.6,4.436619718309864,4.436619718309864,1.0
2026-06-26,002080,中材科技,-5.252525252525253,False,True,4,0.4986895013298063,False,False,17,50.88060999999999,False,True,4.0,source_v004a_model_rank,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,62.25,95.0,76.0,17.8694,21.4635,-1.0091,97.67,4.099656118225514,4.099656118225514,1.0
2026-06-26,002167,东方锆业,2.365491651205942,False,False,27,0.4770943624157384,False,True,10,52.972765,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,63.25,95.0,78.0,15.0671,21.076,1.6095,21.56,4.245973645680823,4.245973645680823,2.0
2026-06-26,002192,融捷股份,13.345679012345691,True,False,166,0.3883808976378466,False,False,202,19.25663,False,False,,,False,,missed_hit_outside_candidate_pool,missed_hit_outside_candidate_pool,False,False,False,True,False,False,False,False,False,,False,39.0,40.0,46.0,-6.8382,-6.8382,-4.0134,82.71,4.181262008760567,4.181262008760567,2.0
2026-06-26,002196,方正电机,1.407284768211925,False,False,190,0.3772937429667858,False,False,182,21.06683,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,43.0,40.0,50.0,-5.6662,-5.6662,-2.4146,12.17,2.79375513557929,2.79375513557929,3.0
2026-06-26,002240,盛新锂能,12.135805441849268,True,False,168,0.3882684624396081,False,False,192,19.95946,False,False,,,False,,missed_hit_outside_candidate_pool,missed_hit_outside_candidate_pool,False,False,False,True,False,False,False,False,False,,False,44.5,40.0,56.0,-10.4512,-10.2393,-3.2848,42.35,3.641132630906996,3.641132630906996,2.0
2026-06-26,002254,泰和新材,-2.5974025974025983,False,False,62,0.4487476656111391,False,False,83,35.84830999999999,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,54.75,65.0,74.0,5.0406,6.2486,-5.2193,19.35,0.0,0.0,1.0
2026-06-26,002303,美盈森,9.605911330049267,True,False,46,0.4614644356760403,False,False,68,38.875455,False,False,,,False,,missed_hit_outside_candidate_pool,missed_hit_outside_candidate_pool,False,False,False,True,False,False,False,False,False,,False,53.25,75.0,84.0,8.6253,11.3208,-2.0958,4.13,4.675168961996379,4.675168961996379,1.0
2026-06-26,002364,中恒电气,2.5697910889258546,False,False,138,0.4021639338038899,False,False,135,27.063545,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,44.0,40.0,56.0,-1.2353,2.8442,-0.0076,53.95,4.138360476334002,4.138360476334002,2.0
2026-06-26,002370,亚太药业,15.670103092783517,True,False,197,0.3743735352224727,False,False,191,19.985715000000003,False,False,,,False,,missed_hit_outside_candidate_pool,missed_hit_outside_candidate_pool,False,False,False,True,False,False,False,False,False,,False,40.0,40.0,40.0,-5.7551,-5.7551,-2.4752,4.88,4.098360655737698,4.098360655737698,3.0
2026-06-26,002374,中锐股份,0.0,False,False,157,0.3932472190599361,False,False,131,27.463055,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,45.25,55.0,42.0,1.7873,1.7873,-2.0075,3.36,4.464285714285721,4.464285714285721,3.0
