query_date,code,suspension_start_date,suspension_end_date,expected_resume_date,suspension_reason,suspension_source,proof_method,normalized_rows_sha256,fetched_at,cache_path,cache_file_sha256
2026-06-29,601369,2026-06-29,2026-07-10,2026-07-13,拟筹划重大资产重组,eastmoney_RPT_CUSTOM_SUSPEND_DATA_INTERFACE_via_akshare,eastmoney_suspension_status_v1,f23b60a0ff7cd5ea1fcf4af330c0d23d9e558d0ca613c229e5f004ab14b21010,2026-07-14T13:23:52.722835+00:00,F:\fenqixuangu\data\cache\suspension_status\2026-06-29_suspension_status.pkl,464561e36875907271238b54b45f3fb1cedc60c53a9e17d87ce3915a63857b90
2026-06-29,603722,2026-06-29,2026-07-03,2026-07-06,刊登重要公告,eastmoney_RPT_CUSTOM_SUSPEND_DATA_INTERFACE_via_akshare,eastmoney_suspension_status_v1,f23b60a0ff7cd5ea1fcf4af330c0d23d9e558d0ca613c229e5f004ab14b21010,2026-07-14T13:23:52.722835+00:00,F:\fenqixuangu\data\cache\suspension_status\2026-06-29_suspension_status.pkl,464561e36875907271238b54b45f3fb1cedc60c53a9e17d87ce3915a63857b90
2026-06-30,601369,2026-06-29,2026-07-10,2026-07-13,拟筹划重大资产重组,eastmoney_RPT_CUSTOM_SUSPEND_DATA_INTERFACE_via_akshare,eastmoney_suspension_status_v1,63de31542a9ce1463c84d73a38b621f09c3fa7956ff4c977bf58df6e02def2c6,2026-07-14T13:23:54.760776+00:00,F:\fenqixuangu\data\cache\suspension_status\2026-06-30_suspension_status.pkl,256e57da9d9520e7a7769f2c0726a38ca1842645c60e06194318c98dfaf307b0
2026-06-30,603722,2026-06-29,2026-07-03,2026-07-06,刊登重要公告,eastmoney_RPT_CUSTOM_SUSPEND_DATA_INTERFACE_via_akshare,eastmoney_suspension_status_v1,63de31542a9ce1463c84d73a38b621f09c3fa7956ff4c977bf58df6e02def2c6,2026-07-14T13:23:54.760776+00:00,F:\fenqixuangu\data\cache\suspension_status\2026-06-30_suspension_status.pkl,256e57da9d9520e7a7769f2c0726a38ca1842645c60e06194318c98dfaf307b0
2026-07-07,603580,2026-07-07,2026-07-13,2026-07-14,刊登重要公告,eastmoney_RPT_CUSTOM_SUSPEND_DATA_INTERFACE_via_akshare,eastmoney_suspension_status_v1,35152cd08675f890ce0b8a6ad4e956027293e3b2fbfcfb272daddedd1f884994,2026-07-14T13:23:56.341489+00:00,F:\fenqixuangu\data\cache\suspension_status\2026-07-07_suspension_status.pkl,544faccc550951954f9b84a003e9f3d63fe0ff5c99d8341b5e1425eed736b946
