left,right,left_factor,right_factor,same_factor,june_pearson,june_spearman,abs_june_pearson,abs_june_spearman,severity,july_pearson,july_spearman
d1_close_to_vwap_raw,d1_ma10_slope,RESET,TREND,False,0.20175850642176105,0.18529325873425703,0.20175850642176105,0.18529325873425703,LOW,0.28771443316127443,0.27183288409703504
d1_close_to_vwap_raw,board_streak_is_3,RESET,REGIME,False,0.14146901814785884,0.10496275600713251,0.14146901814785884,0.10496275600713251,LOW,-0.1202555390162756,-0.139256951678919
high_zone_volume_ratio,late_day_sell_volume_ratio,SUPPLY,SUPPLY,True,-0.06490489817524846,-0.02641161590205765,0.06490489817524846,0.02641161590205765,LOW,0.022076260810623773,0.037679843808395924
high_zone_volume_ratio,recent_7d_cumulative_return,SUPPLY,MOM7,False,0.3132648155756721,0.2953379918770732,0.3132648155756721,0.2953379918770732,LOW,0.15120393274952415,0.13919247688820627
high_zone_volume_ratio,recent_7d_max_drawdown,SUPPLY,DAMAGE7,False,-0.08643632477929619,-0.07285487557009873,0.08643632477929619,0.07285487557009873,LOW,0.09661146844469091,0.06693553291903774
high_zone_volume_ratio,recent_7d_close_position,SUPPLY,POS7,False,0.351018354698212,0.36012577739510787,0.351018354698212,0.36012577739510787,LOW,0.23962384723604627,0.27030981340774407
high_zone_volume_ratio,d1_ma10_slope,SUPPLY,TREND,False,0.2235018198148568,0.2111427323243794,0.2235018198148568,0.2111427323243794,LOW,0.23956403068708945,0.16058192963919815
high_zone_volume_ratio,board_streak_is_3,SUPPLY,REGIME,False,-0.05785409941337277,-0.06897998576140797,0.05785409941337277,0.06897998576140797,LOW,-0.01935191639112468,-0.054358466113400054
late_day_sell_volume_ratio,recent_7d_cumulative_return,SUPPLY,MOM7,False,-0.10764379052460314,-0.10204480153705348,0.10764379052460314,0.10204480153705348,LOW,-0.060476226840198745,-0.0629711778841521
late_day_sell_volume_ratio,recent_7d_max_drawdown,SUPPLY,DAMAGE7,False,0.019476219050372463,0.017529343058680657,0.019476219050372463,0.017529343058680657,LOW,0.1503346713584523,0.09123971317665633
late_day_sell_volume_ratio,recent_7d_close_position,SUPPLY,POS7,False,-0.10244315120846598,-0.18911201359829066,0.10244315120846598,0.18911201359829066,LOW,0.06758132680360317,0.02581755724650313
late_day_sell_volume_ratio,d1_ma10_slope,SUPPLY,TREND,False,-0.009691984979139125,-0.013857985210611086,0.009691984979139125,0.013857985210611086,LOW,-0.05654815559737659,-0.08818074490980093
late_day_sell_volume_ratio,board_streak_is_3,SUPPLY,REGIME,False,-0.05462439985408941,-0.08516715538320319,0.05462439985408941,0.08516715538320319,LOW,0.004655277351284674,0.03687029604060614
recent_7d_cumulative_return,recent_7d_max_drawdown,MOM7,DAMAGE7,False,-0.6024387084815412,-0.543819933053253,0.6024387084815412,0.543819933053253,MODERATE,-0.5662723230648974,-0.5674766842529679
recent_7d_cumulative_return,recent_7d_close_position,MOM7,POS7,False,0.6017478510309184,0.5707794491633185,0.6017478510309184,0.5707794491633185,MODERATE,0.5037295910270991,0.515179681222804
recent_7d_cumulative_return,d1_ma10_slope,MOM7,TREND,False,0.7825106069866252,0.7764523738200577,0.7825106069866252,0.7764523738200577,HIGH,0.6902827065118433,0.6939704675963904
recent_7d_cumulative_return,board_streak_is_3,MOM7,REGIME,False,0.3417871379183287,0.33955785502902885,0.3417871379183287,0.33955785502902885,LOW,0.25974040133182685,0.29394237138557433
recent_7d_max_drawdown,recent_7d_close_position,DAMAGE7,POS7,False,-0.2502058414407821,-0.22786942998456416,0.2502058414407821,0.22786942998456416,LOW,-0.06528007389664646,-0.06088137361035629
recent_7d_max_drawdown,d1_ma10_slope,DAMAGE7,TREND,False,-0.3576030084974218,-0.287837631123946,0.3576030084974218,0.287837631123946,LOW,-0.33284496378281836,-0.3825987215800874
recent_7d_max_drawdown,board_streak_is_3,DAMAGE7,REGIME,False,-0.1471527007162522,-0.12130426293039864,0.1471527007162522,0.12130426293039864,LOW,-0.1417809459016694,-0.13605113589534135
recent_7d_close_position,d1_ma10_slope,POS7,TREND,False,0.43600117398665855,0.402881366145802,0.43600117398665855,0.402881366145802,LOW,0.43736872537001437,0.4356457544576307
recent_7d_close_position,board_streak_is_3,POS7,REGIME,False,0.11177172340584794,0.10056311952779162,0.11177172340584794,0.10056311952779162,LOW,-0.0017742606731915764,-0.025046232675872852
d1_ma10_slope,board_streak_is_3,TREND,REGIME,False,0.2946339068769475,0.2894332283909253,0.2946339068769475,0.2894332283909253,LOW,0.23316210048121647,0.215798182673663
