section,replicate,statistic,lower,upper,n_finite,replicates,r1_ll_improvement_vs_r0,r1_brier_improvement_vs_r0,r2_ll_improvement_vs_r0,r2_brier_improvement_vs_r0,r2_ll_improvement_vs_r1,r2_brier_improvement_vs_r1,r1_pair_weighted_within_date_auc,r2_pair_weighted_within_date_auc,r1_top3_lift,r2_top3_lift
replicate,1,,,,,,-0.03167978422683093,-0.015254399302048777,-0.042298686536136,-0.018975190330737773,-0.010618902309305067,-0.0037207910286889967,0.49557522123893805,0.4336283185840708,-0.0017020335985853396,-0.018943412908930174
replicate,2,,,,,,-0.034578938443256435,-0.015541087527562336,-0.04966407778634285,-0.02060163869968759,-0.015085139343086418,-0.005060551172125255,0.44,0.43,-0.006725146198830412,0.010818713450292394
replicate,3,,,,,,-0.030915138796099195,-0.01458182920615203,-0.042594138513537216,-0.019129437798096255,-0.011678999717438021,-0.004547608591944224,0.526829268292683,0.44878048780487806,0.024379652605459046,-0.007878411910669958
replicate,4,,,,,,-0.0223538971389019,-0.010531356000513331,-0.029813704224511794,-0.012893624674028603,-0.007459807085609893,-0.002362268673515272,0.47368421052631576,0.46153846153846156,-0.03510683760683764,-0.0017735042735043116
replicate,5,,,,,,-0.029207432383648313,-0.014549098332814508,-0.037980630926019776,-0.017887065835935356,-0.008773198542371463,-0.0033379675031208478,0.5423728813559322,0.5141242937853108,0.0017543859649122584,0.019298245614035064
replicate,6,,,,,,-0.012602790862839774,-0.006056113619861192,-0.028006319375378563,-0.012376240478444878,-0.015403528512538789,-0.006320126858583686,0.512396694214876,0.4380165289256198,0.004019991308126913,-0.01292916123424595
replicate,7,,,,,,-0.02368321371450799,-0.01149199060896261,-0.03853241424812903,-0.01746616230606582,-0.014849200533621043,-0.005974171697103209,0.47465437788018433,0.4377880184331797,-0.03051739926739927,-0.03051739926739927
replicate,8,,,,,,-0.031288534747478725,-0.014794840983985202,-0.04232309541691748,-0.01883788664617389,-0.011034560669438753,-0.004043045662188688,0.4772727272727273,0.44696969696969696,-0.019636752136752145,-0.019636752136752145
replicate,9,,,,,,-0.005911819466265289,-0.0034204243342915164,-0.014429791389058533,-0.006871477000261972,-0.008517971922793244,-0.0034510526659704555,0.5374449339207048,0.5022026431718062,0.004581757040773432,0.004581757040773432
replicate,10,,,,,,-0.005000018698077091,-0.0032982474085579416,-0.018264929451266676,-0.008585019419580064,-0.013264910753189585,-0.005286772011022123,0.5335195530726257,0.4888268156424581,0.005619658119658116,0.005619658119658116
replicate,11,,,,,,-0.07655854421370156,-0.03518894562253938,-0.09131302702977218,-0.03978823306889534,-0.014754482816070613,-0.00459928744635596,0.35403726708074534,0.2857142857142857,-0.026111111111111196,-0.09277777777777785
replicate,12,,,,,,-0.032222820582404,-0.01570330184493604,-0.03597183607471388,-0.016964112581343588,-0.0037490154923098817,-0.0012608107364075472,0.5424836601307189,0.49019607843137253,0.014979757085020196,0.014979757085020196
replicate,13,,,,,,-0.024018065807186795,-0.011079957154415232,-0.03570697731738448,-0.015462928880373428,-0.011688911510197686,-0.004382971725958196,0.5159010600706714,0.47703180212014135,0.0010378510378509231,0.0010378510378509231
replicate,14,,,,,,-0.005924602124735445,-0.003332475548531444,-0.018864737075362514,-0.008223506191913893,-0.012940134950627069,-0.004891030643382449,0.4979919678714859,0.4457831325301205,0.020054945054945067,0.0021978021978022177
replicate,15,,,,,,-0.01425470834793352,-0.006948153351146569,-0.02836475956834017,-0.01249867199997634,-0.01411005122040665,-0.005550518648829772,0.5130434782608696,0.46956521739130436,0.03648758648758643,0.052360602360602304
replicate,16,,,,,,-0.029515130521716837,-0.012622341764967016,-0.05043155354280493,-0.020780323963719427,-0.020916423021088093,-0.008157982198752411,0.4889867841409692,0.42731277533039647,-0.01013030685161831,-0.042917192097519985
replicate,17,,,,,,-0.015064313651465544,-0.007764220398146199,-0.022363761209603816,-0.01026925992587896,-0.007299447558138272,-0.002505039527732761,0.47530864197530864,0.4567901234567901,-0.01084311169056934,0.023055193394176415
replicate,18,,,,,,-0.018271098393914942,-0.008690117984095663,-0.026100400601508644,-0.01113812030995831,-0.007829302207593702,-0.002448002325862647,0.4899598393574297,0.4819277108433735,-0.0162466843501326,0.0009946949602122057
replicate,19,,,,,,0.005206509150619376,0.0017795905979770266,-0.007978059093350587,-0.0037544663787654198,-0.013184568243969963,-0.005534056976742446,0.553030303030303,0.48863636363636365,-0.007435897435897398,-0.007435897435897398
replicate,20,,,,,,-0.003114246377747709,-0.0018814295589280605,-0.016876149379759564,-0.007261975952561894,-0.013761903002011855,-0.005380546393633834,0.544973544973545,0.5052910052910053,0.018162393162393153,-0.015170940170940173
replicate,21,,,,,,-0.02100195934155058,-0.011050720657623636,-0.022971282185483166,-0.010573358984246606,-0.001969322843932586,0.0004773616733770303,0.48717948717948717,0.48205128205128206,0.04166666666666666,0.04166666666666666
replicate,22,,,,,,-0.012830610322592029,-0.006849023918302055,-0.021074854423956513,-0.010022786664239447,-0.008244244101364484,-0.003173762745937392,0.5271739130434783,0.4782608695652174,0.029807692307692257,0.013141025641025594
replicate,23,,,,,,-0.02159463643672499,-0.010077641883580651,-0.03457924182794481,-0.015382739751501034,-0.012984605391219817,-0.005305097867920383,0.5303030303030303,0.49242424242424243,-0.015645371577575007,0.018252933507170777
replicate,24,,,,,,0.011387550608107477,0.004344242513052543,0.0030455296543436816,0.0013978612436164328,-0.008342020953763796,-0.0029463812694361102,0.5341614906832298,0.5124223602484472,0.04106767549390494,0.05746111811685578
replicate,25,,,,,,-0.04147905113195649,-0.019501727680198727,-0.051059389285536105,-0.022726316578331213,-0.009580338153579615,-0.0032245888981324855,0.4896265560165975,0.44398340248962653,-0.020828079024800383,-0.03722152164775122
replicate,26,,,,,,-0.01842542390849189,-0.009878470606777406,-0.02799185387078107,-0.013710535422019277,-0.00956642996228918,-0.00383206481524187,0.4928909952606635,0.43601895734597157,-0.020137046861184782,-0.0028956675508399754
replicate,27,,,,,,-0.012300792346310985,-0.0059781384148888395,-0.01858321874781188,-0.007765601116826143,-0.006282426401500896,-0.0017874627019373035,0.5255474452554745,0.49635036496350365,0.03235042735042737,0.03235042735042737
replicate,28,,,,,,-0.014936425764083938,-0.007777096837153996,-0.0266084684530401,-0.012662236628865703,-0.011672042688956163,-0.004885139791711707,0.538961038961039,0.4967532467532468,-0.007496740547588032,-0.024445893089960924
replicate,29,,,,,,-0.014910942761764412,-0.008050071670824388,-0.022734172433644173,-0.011212854084875351,-0.007823229671879761,-0.003162782414050963,0.5799086757990868,0.54337899543379,0.008669108669108694,0.024542124542124566
replicate,30,,,,,,-0.010866407059317518,-0.005825916658707991,-0.01912952074498142,-0.008977298481460866,-0.008263113685663903,-0.0031513818227528745,0.5053763440860215,0.46774193548387094,0.014333753678015926,-0.0020596889449348565
replicate,31,,,,,,0.0032507675965736116,-8.889329667743917e-05,-0.0025826780065585364,-0.0023508919045152066,-0.005833445603132148,-0.0022619986078377674,0.5714285714285714,0.5357142857142857,0.046004273504273496,0.046004273504273496
replicate,32,,,,,,-0.02029845722457735,-0.010139207150406615,-0.0286958345807955,-0.012586444554157694,-0.00839737735621815,-0.002447237403751079,0.472636815920398,0.44776119402985076,0.02574441687344911,0.04187344913151361
replicate,33,,,,,,-0.033201824680580416,-0.01669657226018001,-0.03038866154418496,-0.014664561399951287,0.002813163136395458,0.0020320108602287223,0.5277777777777778,0.5277777777777778,0.005952380952380959,0.005952380952380959
replicate,34,,,,,,-0.0033581692356300374,-0.0014774812469184329,-0.01911585633894275,-0.007778455329118,-0.015757687103312712,-0.0063009740821995674,0.562015503875969,0.49612403100775193,0.055888744024337245,0.02199043893959146
replicate,35,,,,,,-0.009345097932933144,-0.004881714391189007,-0.01671756052583362,-0.008123321686804907,-0.007372462592900475,-0.0032416072956159003,0.5428571428571428,0.48095238095238096,-0.01145439260193365,-0.01145439260193365
replicate,36,,,,,,-0.033590077465123325,-0.016170062822222497,-0.04192060058205982,-0.019298086754747618,-0.008330523116936495,-0.0031280239325251202,0.4566929133858268,0.4330708661417323,-0.04396195202646819,-0.027832919768403686
replicate,37,,,,,,-0.0029083227421793367,-0.001500394420549389,-0.013690052532979946,-0.005800359198297439,-0.01078172979080061,-0.00429996477774805,0.5242290748898678,0.4977973568281938,-0.016645988420182056,0.031741108354011505
replicate,38,,,,,,-0.026335336590420533,-0.01205446461488785,-0.035880254856881066,-0.015071782274079737,-0.009544918266460534,-0.003017317659191887,0.509090909090909,0.48484848484848486,0.027327935222672017,0.027327935222672017
replicate,39,,,,,,-0.02695562901922388,-0.012450249048147954,-0.03236667872522869,-0.01392952157110991,-0.005411049706004811,-0.0014792725229619552,0.5210526315789473,0.49473684210526314,0.001861042183622874,-0.014267990074441683
replicate,40,,,,,,-0.010619196910259254,-0.00508372792172776,-0.023250918290814826,-0.009825458972396783,-0.012631721380555572,-0.0047417310506690236,0.45454545454545453,0.4155844155844156,-0.032429592265657836,-0.032429592265657836
replicate,41,,,,,,0.00013167363635568918,-0.0003271682200381709,-0.010634164451244654,-0.004771706406597465,-0.010765838087600343,-0.004444538186559294,0.6013986013986014,0.5384615384615384,0.017399267399267393,0.017399267399267393
replicate,42,,,,,,0.0034403865824319535,0.00037769453566841027,-0.004496930894182016,-0.0028045516061060427,-0.00793731747661397,-0.003182246141774453,0.5873015873015873,0.5317460317460317,0.027393162393162362,0.027393162393162362
replicate,43,,,,,,-0.014981886253739973,-0.007726940151094208,-0.024999380754040623,-0.011395925358533593,-0.01001749450030065,-0.0036689852074393847,0.5078125,0.48046875,-0.017286324786324747,0.01604700854700858
replicate,44,,,,,,-0.00040448410320204076,-0.000874658271638018,-0.009992564789642167,-0.0045592166274916746,-0.009588080686440126,-0.0036845583558536565,0.53,0.49333333333333335,0.027387267904509294,0.01014588859416446
replicate,45,,,,,,-0.009819563143881771,-0.004513874447439309,-0.021189119507462384,-0.009073528865293307,-0.011369556363580613,-0.004559654417853998,0.5404040404040404,0.5050505050505051,0.018258891645988373,0.034387923904052875
replicate,46,,,,,,-0.013673498640772719,-0.006358471625016571,-0.015761459373691444,-0.006699721195560476,-0.0020879607329187255,-0.0003412495705439056,0.5207100591715976,0.5088757396449705,0.007757496740547543,0.04165580182529327
replicate,47,,,,,,-0.0057468392141963864,-0.002639939143024378,-0.019146283426180744,-0.0076961429548885185,-0.013399444211984357,-0.005056203811864141,0.5268542199488491,0.4833759590792839,0.01088726088726083,-0.020858770858770914
replicate,48,,,,,,0.011435447643895369,0.0049264245865236755,0.002357326695802131,0.0015294363126053534,-0.009078120948093238,-0.003396988273918322,0.5271739130434783,0.5163043478260869,0.04253888188314417,0.09171920975199663
replicate,49,,,,,,-0.03331880002339016,-0.016353727624582398,-0.039629378014956695,-0.019062590905160937,-0.006310577991566535,-0.0027088632805785384,0.5439560439560439,0.47802197802197804,0.019703103913630227,0.019703103913630227
replicate,50,,,,,,-0.016174668730619457,-0.007384322191111459,-0.03299437638035918,-0.013901757290064182,-0.016819707649739724,-0.006517435098952723,0.48660714285714285,0.4017857142857143,-0.015342580916351434,-0.04812946616225311
replicate,51,,,,,,-0.03523232931129938,-0.01668016515738105,-0.04239678934366131,-0.01899314099590707,-0.00716446003236193,-0.0023129758385260213,0.4803921568627451,0.45098039215686275,-0.03557109557109556,-0.017389277389277397
replicate,52,,,,,,-0.028156227557829983,-0.01346859147742982,-0.038464512244658744,-0.016859564284559175,-0.010308284686828761,-0.0033909728071293554,0.4713114754098361,0.4426229508196721,-0.0012200165425971798,-0.01734904880066171
replicate,53,,,,,,-0.013066691519055929,-0.007154854749513412,-0.020326399877847456,-0.01014936879299122,-0.007259708358791528,-0.0029945140434778084,0.5361216730038023,0.49429657794676807,-0.009305210918114176,0.022952853598014855
replicate,54,,,,,,-0.02976194132708654,-0.01382207179376621,-0.03293436751111678,-0.014404481365146826,-0.0031724261840302415,-0.0005824095713806154,0.531578947368421,0.5210526315789473,0.015277777777777724,-0.0013888888888889395
replicate,55,,,,,,-0.01722843159817411,-0.008839973692472775,-0.02568863920676545,-0.012081502884823458,-0.008460207608591341,-0.003241529192350684,0.4899598393574297,0.43775100401606426,-0.007755359394703648,-0.007755359394703648
replicate,56,,,,,,0.0022497099089968664,-0.00013251075403961088,-0.008523650001457272,-0.004482513537069632,-0.010773359910454139,-0.004350002783030021,0.527363184079602,0.4626865671641791,-0.0038461538461538325,-0.0038461538461538325
replicate,57,,,,,,-0.008408020312588249,-0.0042354779707901025,-0.022720534900336875,-0.009735221650961495,-0.014312514587748626,-0.005499743680171393,0.5092592592592593,0.4861111111111111,0.0018443544759333963,0.03693207377417901
replicate,58,,,,,,-0.018868138426970105,-0.009508757020773029,-0.02662677625223997,-0.012826210749482259,-0.007758637825269865,-0.00331745372870923,0.5772357723577236,0.5284552845528455,0.013909046927914837,0.013909046927914837
replicate,59,,,,,,-0.023869470437997253,-0.01221377259624129,-0.024451566189831464,-0.011736586433007817,-0.0005820957518342107,0.00047718616323347285,0.502283105022831,0.4885844748858447,0.005821773854560758,0.005821773854560758
replicate,60,,,,,,-0.025122606702016936,-0.012487883857264681,-0.03607667392449865,-0.016940278943059273,-0.010954067222481711,-0.0044523950857945915,0.6363636363636364,0.5664335664335665,0.0464285714285714,0.010714285714285704
replicate,61,,,,,,-0.01720588596323369,-0.008727798736772596,-0.02405316084649789,-0.011559782709559707,-0.006847274883264198,-0.002831983972787111,0.5483870967741935,0.510752688172043,0.010458839406207815,0.04554655870445343
replicate,62,,,,,,-0.026425142336669483,-0.01274273545093682,-0.03592763721135506,-0.016100753091069175,-0.009502494874685574,-0.0033580176401323547,0.5,0.4669811320754717,-0.007061457061457055,0.02468457468457469
