code,original_path,quarantine_path,source,fetched_at_or_mtime,time_basis,latest_daily_date,latest_daily_close,latest_daily_high,latest_daily_low,latest_daily_volume,file_sha256,invalidation_reason
000034,F:\fenqixuangu\data\cache\daily\000034_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\000034_daily.pkl,tencent_daily,2026-06-29T14:12:40.719185+08:00,file_mtime,2026-06-29,25.71,26.98,25.34,350298.0,0eedecd6821e9871a194a8099578975f59e6f388af81d60ad7e58a8c7ee601f6,stale_intraday_daily_cache
000636,F:\fenqixuangu\data\cache\daily\000636_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\000636_daily.pkl,tencent_daily,2026-06-29T13:39:41.638164+08:00,file_mtime,2026-06-29,79.5,84.0,77.08,1143804.0,dd06912951359b6fa066242e269cc96a2e84ac1f4f891c4d60cb9d21b95d0608,stale_intraday_daily_cache
000766,F:\fenqixuangu\data\cache\daily\000766_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\000766_daily.pkl,tencent_daily,2026-06-29T14:44:01.395593+08:00,file_mtime,2026-06-29,21.56,22.1,21.56,344181.0,1020ba7636c6005cf00de39efa3325528efc5afdb3f368142912e94331e4f599,stale_intraday_daily_cache
000783,F:\fenqixuangu\data\cache\daily\000783_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\000783_daily.pkl,tencent_daily,2026-06-29T14:31:05.539906+08:00,file_mtime,2026-06-29,9.42,9.98,9.27,3033191.0,00a4a128002fc7478dfba4906f3d644f0df3674f567d364ab7ee89fc5975b039,stale_intraday_daily_cache
000962,F:\fenqixuangu\data\cache\daily\000962_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\000962_daily.pkl,tencent_daily,2026-06-29T14:31:09.242134+08:00,file_mtime,2026-06-29,92.3,95.73,88.99,463270.0,07f0027aa196d8f57b53ff675f625162a21484b51ea48665524e94187dc2c467,stale_intraday_daily_cache
001309,F:\fenqixuangu\data\cache\daily\001309_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\001309_daily.pkl,tencent_daily,2026-06-29T14:44:02.815813+08:00,file_mtime,2026-06-29,960.0,978.0,886.66,160961.0,b9457ead038bcd74a39903dd64713f86e23b23bda00b4176366307bcb5423049,stale_intraday_daily_cache
001330,F:\fenqixuangu\data\cache\daily\001330_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\001330_daily.pkl,tencent_daily,2026-06-29T13:59:21.288301+08:00,file_mtime,2026-06-29,5.76,6.1,5.63,945358.0,66926800bebedc72a3d67d81289e9489a34a97825b7146c00ab167cf95861c17,stale_intraday_daily_cache
002056,F:\fenqixuangu\data\cache\daily\002056_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\002056_daily.pkl,tencent_daily,2026-06-29T14:44:04.190692+08:00,file_mtime,2026-06-29,28.6,30.86,27.5,876927.0,e545b4fce8c00d5f661d263a5d36c69b281111f444a5acaa87905661385ce7ea,stale_intraday_daily_cache
002068,F:\fenqixuangu\data\cache\daily\002068_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\002068_daily.pkl,tencent_daily,2026-06-29T14:26:50.562466+08:00,file_mtime,2026-06-29,14.35,15.2,13.73,1023517.0,fbff7f966a9362e28b866809167957f74a547a8279cae1c401e5cd7e474f6d06,stale_intraday_daily_cache
002080,F:\fenqixuangu\data\cache\daily\002080_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\002080_daily.pkl,tencent_daily,2026-06-29T13:39:56.296126+08:00,file_mtime,2026-06-29,90.55,99.58,87.9,780416.0,9e44d844810e9fe9dbdea6af0a66cacdadf8ed0bb6a0d0d60815920ac0f9c2f4,stale_intraday_daily_cache
002254,F:\fenqixuangu\data\cache\daily\002254_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\002254_daily.pkl,tencent_daily,2026-06-29T13:32:20.846705+08:00,file_mtime,2026-06-29,17.72,19.4,17.5,815932.0,40ad4a20d525b2932d413b96fba4d084202b906de926e57466d9bf6c1d6ebd26,stale_intraday_daily_cache
002303,F:\fenqixuangu\data\cache\daily\002303_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\002303_daily.pkl,tencent_daily,2026-06-29T14:13:01.920830+08:00,file_mtime,2026-06-29,4.24,4.33,3.99,864313.0,e18a3f49c46b3f4c1aa8c2e8d3e7b9c30ddd086ce1222dc493707d551043b614,stale_intraday_daily_cache
002387,F:\fenqixuangu\data\cache\daily\002387_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\002387_daily.pkl,tencent_daily,2026-06-29T13:32:24.839686+08:00,file_mtime,2026-06-29,8.67,9.15,8.53,380861.0,827cf59ba9623bde7be0eecde67874d639e1b6adacbf9ff6c50fa11b4ebc0443,stale_intraday_daily_cache
002484,F:\fenqixuangu\data\cache\daily\002484_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\002484_daily.pkl,tencent_daily,2026-06-29T13:40:05.716261+08:00,file_mtime,2026-06-29,105.57,114.5,103.1,436377.0,37a0a0f783f5d14fe6094dd7cb499e9638fc01f751410fe0dfa86583333a2cb4,stale_intraday_daily_cache
002558,F:\fenqixuangu\data\cache\daily\002558_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\002558_daily.pkl,tencent_daily,2026-06-29T14:44:07.130180+08:00,file_mtime,2026-06-29,27.06,28.5,26.65,1167349.0,e1e7c1e69a886b66532dd512779a37330a27058b6da3ae11d74b3e5dd2b9b5fe,stale_intraday_daily_cache
002787,F:\fenqixuangu\data\cache\daily\002787_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\002787_daily.pkl,tencent_daily,2026-06-29T14:44:08.489479+08:00,file_mtime,2026-06-29,31.35,32.47,29.61,297814.0,d7ae3315c466e3750434d15238c915263fbb51d8b1116cfcc647a8675e8b709d,stale_intraday_daily_cache
002928,F:\fenqixuangu\data\cache\daily\002928_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\002928_daily.pkl,tencent_daily,2026-06-29T14:44:09.945068+08:00,file_mtime,2026-06-29,7.43,7.7,7.3,393448.0,3d852b38a1db10538a08e2c750fa29368e018e7a9f0a44ebc292b62a4111a17a,stale_intraday_daily_cache
002980,F:\fenqixuangu\data\cache\daily\002980_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\002980_daily.pkl,tencent_daily,2026-06-29T14:44:11.195301+08:00,file_mtime,2026-06-29,115.08,123.27,109.6,101337.0,b377cf0c2e03a4627ffaf22971fe6aad29ce6f98f110c6e8f31d1dc2ed78f24c,stale_intraday_daily_cache
002990,F:\fenqixuangu\data\cache\daily\002990_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\002990_daily.pkl,tencent_daily,2026-06-29T14:05:50.045797+08:00,file_mtime,2026-06-29,74.07,76.78,72.0,138257.0,4aaae694eebf6384067e1816cbb821a96ec2258cc0193c6d209550fa2cfdee47,stale_intraday_daily_cache
600058,F:\fenqixuangu\data\cache\daily\600058_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\600058_daily.pkl,tencent_daily,2026-06-29T13:46:16.735697+08:00,file_mtime,2026-06-29,11.3,12.45,11.21,268160.0,c02e99c596e888977517d8718d3e3c75a2adc991c1ccccec7358ea0d772cdf4a,stale_intraday_daily_cache
600141,F:\fenqixuangu\data\cache\daily\600141_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\600141_daily.pkl,tencent_daily,2026-06-29T13:52:20.943872+08:00,file_mtime,2026-06-29,47.02,50.78,45.6,973096.0,78351d4a1b4086672a247ac1ba4c0cbd031e56b4c671865f90d0f225b7e539d4,stale_intraday_daily_cache
600152,F:\fenqixuangu\data\cache\daily\600152_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\600152_daily.pkl,tencent_daily,2026-06-29T14:44:12.511787+08:00,file_mtime,2026-06-29,9.67,10.4,9.6,592150.0,d0673dd61cedb6997bf51217b29edcdfa1dda2d7149e674d65a0015cbf965428,stale_intraday_daily_cache
600186,F:\fenqixuangu\data\cache\daily\600186_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\600186_daily.pkl,tencent_daily,2026-06-29T13:40:38.656797+08:00,file_mtime,2026-06-29,13.43,14.58,13.25,1764081.0,b7b4b780ecd68348712c1c8d21e237682a819491894ca58091cdf198616dc54e,stale_intraday_daily_cache
600237,F:\fenqixuangu\data\cache\daily\600237_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\600237_daily.pkl,tencent_daily,2026-06-29T14:05:57.554110+08:00,file_mtime,2026-06-29,12.88,13.95,12.61,973170.0,b9116e70e39a401198ec8a358da0a743858d68f4a0ef4908f6b1ccb0c888a835,stale_intraday_daily_cache
600330,F:\fenqixuangu\data\cache\daily\600330_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\600330_daily.pkl,tencent_daily,2026-06-29T13:40:42.497435+08:00,file_mtime,2026-06-29,29.87,33.0,29.48,1502820.0,ec4707163201522162d3dce4fffc3caafebeb8cf523f64041bbc86661c1318c0,stale_intraday_daily_cache
600458,F:\fenqixuangu\data\cache\daily\600458_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\600458_daily.pkl,tencent_daily,2026-06-29T13:40:46.420782+08:00,file_mtime,2026-06-29,15.7,16.35,15.31,434202.0,c5bf9ffbb991159ebc788fca5ea2c29d6e49d24a9d8ee8d994654224694dca7c,stale_intraday_daily_cache
600500,F:\fenqixuangu\data\cache\daily\600500_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\600500_daily.pkl,tencent_daily,2026-06-29T13:40:49.254181+08:00,file_mtime,2026-06-29,8.03,8.99,8.03,1855506.0,61fe992790d9b08d75e97f9d2ec0577f27a31e93a1a2e9a41b8e5c5faba09099,stale_intraday_daily_cache
600516,F:\fenqixuangu\data\cache\daily\600516_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\600516_daily.pkl,tencent_daily,2026-06-29T13:32:53.005675+08:00,file_mtime,2026-06-29,5.83,6.74,5.82,2257330.0,e833927c3c4d1798df4a54b063dd74f9b431506e126a2e757b87aa4f6269cfeb,stale_intraday_daily_cache
600579,F:\fenqixuangu\data\cache\daily\600579_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\600579_daily.pkl,tencent_daily,2026-06-29T13:40:50.548159+08:00,file_mtime,2026-06-29,8.09,8.14,7.55,205634.0,fa2c814a388c22f9ff61fd2892918c6c8525c9614311acc00c87d7ca19c5e485,stale_intraday_daily_cache
600668,F:\fenqixuangu\data\cache\daily\600668_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\600668_daily.pkl,tencent_daily,2026-06-29T14:44:15.126687+08:00,file_mtime,2026-06-29,7.66,7.71,6.99,154687.0,d13ecc6a7196cc77130d418422a88630e0248f5be7073a8cf151f20c8be4577d,stale_intraday_daily_cache
600888,F:\fenqixuangu\data\cache\daily\600888_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\600888_daily.pkl,tencent_daily,2026-06-29T14:13:36.259513+08:00,file_mtime,2026-06-29,15.05,16.76,14.69,1331729.0,d8c1846db6b0802eebf727e1efeefdd139908959e727b689205e9320643a3ce9,stale_intraday_daily_cache
600903,F:\fenqixuangu\data\cache\daily\600903_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\600903_daily.pkl,tencent_daily,2026-06-29T13:41:00.220941+08:00,file_mtime,2026-06-29,6.82,7.3,6.77,354161.0,58428c57e18ae008f7be59c2809a6f6d0088e245e43560412dfa6d90e3207bac,stale_intraday_daily_cache
601798,F:\fenqixuangu\data\cache\daily\601798_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\601798_daily.pkl,tencent_daily,2026-06-29T14:44:16.510230+08:00,file_mtime,2026-06-29,7.36,7.81,7.2,144869.0,a9d194af58e03cc009a683810084444a172b72cbfef0b50648d7336597b45262,stale_intraday_daily_cache
603010,F:\fenqixuangu\data\cache\daily\603010_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\603010_daily.pkl,tencent_daily,2026-06-29T14:44:17.875332+08:00,file_mtime,2026-06-29,17.54,18.27,16.44,452059.0,9ad956c355f9466d7f48e3125e2547c66b6aa06d26276924941d38f8ea187636,stale_intraday_daily_cache
603063,F:\fenqixuangu\data\cache\daily\603063_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\603063_daily.pkl,tencent_daily,2026-06-29T14:44:20.677449+08:00,file_mtime,2026-06-29,50.91,52.95,48.35,307320.0,3ea6101206ec57f69087bd25cc9f727dafa284cb993f2ab638f5abdb63acf75e,stale_intraday_daily_cache
603115,F:\fenqixuangu\data\cache\daily\603115_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\603115_daily.pkl,tencent_daily,2026-06-29T14:06:29.850375+08:00,file_mtime,2026-06-29,119.21,122.5,114.61,77871.0,a9f69a0347d1e3a301505fe3905e6d2f65e4c9857fa7f2e6e2fd6c348988e554,stale_intraday_daily_cache
603267,F:\fenqixuangu\data\cache\daily\603267_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\603267_daily.pkl,tencent_daily,2026-06-29T14:06:33.904054+08:00,file_mtime,2026-06-29,75.17,82.37,73.78,182430.0,4b2ec694a6a6e1d68fa9d5ec320bbd090725a48d89c7b208febf5d9933cb47f0,stale_intraday_daily_cache
603500,F:\fenqixuangu\data\cache\daily\603500_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\603500_daily.pkl,tencent_daily,2026-06-29T13:33:17.557203+08:00,file_mtime,2026-06-29,11.84,12.84,11.78,155213.0,620695b9d94803f4843d5a6fb00a85c92d08822b376760f59b846e7d90f83f7f,stale_intraday_daily_cache
603527,F:\fenqixuangu\data\cache\daily\603527_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\603527_daily.pkl,tencent_daily,2026-06-29T14:44:21.957120+08:00,file_mtime,2026-06-29,11.83,13.11,11.6,223350.0,fd429169a69ffbed2f1828a34b9cc01315c4e6980a7cc7256abaa1d76c5196ad,stale_intraday_daily_cache
603678,F:\fenqixuangu\data\cache\daily\603678_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\603678_daily.pkl,tencent_daily,2026-06-29T13:52:43.652390+08:00,file_mtime,2026-06-29,80.22,87.3,76.5,362061.0,2ccf783c7082c402160e9e7e506a87091d81e98fd0d9959fa9732342cd95c37d,stale_intraday_daily_cache
603690,F:\fenqixuangu\data\cache\daily\603690_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\603690_daily.pkl,tencent_daily,2026-06-29T14:44:23.406296+08:00,file_mtime,2026-06-29,35.05,37.22,33.61,680360.0,0c3cbbda7f34bf54c838f34e525cd8b3325469d3476bc612f322d2bc3f92a248,stale_intraday_daily_cache
603733,F:\fenqixuangu\data\cache\daily\603733_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\603733_daily.pkl,tencent_daily,2026-06-29T14:44:24.796378+08:00,file_mtime,2026-06-29,26.62,27.37,25.61,149844.0,e289075a2091ea4c1f73f692d098f26f91906a1e7c44af59fa6186052fa32076,stale_intraday_daily_cache
603800,F:\fenqixuangu\data\cache\daily\603800_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\603800_daily.pkl,tencent_daily,2026-06-29T14:06:48.487385+08:00,file_mtime,2026-06-29,80.03,88.95,79.61,101417.0,44329d4668b247c3b7bf88fcf07fe30306e081bc81574686c2c7bec02b87efd8,stale_intraday_daily_cache
603929,F:\fenqixuangu\data\cache\daily\603929_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\603929_daily.pkl,tencent_daily,2026-06-29T13:36:08.944293+08:00,file_mtime,2026-06-29,273.69,283.57,262.27,124283.0,d8c6e892586a7e2ed03849a35d3e7b5817a4393632c7b688dbe4987d46ba5a92,stale_intraday_daily_cache
603989,F:\fenqixuangu\data\cache\daily\603989_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\603989_daily.pkl,tencent_daily,2026-06-29T14:13:58.029942+08:00,file_mtime,2026-06-29,54.13,56.68,51.6,239322.0,83510f8bd6f1da33c3126a492011847476ce8eb9956120974dd290af79e5d41b,stale_intraday_daily_cache
605318,F:\fenqixuangu\data\cache\daily\605318_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\605318_daily.pkl,tencent_daily,2026-06-29T13:41:29.732761+08:00,file_mtime,2026-06-29,125.55,131.55,120.12,29233.0,9725a572c9b26f8dcdac03c72e4eea2af4f853518b7460ce01d9c4ee124ca923,stale_intraday_daily_cache
605376,F:\fenqixuangu\data\cache\daily\605376_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\605376_daily.pkl,tencent_daily,2026-06-29T13:41:32.373381+08:00,file_mtime,2026-06-29,275.73,290.3,266.0,152712.0,859af228e612de8242dc0cc910ffbced86d1c77b9731a2b9547a7b7e484d30e2,stale_intraday_daily_cache
605589,F:\fenqixuangu\data\cache\daily\605589_daily.pkl,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\605589_daily.pkl,tencent_daily,2026-06-29T13:41:33.678142+08:00,file_mtime,2026-06-29,62.45,68.05,60.5,526120.0,2ed9901b3da146bfbcddd32acb0f80f89ff320b6fd55764ecd01abd0dfb17367,stale_intraday_daily_cache
