signal_date,candidate_count,universe_capped_mean,universe_target7_rate,control_rank1,control_rank2,control_rank3,control_top2,control_top3,capped_rank1,capped_rank2,capped_rank3,capped_top2,capped_top3,delta,control_target7_count,capped_target7_count,opportunity_bucket
2026-07-01,17,0.0323661027256,0.176470588235,0.00845360824742,0.07,-0.0225609756098,0.0392268041237,0.0186308775459,0.0501268269115,0.00845360824742,0.07,0.0292902175794,0.042860145053,0.0242292675071,1,1,MID
2026-07-02,19,0.00829042218328,0.105263157895,-0.0672530694521,-0.049125,0.00766283524904,-0.058189034726,-0.036238411401,0.0461956521739,-0.0293068297655,0.00488155061019,0.00844441120418,0.00725679100619,0.0434952024072,0,0,LOW
2026-07-03,12,0.000198988356934,0.0833333333333,-0.0103537532355,-0.0370111731844,-0.00887573964497,-0.02368246321,-0.0187468886883,-0.0742417383431,0.0244444444444,-0.0103537532355,-0.0248986469493,-0.0200503490447,-0.00130346035646,0,0,LOW
2026-07-06,13,0.006758412856,0.230769230769,-0.0586135895676,0.07,0.00377358490566,0.0056932052162,0.00505333177935,-0.0362811791383,0.07,-0.00678028220634,0.0168594104308,0.00897951288511,0.00392618110576,1,1,LOW
2026-07-07,6,0.0171138406123,0,0.0209756097561,0.0556760665221,0.0381679389313,0.0383258381391,0.0382732050698,0.0210924824229,0.0209756097561,0.0381679389313,0.0210340460895,0.0267453437034,-0.0115278613664,0,0,MID
2026-07-08,3,0.0543695065352,0.333333333333,0.0501307759372,0.0429777436685,0.07,0.0465542598028,0.0543695065352,0.0429777436685,0.0501307759372,0.07,0.0465542598028,0.0543695065352,0,1,1,HIGH
2026-07-09,5,0.0361802375694,0.4,0.0496067755596,0.07,0.07,0.0598033877798,0.0632022585199,0.0281329923274,0.0496067755596,0.07,0.0388698839435,0.0492465892957,-0.0139556692242,2,1,HIGH
2026-07-10,4,0.00469130439811,0.25,0.0153368278004,-0.0287912087912,-0.0377804014168,-0.00672719049539,-0.0170782608025,0.0153368278004,-0.0287912087912,-0.0377804014168,-0.00672719049539,-0.0170782608025,0,0,0,LOW
2026-07-13,6,-0.0310034135124,0,-0.0442105263158,-0.130864197531,-0.0155466399198,-0.0875373619233,-0.0635404545888,0.0417895771878,-0.0442105263158,-0.130864197531,-0.00121047456399,-0.0444283822196,0.0191120723692,0,0,LOW
2026-07-14,8,0.0475411480117,0.5,0.07,0.07,0.07,0.07,0.07,0.07,0.0224489795918,0.07,0.0462244897959,0.0541496598639,-0.0158503401361,3,2,HIGH
2026-07-15,2,-0.031661945098,0,0.0368334249588,-0.100157315155,,-0.031661945098,-0.031661945098,0.0368334249588,-0.100157315155,,-0.031661945098,-0.031661945098,0,0,0,LOW
2026-07-16,12,0.0177918481948,0.416666666667,0.07,-0.053125,0.07,0.0084375,0.0289583333333,0.07,-0.0986986213117,0.0567375886525,-0.0143493106558,0.00934632244693,-0.0196120108864,2,1,MID
2026-07-17,5,0.00650671022867,0,0.0580204778157,-0.0404761904762,-0.00104275286757,0.00877214366975,0.00550051149065,0.041394335512,0.0580204778157,-0.0404761904762,0.0497074066638,0.0196462076172,0.0141456961265,0,0,LOW
2026-07-20,6,0.0401444694665,0.666666666667,0.07,0.07,-0.0123266563945,0.07,0.0425577812018,-0.0123266563945,0.07,0.07,0.0288366718028,0.0425577812018,0,2,2,HIGH
2026-07-21,7,0.07,1,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0,3,3,HIGH
2026-07-22,2,-0.0245200853182,0,-0.0283505154639,-0.0206896551724,,-0.0245200853182,-0.0245200853182,-0.0283505154639,-0.0206896551724,,-0.0245200853182,-0.0245200853182,0,0,0,LOW
2026-07-23,4,0.0379489691448,0,0.0350877192982,0.064126984127,0.0290171083529,0.0496073517126,0.0427439372594,0.0350877192982,0.0290171083529,0.064126984127,0.0320524138256,0.0427439372594,0,0,0,HIGH
2026-07-24,9,0.0349902119394,0.555555555556,-0.10009718173,0.0430739109153,-0.0238663484487,-0.0285116354073,-0.0269632064211,-0.10009718173,0.07,0.07,-0.0150485908649,0.0133009394234,0.0402641458445,0,2,MID
2026-07-27,13,0.0178451626717,0.153846153846,0.0109289617486,-0.0221893491124,0.00677966101695,-0.0056301936819,-0.00149357544895,-0.0277777777778,0.0109289617486,0.00677966101695,-0.00842440801457,-0.00335638500406,-0.00186280955512,0,0,MID
2026-07-28,3,0.0306164601977,0.333333333333,0.07,0.0668693009119,-0.0450199203187,0.0684346504559,0.0306164601977,0.07,0.0668693009119,-0.0450199203187,0.0684346504559,0.0306164601977,0,1,1,MID
2026-07-29,10,0.00894211105584,0.1,-0.0460921843687,0.0433734939759,0.0153617443013,-0.00135934519642,0.00421435130282,-0.00437888914496,0.0153617443013,-0.0460921843687,0.00549142757816,-0.0117031097375,-0.0159174610403,0,0,MID
2026-07-30,7,0.0338547771918,0.428571428571,0.045256916996,0.0167046317388,0.07,0.0309807743674,0.0439871829116,0.00807428340735,0.045256916996,0.07,0.0266656002017,0.0411104001345,-0.00287678277715,1,1,MID
2026-07-31,5,0.0391922945288,0.2,0.07,0.065306122449,0.0406779661017,0.0676530612245,0.0586613628502,0.0199773840935,0.07,0.065306122449,0.0449886920467,0.0517611688475,-0.00690019400274,1,1,HIGH
