factor,target,universe,quantile,count,factor_min,factor_max,factor_mean,target_mean,target_median,target_p25,target_p75,target7_rate,target10_rate,loss_rate,opportunity7_rate,primary_close_mean,opportunity_max_mean
consecutive_boards,executed_realized_d3,executed_only,4,33,1.0,1.0,1.0,-1.4711,-2.0276,-5.1003,1.4969,0.1515,0.0,0.3939,0.0909,-3.2833,2.0838
consecutive_boards,executed_realized_d3,executed_only,5,33,1.0,3.0,2.0,-0.3958,-1.7857,-4.588,2.6061,0.2424,0.0,0.3333,0.1818,-1.6806,3.7602
daily_rank,all_opportunity_d3_max,all_candidates,1,64,1.0,6.0,3.1875,5.7461,4.8139,0.474,9.7814,0.4062,0.2344,0.0312,0.4062,-0.3594,5.7461
daily_rank,all_opportunity_d3_max,all_candidates,2,64,6.0,12.0,8.7969,5.695,4.5818,1.7361,10.0024,0.3906,0.25,0.0312,0.3906,0.8917,5.695
daily_rank,all_opportunity_d3_max,all_candidates,3,63,12.0,21.0,16.6032,6.8745,6.1614,2.2144,10.2919,0.4127,0.2857,0.0159,0.4127,1.3207,6.8745
daily_rank,all_opportunity_d3_max,all_candidates,4,64,21.0,36.0,28.2031,5.5826,4.3001,1.5095,9.1212,0.3906,0.1875,0.0156,0.3906,-0.4467,5.5826
daily_rank,all_opportunity_d3_max,all_candidates,5,64,36.0,68.0,47.1562,4.248,3.1356,0.6484,6.5082,0.2188,0.0938,0.0,0.2188,-1.3655,4.248
daily_rank,all_primary_d3_close,all_candidates,1,64,1.0,6.0,3.1875,-0.3594,-1.5998,-6.4066,4.9773,0.1719,0.0938,0.4219,0.4062,-0.3594,5.7461
daily_rank,all_primary_d3_close,all_candidates,2,64,6.0,12.0,8.7969,0.8917,-0.2804,-3.9849,6.45,0.2188,0.1094,0.3281,0.3906,0.8917,5.695
daily_rank,all_primary_d3_close,all_candidates,3,63,12.0,21.0,16.6032,1.3207,0.5128,-3.8709,5.4818,0.1905,0.127,0.2698,0.4127,1.3207,6.8745
daily_rank,all_primary_d3_close,all_candidates,4,64,21.0,36.0,28.2031,-0.4467,-1.232,-6.377,4.7685,0.2031,0.1094,0.4062,0.3906,-0.4467,5.5826
daily_rank,all_primary_d3_close,all_candidates,5,64,36.0,68.0,47.1562,-1.3655,-2.0432,-6.124,2.7134,0.0938,0.0625,0.4531,0.2188,-1.3655,4.248
daily_rank,executed_realized_d3,executed_only,1,33,1.0,8.0,4.2727,1.325,-0.13,-2.0323,7.0,0.3636,0.0,0.1515,0.1515,-2.6645,3.1275
daily_rank,executed_realized_d3,executed_only,2,33,8.0,16.0,11.1818,1.1496,1.0558,-2.0885,7.0,0.3333,0.0,0.2121,0.2121,-0.7155,3.842
daily_rank,executed_realized_d3,executed_only,3,33,16.0,26.0,20.1818,1.5546,0.978,-1.5679,7.0,0.3333,0.0,0.1818,0.3333,0.1919,5.3618
daily_rank,executed_realized_d3,executed_only,4,33,26.0,40.0,33.7273,-0.7899,-2.0033,-5.3042,7.0,0.2727,0.0,0.3636,0.2121,-1.453,4.1168
daily_rank,executed_realized_d3,executed_only,5,33,41.0,68.0,50.9394,-1.2093,-1.5604,-5.0619,2.6061,0.1818,0.0,0.3636,0.2121,-1.5945,3.8086
days_since_d0,all_opportunity_d3_max,all_candidates,1,591,0.0,0.0,0.0,7.7715,6.7266,3.0789,10.6517,0.489,0.3113,0.0068,0.489,2.4533,7.7715
days_since_d0,all_opportunity_d3_max,all_candidates,2,590,0.0,1.0,0.0831,7.2555,6.4005,2.7828,10.0048,0.4644,0.2576,0.0068,0.4644,1.2579,7.2555
days_since_d0,all_opportunity_d3_max,all_candidates,3,590,1.0,1.0,1.0,5.8365,4.682,1.8485,9.5392,0.3593,0.2136,0.0136,0.3593,0.6269,5.8365
days_since_d0,all_opportunity_d3_max,all_candidates,4,590,1.0,3.0,1.9695,5.1423,3.8419,1.3322,8.0431,0.3119,0.1678,0.0102,0.3119,-0.1406,5.1423
days_since_d0,all_opportunity_d3_max,all_candidates,5,591,3.0,4.0,3.4027,4.866,3.2315,0.9269,7.7215,0.2741,0.1658,0.022,0.2741,-0.1056,4.866
days_since_d0,all_primary_d3_close,all_candidates,1,591,0.0,0.0,0.0,2.4533,1.8033,-3.5617,7.5442,0.2657,0.1777,0.2826,0.489,2.4533,7.7715
days_since_d0,all_primary_d3_close,all_candidates,2,590,0.0,1.0,0.0831,1.2579,0.6164,-4.435,6.4375,0.222,0.1458,0.3102,0.4644,1.2579,7.2555
days_since_d0,all_primary_d3_close,all_candidates,3,590,1.0,1.0,1.0,0.6269,0.1019,-4.2934,5.2497,0.1831,0.0881,0.3288,0.3593,0.6269,5.8365
days_since_d0,all_primary_d3_close,all_candidates,4,590,1.0,3.0,1.9695,-0.1406,-0.9813,-5.108,4.406,0.1695,0.1017,0.3966,0.3119,-0.1406,5.1423
days_since_d0,all_primary_d3_close,all_candidates,5,591,3.0,4.0,3.4027,-0.1056,-1.3055,-5.1806,3.8127,0.1591,0.1083,0.3824,0.2741,-0.1056,4.866
days_since_d0,executed_realized_d3,executed_only,1,33,1.0,1.0,1.0,2.5178,5.6576,-1.394,7.0,0.4848,0.0,0.1515,0.2424,-0.6682,4.6923
days_since_d0,executed_realized_d3,executed_only,2,33,1.0,1.0,1.0,0.3125,0.2696,-4.588,7.0,0.3636,0.0,0.303,0.303,-0.1278,5.5448
days_since_d0,executed_realized_d3,executed_only,3,33,1.0,2.0,1.4242,1.0518,1.0558,-2.0276,7.0,0.303,0.0,0.1818,0.303,-0.4713,4.0686
days_since_d0,executed_realized_d3,executed_only,4,33,2.0,3.0,2.0303,-0.4916,-2.0033,-5.0619,2.0452,0.2424,0.0,0.303,0.2121,-2.1402,3.6936
days_since_d0,executed_realized_d3,executed_only,5,33,3.0,3.0,3.0,-1.3604,-1.5679,-4.9734,1.4969,0.0909,0.0,0.3333,0.0606,-2.828,2.2574
graph_quality_score,all_opportunity_d3_max,all_candidates,1,591,0.0,40.0,24.9882,5.1805,3.9111,1.4692,7.7717,0.2978,0.1607,0.0051,0.2978,0.1895,5.1805
graph_quality_score,all_opportunity_d3_max,all_candidates,2,590,40.0,58.0,44.9559,5.57,4.1439,1.4382,8.8503,0.3288,0.1949,0.0102,0.3288,0.4935,5.57
graph_quality_score,all_opportunity_d3_max,all_candidates,3,590,58.0,70.0,62.6305,6.2229,4.9089,1.7641,9.909,0.3644,0.2373,0.0186,0.3644,0.894,6.2229
graph_quality_score,all_opportunity_d3_max,all_candidates,4,590,70.0,82.0,76.261,6.9181,5.7175,2.2715,10.0988,0.4254,0.2678,0.0119,0.4254,1.3446,6.9181
graph_quality_score,all_opportunity_d3_max,all_candidates,5,591,82.0,90.0,89.2826,6.9811,6.702,2.4047,10.0,0.4822,0.2555,0.0135,0.4822,1.1719,6.9811
graph_quality_score,all_primary_d3_close,all_candidates,1,591,0.0,40.0,24.9882,0.1895,-0.8117,-4.4671,4.454,0.1506,0.0863,0.3418,0.2978,0.1895,5.1805
graph_quality_score,all_primary_d3_close,all_candidates,2,590,40.0,58.0,44.9559,0.4935,-0.4243,-4.9545,4.7921,0.1763,0.1203,0.361,0.3288,0.4935,5.57
graph_quality_score,all_primary_d3_close,all_candidates,3,590,58.0,70.0,62.6305,0.894,-0.5251,-4.4145,5.4974,0.2085,0.1356,0.3559,0.3644,0.894,6.2229
graph_quality_score,all_primary_d3_close,all_candidates,4,590,70.0,82.0,76.261,1.3446,0.6003,-4.5546,6.5527,0.239,0.139,0.3254,0.4254,1.3446,6.9181
graph_quality_score,all_primary_d3_close,all_candidates,5,591,82.0,90.0,89.2826,1.1719,0.6866,-4.5411,6.445,0.225,0.1404,0.3164,0.4822,1.1719,6.9811
graph_quality_score,executed_realized_d3,executed_only,1,33,60.0,70.0,69.2121,-0.2592,0.2696,-4.5532,2.7869,0.2121,0.0,0.303,0.1818,-1.6149,3.1558
graph_quality_score,executed_realized_d3,executed_only,2,33,72.0,82.0,79.4545,2.0831,2.0452,-2.0323,7.0,0.4545,0.0,0.1515,0.2727,-0.4441,4.7381
graph_quality_score,executed_realized_d3,executed_only,3,33,82.0,82.0,82.0,-0.2111,-1.4867,-5.1985,7.0,0.3333,0.0,0.303,0.303,-0.043,5.9258
graph_quality_score,executed_realized_d3,executed_only,4,33,82.0,90.0,86.8485,0.8007,0.8856,-2.8958,7.0,0.303,0.0,0.2424,0.2121,-0.6884,3.6462
graph_quality_score,executed_realized_d3,executed_only,5,33,90.0,90.0,90.0,-0.3835,-0.085,-4.5533,1.6706,0.1818,0.0,0.2727,0.1515,-3.445,2.7907
invalid_distance_pct,all_opportunity_d3_max,all_candidates,1,591,0.0,2.1053,1.0808,7.4415,6.7266,2.2166,10.4059,0.4839,0.2978,0.022,0.4839,2.3248,7.4415
invalid_distance_pct,all_opportunity_d3_max,all_candidates,2,590,2.1059,3.1454,2.6907,5.8955,4.6105,1.7495,9.2888,0.3492,0.2085,0.0068,0.3492,0.4408,5.8955
invalid_distance_pct,all_opportunity_d3_max,all_candidates,3,590,3.1461,3.8955,3.5282,5.9,4.6354,1.8309,8.7915,0.3525,0.1966,0.0068,0.3525,0.7033,5.9
invalid_distance_pct,all_opportunity_d3_max,all_candidates,4,590,3.8961,4.5543,4.2184,6.1453,4.9766,1.6878,9.8286,0.3729,0.2203,0.0119,0.3729,0.6162,6.1453
