failure_category,recommended_action,cached_daily_rows,cached_minute_trade_days,required_minute_trade_days,daily_start,daily_end,minute_start,minute_end,max_close_diff,max_close_diff_date,daily_close_at_max_diff,minute_close_at_max_diff,code,name,trade_date,d0_date,original_reason,repair_attempted,repair_status,repair_error,post_repair_daily_rows,post_repair_minute_trade_days,post_repair_warning
daily_5m_close_mismatch,force_refetch_and_compare_sources_before_release,286,42,40,2025-04-21 00:00:00,2026-06-25 00:00:00,2026-04-24 14:55:00,2026-06-26 15:00:00,0.05000000000000071,2026-05-27,20.55,20.5,001296,长江材料,2026-06-25,2026-06-22,"daily/minute close cross-check failed: matched=40, max_diff=0.05000000000000071",True,still_failed,"001296 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.05000000000000071",180,40,"daily/minute close cross-check failed: matched=40, max_diff=0.05000000000000071"
daily_5m_close_mismatch,force_refetch_and_compare_sources_before_release,286,42,40,2025-04-21 00:00:00,2026-06-25 00:00:00,2026-04-24 14:55:00,2026-06-26 15:00:00,0.02999999999999936,2026-04-27,13.07,13.1,002258,利尔化学,2026-06-25,2026-06-22,"daily/minute close cross-check failed: matched=40, max_diff=0.02999999999999936",True,still_failed,"002258 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.02999999999999936",180,40,"daily/minute close cross-check failed: matched=40, max_diff=0.02999999999999936"
insufficient_daily_history,exclude_until_180_daily_rows_or_validated_alternate_source,33,33,40,2026-05-11 00:00:00,2026-06-25 00:00:00,2026-05-11 09:35:00,2026-06-25 15:00:00,0.0,2026-05-11,91.84,91.84,603407,长裕集团,2026-06-25,2026-06-24,daily history rows 33 < required 180; minute trade days 33 < required 40,True,still_failed,603407 data quality check failed: daily history rows 33 < required 180; minute trade days 33 < required 40,33,33,daily history rows 33 < required 180; minute trade days 33 < required 40
daily_5m_close_mismatch,force_refetch_and_compare_sources_before_release,277,42,40,2025-04-21 00:00:00,2026-06-25 00:00:00,2026-04-24 14:55:00,2026-06-26 15:00:00,0.03999999999999915,2026-04-29,19.16,19.2,001206,依依股份,2026-06-25,2026-06-23,"daily/minute close cross-check failed: matched=40, max_diff=0.03999999999999915",True,still_failed,"001206 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.03999999999999915",180,40,"daily/minute close cross-check failed: matched=40, max_diff=0.03999999999999915"
daily_5m_close_mismatch,force_refetch_and_compare_sources_before_release,286,42,40,2025-04-21 00:00:00,2026-06-25 00:00:00,2026-04-24 14:45:00,2026-06-26 15:00:00,0.21000000000000085,2026-06-04,32.74,32.95,002976,瑞玛精密,2026-06-25,2026-06-23,"daily/minute close cross-check failed: matched=40, max_diff=0.21000000000000085",True,still_failed,"002976 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.21000000000000085",180,40,"daily/minute close cross-check failed: matched=40, max_diff=0.21000000000000085"
daily_5m_close_mismatch,force_refetch_and_compare_sources_before_release,286,42,40,2025-04-21 00:00:00,2026-06-25 00:00:00,2026-04-24 14:55:00,2026-06-26 15:00:00,0.030000000000001137,2026-04-30,57.84,57.81,003043,华亚智能,2026-06-25,2026-06-24,"daily/minute close cross-check failed: matched=40, max_diff=0.030000000000001137",True,still_failed,"003043 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.030000000000001137",180,40,"daily/minute close cross-check failed: matched=40, max_diff=0.030000000000001137"
insufficient_daily_history,exclude_until_180_daily_rows_or_validated_alternate_source,53,42,40,2026-04-08 00:00:00,2026-06-25 00:00:00,2026-04-24 14:55:00,2026-06-26 15:00:00,0.0,2026-04-27,63.54,63.54,603459,红板科技,2026-06-25,2026-06-25,daily history rows 53 < required 180,True,still_failed,603459 data quality check failed: daily history rows 53 < required 180,53,40,daily history rows 53 < required 180
