event_id,signal_date,code,board,candidate_count,stage1_score,stage1_rank,stage1_top10,stage1_strength,d1_high_to_close_drawdown_raw,d1_close_location,d1_low_to_close_recovery,d1_open_to_close_return_raw,rank_drawdown_top10,rank_close_location_top10,rank_recovery_top10,rank_open_close_top10,closing_completion_gap,strength_x_gap,stage2_score,stage2_rank_within_top10,final_rerank_rank,control_top3,reranker_top3,target7,raw_repair_return,capped_opportunity_return_7
002806_2026-06-01,2026-06-01,002806,2,4,0.576826170605,1,True,1,0.0914454277286,0.00534759358289,0.000541418516513,-0.0414937759336,1,0.25,0.25,0.25,0.8125,0.8125,0.433792241614,1,1,True,True,1,0.149321266968,0.07
600110_2026-06-01,2026-06-01,600110,2,4,0.573956161071,2,True,0.666666666667,0.0621683093252,0.118279569892,0.0089722675367,-0.0190325138779,0.75,0.5,0.5,0.5,0.5625,0.375,0.426635080337,2,2,True,True,0,0.0451559934319,0.0451559934319
000090_2026-06-01,2026-06-01,000090,2,4,0.572731263479,3,True,0.333333333333,0.0325,0.617647058824,0.0573770491803,0.0078125,0.25,1,1,1,0.0625,0.0208333333333,0.421056219959,3,3,True,True,0,-0.0263852242744,-0.0263852242744
603324_2026-06-01,2026-06-01,603324,2,4,0.534568190065,4,True,0,0.0584359782297,0.203125,0.0160741885626,-0.00393939393939,0.5,0.75,0.75,0.75,0.3125,0,0.415001487658,4,4,False,False,0,0.0224038752649,0.0224038752649
002608_2026-06-02,2026-06-02,002608,2,2,0.669829779368,1,True,1,0.0369685767098,0.633027522936,0.070914696814,0.0327056491576,1,1,1,1,0.25,0.25,0.423830226636,1,1,True,True,1,0.099,0.07
600011_2026-06-02,2026-06-02,600011,2,2,0.616202677126,2,True,0,0.0319488817891,0.36170212766,0.0190582959641,-0.0319488817891,0.5,0.5,0.5,0.5,0.5,0,0.402082790718,2,2,True,True,0,0.0260475651189,0.0260475651189
600280_2026-06-03,2026-06-03,600280,3,7,0.661231793594,1,True,1,0.05,0.625,0.0961538461538,0.064,0.428571428571,0.857142857143,1,1,0.142857142857,0.142857142857,0.430921468021,1,1,True,True,0,-0.0125313283208,-0.0125313283208
002579_2026-06-03,2026-06-03,002579,2,7,0.647916971429,2,True,0.833333333333,0.110247026532,0.154385964912,0.0231457127827,-0.0371287128713,0.857142857143,0.428571428571,0.428571428571,0.428571428571,0.642857142857,0.535714285714,0.430467986882,2,2,True,True,0,0.0540254237288,0.0540254237288
001210_2026-06-03,2026-06-03,001210,2,7,0.637872786829,3,True,0.666666666667,0.0525204539456,0.444134078212,0.0463421742932,0.0257142857143,0.571428571429,0.714285714286,0.714285714286,0.714285714286,0.357142857143,0.238095238095,0.422618066295,3,3,True,True,0,-0.244557534634,-0.244557534634
002404_2026-06-03,2026-06-03,002404,2,7,0.625034502764,4,True,0.5,0.0220207253886,0.716666666667,0.060393258427,0.0500695410292,0.142857142857,1,0.857142857143,0.857142857143,0.107142857143,0.0535714285714,0.41621414961,4,4,False,False,0,0.0299319727891,0.0299319727891
000055_2026-06-03,2026-06-03,000055,2,7,0.58808867594,5,True,0.333333333333,0.112866817156,0.0384615384615,0.00511508951407,-0.112866817156,1,0.142857142857,0.142857142857,0.142857142857,0.892857142857,0.297619047619,0.413185096643,5,5,False,False,0,0,0
603045_2026-06-03,2026-06-03,603045,2,7,0.577252441214,6,True,0.166666666667,0.101861042184,0.0702151755379,0.00863870698063,-0.0468729427255,0.714285714286,0.285714285714,0.285714285714,0.285714285714,0.714285714286,0.119047619048,0.40674533342,6,6,False,False,1,0.154815115807,0.07
002421_2026-06-03,2026-06-03,002421,2,7,0.576307116662,7,True,0,0.041257367387,0.382352941176,0.0273684210526,0,0.285714285714,0.571428571429,0.571428571429,0.571428571429,0.392857142857,0,0.401420698142,7,7,False,False,0,0.0698151950719,0.0698151950719
600121_2026-06-04,2026-06-04,600121,3,6,0.637702532534,1,True,1,0.088,0.179104477612,0.0215053763441,0.00175746924429,1,0.333333333333,0.333333333333,0.333333333333,0.75,0.75,0.423580102598,1,1,True,True,0,-0.00709219858156,-0.00709219858156
600487_2026-06-04,2026-06-04,600487,2,6,0.627977920763,2,True,0.8,0.0112143867448,0.814381270903,0.0523655913978,0.0523655913978,0.166666666667,1,0.666666666667,1,0.125,0.1,0.411069724255,2,2,True,True,0,0.0659375,0.0659375
002137_2026-06-04,2026-06-04,002137,2,6,0.607058594128,3,True,0.6,0.0746268656716,0.303278688525,0.0363815142576,0.0323212536729,0.833333333333,0.5,0.5,0.666666666667,0.541666666667,0.325,0.408467342348,3,3,True,True,0,0.0068359375,0.0068359375
000700_2026-06-04,2026-06-04,000700,2,6,0.599088692159,4,True,0.4,0.0241228070175,0.674074074074,0.0538780343398,0.0379008746356,0.5,0.666666666667,0.833333333333,0.833333333333,0.291666666667,0.116666666667,0.401178931297,4,4,False,False,0,-0.0651340996169,-0.0651340996169
603311_2026-06-04,2026-06-04,603311,2,6,0.593511580553,5,True,0.2,0.0158365261814,0.766037735849,0.0556164383562,0.0271927486004,0.333333333333,0.833333333333,1,0.5,0.25,0.05,0.395466351355,5,5,False,False,0,0.0277923439958,0.0277923439958
600936_2026-06-04,2026-06-04,600936,2,6,0.565504396113,6,True,0,0.0721804511278,0.0943396226415,0.00816993464052,-0.0313971742543,0.666666666667,0.166666666667,0.166666666667,0.166666666667,0.791666666667,0,0.389378683012,6,6,False,False,0,-0.0455284552846,-0.0455284552846
600688_2026-06-05,2026-06-05,600688,2,6,0.62474263453,1,True,1,0.0618279569892,0.258064516129,0.0234604105572,-0.0516304347826,0.333333333333,1,0.833333333333,0.833333333333,0.166666666667,0.166666666667,0.398091642067,1,1,True,True,0,0.00302114803625,0.00302114803625
600255_2026-06-05,2026-06-05,600255,3,6,0.609913051929,2,True,0.8,0.0567226890756,0.0689655172414,0.00447427293065,-0.00222222222222,0.166666666667,0.5,0.5,1,0.291666666667,0.233333333333,0.39391487585,2,2,True,True,1,0.0896551724138,0.07
605162_2026-06-05,2026-06-05,605162,2,6,0.594657536215,3,True,0.6,0.0861812778603,0.205479452055,0.025,-0.0653495440729,0.833333333333,0.833333333333,1,0.5,0.375,0.225,0.38896023116,3,3,True,True,0,-0.0449915110357,-0.0449915110357
001896_2026-06-05,2026-06-05,001896,2,6,0.583564120601,4,True,0.4,0.172011661808,0,0,-0.136027813994,1,0.25,0.25,0.166666666667,0.833333333333,0.333333333333,0.384857561212,4,4,False,False,1,0.0850528434826,0.07
002787_2026-06-05,2026-06-05,002787,2,6,0.556431049829,5,True,0.2,0.0645595158036,0.111111111111,0.00870195794054,-0.0645595158036,0.5,0.666666666667,0.666666666667,0.666666666667,0.375,0.075,0.377843400683,5,5,False,False,0,0.0670498084291,0.0670498084291
600439_2026-06-05,2026-06-05,600439,2,6,0.549282210224,6,True,0,0.0671378091873,0,0,-0.0671378091873,0.666666666667,0.25,0.25,0.333333333333,0.708333333333,0,0.371908478002,6,6,False,False,0,-0.0113636363636,-0.0113636363636
000520_2026-06-08,2026-06-08,000520,2,3,0.576667057781,1,True,1,0.0460921843687,0.557692307692,0.0648769574944,-0.00833333333333,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.333333333333,0.333333333333,0.396670036662,1,1,True,True,0,-0.0109409190372,-0.0109409190372
600293_2026-06-08,2026-06-08,600293,2,3,0.546188535009,2,True,0.5,0.052752293578,0.566037735849,0.0783289817232,0.0644329896907,0.666666666667,1,1,1,0.166666666667,0.0833333333333,0.382864813197,2,2,True,True,0,-0.0172839506173,-0.0172839506173
003036_2026-06-08,2026-06-08,003036,2,3,0.50598852066,3,True,0,0.081607495069,0.0307467057101,0.00282675999462,-0.081607495069,1,0.333333333333,0.333333333333,0.333333333333,0.75,0,0.370831317344,3,3,True,True,0,0.0681933842239,0.0681933842239
603859_2026-06-09,2026-06-09,603859,2,9,0.610228879137,1,True,1,0.0132314573239,0.799435028249,0.0564644852354,0.0382352941176,0.111111111111,1,0.888888888889,1,0.0555555555556,0.0555555555556,0.377440068649,1,1,True,True,0,0.0640412922959,0.0640412922959
603500_2026-06-09,2026-06-09,603500,3,9,0.587859032421,2,True,0.875,0.0240875912409,0.792452830189,0.104046242775,0.0276710222905,0.222222222222,0.888888888889,1,0.888888888889,0.111111111111,0.0972222222222,0.375143265294,3,3,True,True,1,0.0936270653029,0.07
002421_2026-06-09,2026-06-09,002421,2,9,0.578510462191,3,True,0.75,0.0731707317073,0.307692307692,0.0363636363636,-0.0484140233723,0.666666666667,0.555555555556,0.777777777778,0.444444444444,0.472222222222,0.354166666667,0.375195773078,2,2,True,True,0,-0.142105263158,-0.142105263158
003009_2026-06-09,2026-06-09,003009,2,9,0.572928253248,4,True,0.625,0.0462903225806,0.359375,0.0279902642559,-0.0462903225806,0.444444444444,0.666666666667,0.555555555556,0.555555555556,0.416666666667,0.260416666667,0.371446111589,4,4,False,False,0,-0.0131004366812,-0.0131004366812
000068_2026-06-09,2026-06-09,000068,2,9,0.56332656943,5,True,0.5,0.0997624703088,0.207547169811,0.0298913043478,-0.0501253132832,0.888888888889,0.333333333333,0.666666666667,0.333333333333,0.638888888889,0.319444444444,0.369374836336,5,5,False,False,0,-0.0503978779841,-0.0503978779841
002361_2026-06-09,2026-06-09,002361,2,9,0.556643408355,6,True,0.375,0.0623349181194,0.25786163522,0.0236447520185,-0.0363735070575,0.555555555556,0.444444444444,0.444444444444,0.666666666667,0.5,0.1875,0.365232829979,6,6,False,False,0,0.047323943662,0.047323943662
002613_2026-06-09,2026-06-09,002613,2,9,0.545545667452,7,True,0.25,0.0797872340426,0.117647058824,0.0116959064327,-0.076512455516,0.777777777778,0.222222222222,0.222222222222,0.222222222222,0.777777777778,0.194444444444,0.362636745007,7,7,False,False,0,-0.013698630137,-0.013698630137
000517_2026-06-09,2026-06-09,000517,2,9,0.528890758783,8,True,0.125,0.156626506024,0,0,-0.156626506024,1,0.111111111111,0.111111111111,0.111111111111,0.916666666667,0.114583333333,0.359116656688,8,8,False,False,0,0.0147783251232,0.0147783251232
000759_2026-06-09,2026-06-09,000759,2,9,0.523283966064,9,True,0,0.032154340836,0.393939393939,0.0220713073005,-0.0258899676375,0.333333333333,0.777777777778,0.333333333333,0.777777777778,0.361111111111,0,0.355140564977,9,9,False,False,0,0.00649350649351,0.00649350649351
603929_2026-06-10,2026-06-10,603929,2,7,0.582849870417,1,True,1,0.0191262864968,0.797568957457,0.0832195121951,0.0832195121951,0.428571428571,0.714285714286,1,1,0.178571428571,0.178571428571,0.369016870613,2,2,True,True,1,0.0850540374308,0.07
603616_2026-06-10,2026-06-10,603616,2,7,0.56994068717,2,True,0.833333333333,0.0910224438903,0.0135135135135,0.00137362637363,-0.0910224438903,0.857142857143,0.142857142857,0.142857142857,0.285714285714,0.821428571429,0.684523809524,0.369707866689,1,1,True,True,0,0.0160583941606,0.0160583941606
603186_2026-06-10,2026-06-10,603186,2,7,0.568609474064,3,True,0.666666666667,0.00771614314357,0.894954507858,0.0709508196721,0.0709508196721,0.142857142857,1,0.857142857143,0.857142857143,0.107142857143,0.0714285714286,0.360575528906,3,3,True,True,1,0.12896813445,0.07
001696_2026-06-10,2026-06-10,001696,2,7,0.557689283641,4,True,0.5,0.0134645261523,0.8,0.0577456968351,0.0577456968351,0.285714285714,0.857142857143,0.714285714286,0.714285714286,0.25,0.125,0.357258705834,4,4,False,False,1,0.202105263158,0.07
002747_2026-06-10,2026-06-10,002747,2,7,0.530009055327,5,True,0.333333333333,0.0984638630068,0.111363636364,0.0138770886434,-0.0973272818961,1,0.285714285714,0.285714285714,0.142857142857,0.821428571429,0.27380952381,0.354403282305,5,5,False,False,0,0.0194285714286,0.0194285714286
002362_2026-06-10,2026-06-10,002362,2,7,0.528205477225,6,True,0.166666666667,0.0630630630631,0.222222222222,0.0196078431373,0.0133333333333,0.571428571429,0.571428571429,0.571428571429,0.571428571429,0.464285714286,0.077380952381,0.349194241557,6,6,False,False,0,-0.0082219938335,-0.0082219938335
002254_2026-06-10,2026-06-10,002254,3,7,0.513873947792,7,True,0,0.0757657173563,0.170588235294,0.0171496156121,-0.0757657173563,0.714285714286,0.428571428571,0.428571428571,0.428571428571,0.607142857143,0,0.344615850395,7,7,False,False,1,0.0754173862982,0.07
002636_2026-06-11,2026-06-11,002636,3,10,0.599855388238,1,True,1,0.00422733677783,0.953367875648,0.095041322314,0.095041322314,0.2,1,1,1,0.05,0.05,0.377402891741,1,1,True,True,1,0.0890098899878,0.07
605318_2026-06-11,2026-06-11,605318,2,10,0.593868983104,2,True,0.888888888889,0.00959288722508,0.879647749511,0.076186440678,0.076186440678,0.3,0.888888888889,0.9,0.9,0.152777777778,0.135802469136,0.375251057972,2,2,True,True,0,0.0456747404844,0.0456747404844
605006_2026-06-11,2026-06-11,605006,2,10,0.577343898133,3,True,0.777777777778,0.0119840213049,0.852459016393,0.0753623188406,0.0358306188925,0.4,0.777777777778,0.8,0.8,0.255555555556,0.198765432099,0.372909721868,3,3,True,True,0,0.012037037037,0.012037037037
