test_date,intercept,beta_stage1_strength,beta_closing_completion_gap,beta_strength_x_gap,adjacent_coefficient_cosine,purpose
2026-06-01,-0.33842510603,0.0610765717828,-0.0156866984008,0.0291675262591,,AUDIT_ONLY
2026-06-02,-0.397118965712,0.0786028804169,0.000649363676834,0.0451373914229,0.969743394819,AUDIT_ONLY
2026-06-03,-0.395999023927,0.111471087782,-0.00903634683577,0.0540838580069,0.994393500572,AUDIT_ONLY
2026-06-04,-0.446451999969,0.102853411505,-0.0043864964052,0.0517262901158,0.999296051727,AUDIT_ONLY
2026-06-05,-0.52018640293,0.0997513608962,-0.00543768205586,0.0475101193954,0.999708266602,AUDIT_ONLY
2026-06-08,-0.52819693071,0.0945279713935,-0.000606902641649,0.0435354103099,0.998977702927,AUDIT_ONLY
2026-06-09,-0.596766048465,0.093770603061,0.000684981421173,0.045527210156,0.999715089632,AUDIT_ONLY
2026-06-10,-0.639595681848,0.0961988487378,-0.00526325928167,0.0442396515842,0.998199737555,AUDIT_ONLY
2026-06-11,-0.596753164261,0.0951815553129,-0.0166917376407,0.0363975525712,0.991524579651,AUDIT_ONLY
2026-06-12,-0.626422423316,0.103932544571,-0.0213898729768,0.0381146960941,0.999502001053,AUDIT_ONLY
2026-06-15,-0.601299859353,0.0965279092268,-0.0190377461252,0.0363005947703,0.999932865412,AUDIT_ONLY
2026-06-16,-0.581553777973,0.0728122714757,-0.008129355536,0.0310231722255,0.995878847948,AUDIT_ONLY
2026-06-17,-0.591700543558,0.0749930390357,-0.00204094661181,0.034051479392,0.996718817815,AUDIT_ONLY
2026-06-18,-0.552448123263,0.076569826775,0.00587078534916,0.0421591160873,0.992824549766,AUDIT_ONLY
2026-06-22,-0.58565185232,0.0717400053504,0.00403011904261,0.0385398098799,0.999791697205,AUDIT_ONLY
2026-06-23,-0.555621413816,0.0601889538451,0.0106815988567,0.0379962260627,0.992625253942,AUDIT_ONLY
2026-06-24,-0.541860739789,0.0587553892878,0.0155027426561,0.0389192535921,0.99748586411,AUDIT_ONLY
2026-06-25,-0.560162760753,0.0489812847908,0.0200399606581,0.0377379708616,0.992940595463,AUDIT_ONLY
2026-06-26,-0.551421491042,0.0500610884743,0.0200315656773,0.0335779652655,0.998027920387,AUDIT_ONLY
2026-06-29,-0.572023835088,0.0519005615128,0.0178279998207,0.0341334653948,0.999107882717,AUDIT_ONLY
2026-06-30,-0.542435067071,0.0382235097274,0.00801187530433,0.0210795007516,0.992348112904,AUDIT_ONLY
