scope,model,Rank1_mean,Rank1_median,Rank1_p25,Rank1_worst,Rank1_baseline,Rank1_excess,Rank1_positive_date_rate,Rank1_negative_date_rate,Rank1_beat_universe,Rank1_target7_precision,Rank1_dates,Rank2_mean,Rank2_median,Rank2_p25,Rank2_worst,Rank2_baseline,Rank2_excess,Rank2_positive_date_rate,Rank2_negative_date_rate,Rank2_beat_universe,Rank2_target7_precision,Rank2_dates,Rank3_mean,Rank3_median,Rank3_p25,Rank3_worst,Rank3_baseline,Rank3_excess,Rank3_positive_date_rate,Rank3_negative_date_rate,Rank3_beat_universe,Rank3_target7_precision,Rank3_dates,Top1_mean,Top1_median,Top1_p25,Top1_worst,Top1_baseline,Top1_excess,Top1_positive_date_rate,Top1_negative_date_rate,Top1_beat_universe,Top1_target7_precision,Top1_dates,Top2_mean,Top2_median,Top2_p25,Top2_worst,Top2_baseline,Top2_excess,Top2_positive_date_rate,Top2_negative_date_rate,Top2_beat_universe,Top2_target7_precision,Top2_dates,Top3_mean,Top3_median,Top3_p25,Top3_worst,Top3_baseline,Top3_excess,Top3_positive_date_rate,Top3_negative_date_rate,Top3_beat_universe,Top3_target7_precision,Top3_dates,winner_capture,universe_target7_rate,Top3_days_le_minus_3,Top3_days_le_minus_5
COMBINED,CONTROL,0.0283930560164,0.0454831800428,-0.00709219858156,-0.0793172690763,0.0275962393758,0.000796816640656,0.714285714286,0.285714285714,0.571428571429,0.285714285714,21,0.0320306491097,0.0451559934319,0.0160583941606,-0.036815920398,0.0275962393758,0.00443440973398,0.761904761905,0.238095238095,0.52380952381,0.285714285714,21,-0.00302540178647,-0.00224115242177,-0.0326514808689,-0.244557534634,0.0265748622166,-0.029600264003,0.5,0.5,0.45,0.3,20,0.0283930560164,0.0454831800428,-0.00709219858156,-0.0793172690763,0.0275962393758,0.000796816640656,0.714285714286,0.285714285714,0.571428571429,0.285714285714,21,0.0302118525631,0.0324107142857,0.0140178571429,-0.0298547129695,0.0275962393758,0.00261561318732,0.857142857143,0.142857142857,0.380952380952,0.285714285714,21,0.01853903678,0.025742001346,-0.00257720256964,-0.0676878130753,0.0265748622166,-0.00803582543656,0.7,0.3,0.4,0.283333333333,20,0.444444444444,0.329456226935,1,1
COMBINED,RERANKER,0.0184953110205,0.03625,-0.0125313283208,-0.0793172690763,0.0275962393758,-0.00910092835527,0.619047619048,0.380952380952,0.47619047619,0.238095238095,21,0.0125981870908,0.0285714285714,-0.0215053763441,-0.142105263158,0.0275962393758,-0.014998052285,0.666666666667,0.333333333333,0.428571428571,0.190476190476,21,0.0253578866358,0.069096692112,0.00149419222672,-0.244557534634,0.0265748622166,-0.00121697558076,0.75,0.25,0.7,0.5,20,0.0184953110205,0.03625,-0.0125313283208,-0.0793172690763,0.0275962393758,-0.00910092835527,0.619047619048,0.380952380952,0.47619047619,0.238095238095,21,0.0155467490556,0.0294226507092,-0.0263472333601,-0.0472447691198,0.0275962393758,-0.0120494903201,0.666666666667,0.333333333333,0.333333333333,0.214285714286,21,0.0177345604656,0.017608292248,0.00352782750993,-0.0676878130753,0.0265748622166,-0.008840301751,0.8,0.2,0.35,0.3,20,0.462962962963,0.329456226935,1,1
COMBINED,TOP10_ORACLE,0.0697205182964,0.07,0.07,0.0659375,0.0275962393758,0.0421242789206,1,0,1,0.904761904762,21,0.0577702855928,0.07,0.0474406991261,-0.0109409190372,0.0275962393758,0.0301740462171,0.952380952381,0.047619047619,0.857142857143,0.571428571429,21,0.0528186836057,0.0669300766284,0.044879346684,-0.0172839506173,0.0265748622166,0.0262438213891,0.95,0.05,0.85,0.4,20,0.0697205182964,0.07,0.07,0.0659375,0.0275962393758,0.0421242789206,1,0,1,0.904761904762,21,0.0637454019446,0.07,0.058720349563,0.0286262325934,0.0275962393758,0.0361491625689,1,0,0.952380952381,0.738095238095,21,0.0606272164778,0.0689766922095,0.058717021134,0.0133228381898,0.0265748622166,0.0340523542612,1,0,0.9,0.633333333333,20,0.935185185185,0.329456226935,0,0
COMBINED,FULL_ORACLE,0.0697205182964,0.07,0.07,0.0659375,0.0275962393758,0.0421242789206,1,0,1,0.904761904762,21,0.0578858176192,0.07,0.0474406991261,-0.0109409190372,0.0275962393758,0.0302895782435,0.952380952381,0.047619047619,0.857142857143,0.619047619048,21,0.0543470039116,0.0687869137232,0.0462599193984,-0.0172839506173,0.0265748622166,0.027772141695,0.95,0.05,0.85,0.5,20,0.0697205182964,0.07,0.07,0.0659375,0.0275962393758,0.0421242789206,1,0,1,0.904761904762,21,0.0638031679578,0.07,0.058720349563,0.0286262325934,0.0275962393758,0.036206928582,1,0,0.952380952381,0.761904761905,21,0.061177092789,0.0695956379077,0.058717021134,0.0133228381898,0.0265748622166,0.0346022305724,1,0,0.9,0.683333333333,20,1,0.329456226935,0,0
COMBINED,DAILY_UNIVERSE,0.0275962393758,,,,0.0275962393758,0,,,,0.329456226935,21,0.0275962393758,,,,0.0275962393758,0,,,,0.329456226935,21,0.0265748622166,,,,0.0265748622166,0,,,,0.329456226935,20,0.0275962393758,,,,0.0275962393758,0,,,,0.329456226935,21,0.0275962393758,,,,0.0275962393758,0,,,,0.329456226935,21,0.0265748622166,,,,0.0265748622166,0,,,,0.329456226935,20,,0.329456226935,,
LOW,CONTROL,-0.00368499385564,-0.0109409190372,-0.0272478070175,-0.0627906976744,0.007922338637,-0.0116073324926,0.285714285714,0.714285714286,0.285714285714,0,7,0.0385295070737,0.0540254237288,0.0150783742544,-0.0204131227217,0.007922338637,0.0306071684367,0.714285714286,0.285714285714,0.714285714286,0.285714285714,7,-0.0624760313766,-0.0444572748268,-0.0973152578416,-0.244557534634,0.007922338637,-0.0703983700136,0.285714285714,0.714285714286,0.285714285714,0,7,-0.00368499385564,-0.0109409190372,-0.0272478070175,-0.0627906976744,0.007922338637,-0.0116073324926,0.285714285714,0.714285714286,0.285714285714,0,7,0.017422256609,0.0140178571429,0.00243001469319,-0.0141124348272,0.007922338637,0.00949991797202,0.714285714286,0.285714285714,0.428571428571,0.142857142857,7,-0.00921050605284,-0.00646240583523,-0.011425958834,-0.0676878130753,0.007922338637,-0.0171328446898,0.285714285714,0.714285714286,0.142857142857,0.0952380952381,7,0.266666666667,0.111451247166,1,1
LOW,RERANKER,-0.01804233981,-0.0125313283208,-0.048491263676,-0.0627906976744,0.007922338637,-0.025964678447,0.142857142857,0.857142857143,0.142857142857,0,7,-0.009231944562,-0.0172839506173,-0.0353402509653,-0.142105263158,0.007922338637,-0.017154283199,0.428571428571,0.571428571429,0.428571428571,0,7,0.00604358147528,0.0395387149918,0.0195652528726,-0.244557534634,0.007922338637,-0.00187875716173,0.857142857143,0.142857142857,0.857142857143,0.285714285714,7,-0.01804233981,-0.0125313283208,-0.048491263676,-0.0627906976744,0.007922338637,-0.025964678447,0.142857142857,0.857142857143,0.142857142857,0,7,-0.013637142186,-0.0141124348272,-0.0423927211882,-0.0472447691198,0.007922338637,-0.021559480823,0.428571428571,0.571428571429,0.285714285714,0,7,-0.00707690096558,-0.00268799028732,-0.0127429561897,-0.0676878130753,0.007922338637,-0.0149992396026,0.428571428571,0.571428571429,0.142857142857,0.0952380952381,7,0.266666666667,0.111451247166,1,1
LOW,TOP10_ORACLE,0.0691615548891,0.07,0.069096692112,0.0659375,0.007922338637,0.0612392162521,1,0,1,0.714285714286,7,0.0479603484141,0.0640412922959,0.0376165215609,-0.0109409190372,0.007922338637,0.0400380097771,0.857142857143,0.142857142857,0.857142857143,0.142857142857,7,0.0351803893931,0.0454831800428,0.0249518920538,-0.0172839506173,0.007922338637,0.0272580507561,0.857142857143,0.142857142857,0.857142857143,0,7,0.0691615548891,0.07,0.069096692112,0.0659375,0.007922338637,0.0612392162521,1,0,1,0.714285714286,7,0.0585609516516,0.067020646148,0.0527926357805,0.0286262325934,0.007922338637,0.0506386130146,1,0,1,0.428571428571,7,0.0507674308988,0.0604550786526,0.0435123878716,0.0133228381898,0.007922338637,0.0428450922618,1,0,0.857142857143,0.285714285714,7,0.833333333333,0.111451247166,0,0
LOW,FULL_ORACLE,0.0691615548891,0.07,0.069096692112,0.0659375,0.007922338637,0.0612392162521,1,0,1,0.714285714286,7,0.0483069444932,0.0640412922959,0.0376165215609,-0.0109409190372,0.007922338637,0.0403846058562,0.857142857143,0.142857142857,0.857142857143,0.285714285714,7,0.0387918611897,0.047323943662,0.0249518920538,-0.0172839506173,0.007922338637,0.0308695225527,0.857142857143,0.142857142857,0.857142857143,0.142857142857,7,0.0691615548891,0.07,0.069096692112,0.0659375,0.007922338637,0.0612392162521,1,0,1,0.714285714286,7,0.0587342496912,0.067020646148,0.0527926357805,0.0286262325934,0.007922338637,0.0508119110542,1,0,1,0.5,7,0.0520867868573,0.0604550786526,0.0435123878716,0.0133228381898,0.007922338637,0.0441644482203,1,0,0.857142857143,0.380952380952,7,1,0.111451247166,0,0
LOW,DAILY_UNIVERSE,0.007922338637,,,,0.007922338637,0,,,,0.111451247166,7,0.007922338637,,,,0.007922338637,0,,,,0.111451247166,7,0.007922338637,,,,0.007922338637,0,,,,0.111451247166,7,0.007922338637,,,,0.007922338637,0,,,,0.111451247166,7,0.007922338637,,,,0.007922338637,0,,,,0.111451247166,7,0.007922338637,,,,0.007922338637,0,,,,0.111451247166,7,,0.111451247166,,
MID,CONTROL,0.032761501673,0.0516980613227,0.0234748597324,-0.0793172690763,0.0270959359012,0.00566556577188,0.857142857143,0.142857142857,0.714285714286,0.428571428571,7,0.0405175223794,0.0456747404844,0.0323819182846,-0.036815920398,0.0270959359012,0.0134215864782,0.857142857143,0.142857142857,0.714285714286,0.428571428571,7,-0.00538456358937,-0.0145310435931,-0.0244440925952,-0.0449915110357,0.0270959359012,-0.0324804994905,0.285714285714,0.714285714286,0.142857142857,0.142857142857,7,0.032761501673,0.0516980613227,0.0234748597324,-0.0793172690763,0.0270959359012,0.00566556577188,0.857142857143,0.142857142857,0.714285714286,0.428571428571,7,0.0366395120262,0.0569642857143,0.0219758222402,-0.0298547129695,0.0270959359012,0.00954357612504,0.857142857143,0.142857142857,0.714285714286,0.428571428571,7,0.022631486821,0.0295902563858,0.00638670184359,-0.00254027333041,0.0270959359012,-0.00446444908015,0.857142857143,0.142857142857,0.571428571429,0.333333333333,7,0.47619047619,0.350907029478,0,0
