month,candidate_dates,all_candidates,board2_candidates,board3_candidates,matured_board3_rows,target7,pnt,loss,target7_rate,loss_rate,raw_mean,raw_median,capped_mean,worst_raw,oof_dates,oof_rows,nonloss_auc,pair_concordance,bottom_loss_capture,bottom_winner_removal,bottom_selectivity_gap,month_support_weak
2026-01,20,158,122,36,36,13,12,11,0.361111111111,0.305555555556,0.0432594433479,0.0431318681319,0.0165938447235,-0.100204498978,0,0,,,,,,True
2026-02,14,75,64,11,11,5,1,5,0.454545454545,0.454545454545,0.0416964929972,0.0553121577218,0.0166132680645,-0.0772163965682,5,6,0.5,,0.5,,,True
2026-03,21,142,118,24,24,8,6,10,0.333333333333,0.416666666667,0.0286140631479,0.0360171031123,0.0143415710393,-0.120754716981,13,24,0.664285714286,0.8,0.75,0.333333333333,0.416666666667,False
2026-04,21,107,87,20,20,12,5,3,0.6,0.15,0.090811721758,0.0964252600606,0.0397926947929,-0.0723076923077,14,20,0.862745098039,,,0.333333333333,,False
2026-05,18,146,116,30,30,14,11,5,0.466666666667,0.166666666667,0.0621246490466,0.0593357725865,0.0377559465139,-0.0594227504244,14,30,0.48,0.333333333333,0.5,0.636363636364,-0.136363636364,False
2026-06,21,173,145,28,25,9,8,8,0.36,0.32,0.0444378097759,0.0322945682451,0.0279264749663,-0.0444572748268,14,25,0.889705882353,0.928571428571,0.75,0.75,0,False
