feature,feature_type,bucket,count,target7_count,target7_rate,target7_rate_lift_vs_base,avg_candidate_d3_max_return_pct
active_cooling_score,numeric,"(85.0, 90.0]",575,214,0.37217391304347824,0.033672621053814134,6.234093315485327
active_cooling_score,numeric,"(70.0, 85.0]",334,119,0.3562874251497006,0.017786133160036466,5.92651228177742
active_cooling_score,numeric,"(65.0, 70.0]",146,49,0.3356164383561644,-0.0028848536334997177,5.234028514796922
active_cooling_score,numeric,"(29.999, 65.0]",493,142,0.2880324543610548,-0.05046883762860932,4.90328722826364
active_money_score,numeric,"(60.0, 72.0]",315,118,0.3746031746031746,0.036101882613510494,5.869658714846412
active_money_score,numeric,"(72.0, 84.0]",318,112,0.3522012578616352,0.013699965871971087,5.782894562655354
active_money_score,numeric,"(31.999, 50.0]",395,138,0.3493670886075949,0.0108657966179308,5.960629931610987
active_money_score,numeric,"(50.0, 60.0]",228,77,0.33771929824561403,-0.0007819937440500802,5.949398110677086
active_money_score,numeric,"(84.0, 100.0]",292,79,0.2705479452054795,-0.06795334678418463,4.612099201679137
consecutive_boards,numeric,"(0.999, 3.0]",1548,524,0.3385012919896641,0.0,5.649578504658944
d1_close_ma10_pct,numeric,"(13.323, 39.123]",310,133,0.4290322580645161,0.090530966074852,6.659408992680748
d1_close_ma10_pct,numeric,"(8.574, 13.323]",309,101,0.3268608414239482,-0.011640450565715887,5.389704668985974
d1_close_ma10_pct,numeric,"(5.073, 8.574]",310,101,0.3258064516129032,-0.012694840376760885,5.452362519151445
d1_close_ma10_pct,numeric,"(0.743, 5.073]",309,98,0.31715210355987056,-0.021349188429793553,5.339430301496102
d1_close_ma10_pct,numeric,"(-18.911, 0.743]",310,91,0.29354838709677417,-0.044952904892889944,5.405147260210017
d1_close_vwap_pct,numeric,"(-6.261, -1.662]",310,122,0.3935483870967742,0.05504709510711009,6.6883046499686305
d1_close_vwap_pct,numeric,"(1.189, 7.52]",310,110,0.3548387096774194,0.016337417687755262,5.485585090846819
d1_close_vwap_pct,numeric,"(-1.662, -0.672]",309,105,0.33980582524271846,0.0013045332530543519,5.489868334917326
d1_close_vwap_pct,numeric,"(-0.672, 0.176]",310,97,0.31290322580645163,-0.025598066183212476,5.639764108222146
d1_close_vwap_pct,numeric,"(0.176, 1.189]",309,90,0.2912621359223301,-0.04723915606733403,4.941571250876821
d1_low_ma10_pct,numeric,"(8.589, 33.548]",310,139,0.4483870967741935,0.10988580478452942,6.842892226453061
d1_low_ma10_pct,numeric,"(4.887, 8.589]",309,106,0.343042071197411,0.00454077920774687,5.733404379508682
d1_low_ma10_pct,numeric,"(-21.871000000000002, -1.35]",310,101,0.3258064516129032,-0.012694840376760885,5.612190944065387
d1_low_ma10_pct,numeric,"(2.206, 4.887]",310,97,0.31290322580645163,-0.025598066183212476,5.380646092515902
d1_low_ma10_pct,numeric,"(-1.35, 2.206]",309,81,0.2621359223300971,-0.07636536965956703,4.675888350819464
days_since_d0,numeric,"(0.999, 2.0]",1158,399,0.344559585492228,0.006058293502563872,5.643200096194231
days_since_d0,numeric,"(2.0, 3.0]",390,125,0.32051282051282054,-0.01798847147684357,5.6685174713310955
entry_width_score,numeric,"(65.0, 90.0]",139,59,0.4244604316546763,0.08595913966501217,6.518370362330214
entry_width_score,numeric,"(24.999, 60.0]",872,296,0.3394495412844037,0.0009482492947395782,5.648611675265976
entry_width_score,numeric,"(60.0, 65.0]",537,169,0.31471135940409684,-0.023789932585567275,5.42626566855906
graph_quality_score,numeric,"(70.0, 82.0]",247,104,0.42105263157894735,0.08255133958928323,6.604422078818511
graph_quality_score,numeric,"(82.0, 90.0]",165,62,0.37575757575757573,0.037256283767911624,5.683066969215425
graph_quality_score,numeric,"(50.0, 70.0]",499,172,0.34468937875751504,0.006188086767850931,5.874654255868062
