feature,feature_type,count,non_null_count,target7_count,target7_rate,mean,median,target7_mean,non_target7_mean,mean_diff,corr_target7,corr_candidate_d3_max,top_quantile_target7_rate,bottom_quantile_target7_rate,quantile_rate_spread,direction_hint,target_return_pct,analysis_signal_strength
total_score,numeric,1548,1548,524,0.3385012919896641,63.29118217054263,63.25,65.67509541984732,62.0712890625,3.603806357347324,0.1474506967477245,0.14562465663906807,0.46006389776357826,0.24758842443729903,0.21247547332627922,higher_better,7.0,0.5055508267130718
trend_hold_score,numeric,1548,1548,524,0.3385012919896641,62.85206718346253,65.0,65.96374045801527,61.259765625,4.703974833015266,0.12068159669972488,0.10806161830697074,0.40310077519379844,0.2894736842105263,0.11362709098327212,higher_better,7.0,0.34237030598996776
d1_low_ma10_pct,numeric,1548,1548,524,0.3385012919896641,3.8366572997416024,3.6154,4.759654961832061,3.36434208984375,1.3953128719883114,0.09764985184035758,0.08361238548372658,0.4483870967741935,0.3258064516129032,0.1225806451612903,higher_better,7.0,0.3038428824853745
d1_close_ma10_pct,numeric,1548,1548,524,0.3385012919896641,7.364836434108528,6.8351500000000005,8.399953435114504,6.83514765625,1.5648057788645042,0.0897716063141254,0.07090062134539472,0.4290322580645161,0.29354838709677417,0.13548387096774195,higher_better,7.0,0.29615609862726205
theme_score,numeric,1548,1548,524,0.3385012919896641,64.8514211886305,70.0,65.91603053435115,64.306640625,1.609389909351151,0.09503063979259198,0.09126788953235833,0.3722334004024145,0.2779783393501805,0.09425506105223397,higher_better,7.0,0.2805535903771843
active_cooling_score,numeric,1548,1548,524,0.3385012919896641,73.86627906976744,85.0,75.97328244274809,72.7880859375,3.1851965052480864,0.07503313725750668,0.10250763992070457,0.37217391304347824,0.2880324543610548,0.08414145868242345,higher_better,7.0,0.2616822358606347
graph_quality_score,numeric,1548,1548,524,0.3385012919896641,55.78423772609819,58.0,58.454198473282446,54.41796875,4.036229723282446,0.0776578809958319,0.06839180519789083,0.4005681818181818,0.3064066852367688,0.09416149658141304,higher_better,7.0,0.24021118277513576
active_money_score,numeric,1548,1548,524,0.3385012919896641,67.59043927648578,68.0,66.52671755725191,68.134765625,-1.6080480677480864,-0.044702748538273565,-0.07234255465073725,0.2826666666666667,0.3493670886075949,-0.06670042194092823,lower_better,7.0,0.18374572512993903
d1_close_vwap_pct,numeric,1548,1548,524,0.3385012919896641,-0.19726162790697674,-0.24930000000000002,-0.3427284351145039,-0.12282353515625,-0.2199048999582539,-0.05587585892075476,-0.08591440055981657,0.3548387096774194,0.3935483870967742,-0.03870967741935483,lower_better,7.0,0.18049993689992616
consecutive_boards,numeric,1548,1548,524,0.3385012919896641,1.1046511627906976,1.0,1.1354961832061068,1.0888671875,0.04662899570610679,0.06487886943488241,0.06641418915047005,0.3385012919896641,0.3285816108339273,0.009919681155736826,higher_better,7.0,0.14121273974108928
invalid_distance_pct,numeric,1548,1548,524,0.3385012919896641,3.6549882277658066,3.8368153596079813,3.5817193418184967,3.692481290496656,-0.11076194867815925,-0.04464308308565883,-0.046586494692045136,0.3,0.34838709677419355,-0.04838709677419356,lower_better,7.0,0.13961667455189752
low_absorb_width_pct,numeric,1548,1548,524,0.3385012919896641,3.6549882277658066,3.8368153596079813,3.5817193418184967,3.692481290496656,-0.11076194867815925,-0.04464308308565883,-0.046586494692045136,0.3,0.34838709677419355,-0.04838709677419356,lower_better,7.0,0.13961667455189752
entry_width_score,numeric,1548,1548,524,0.3385012919896641,60.88501291989664,60.0,61.87977099236641,60.3759765625,1.50379442986641,0.05353648444663759,0.06102989267990141,0.33727810650887574,0.3394495412844037,-0.0021714347755279473,lower_better,7.0,0.11673781190206695
support_score,numeric,1548,1548,524,0.3385012919896641,50.72868217054263,47.0,49.57824427480916,51.3173828125,-1.7391385376908417,-0.02580694338235399,-0.05048438181396091,0.32020997375328086,0.351129363449692,-0.030919389696411115,lower_better,7.0,0.10721071489272602
days_since_d0,numeric,1548,1548,524,0.3385012919896641,1.817829457364341,2.0,1.7805343511450382,1.8369140625,-0.05637971135496178,-0.03301850066386095,-0.005357469339205218,0.32051282051282054,0.35714285714285715,-0.03663003663003661,lower_better,7.0,0.07500600663310278
support_type,categorical,1548,1548,524,0.3385012919896641,,,,,,,,,,0.05614450818990607,bucket_spread=0.0561,7.0,0.05614450818990607
signal_type,categorical,1548,1548,524,0.3385012919896641,,,,,,,,,,0.0,bucket_spread=0.0000,7.0,0.0
