artifact_type,path,exists,model_id,historical_config,feature_count,initial_train_days,l2,positive_weight,input_sample_source,score_source,parity_status,notes
ORIGINAL_INPUT,reports/history_samples/2026-05-06_2026-06-29/history_candidates_2026-05-06_2026-06-29_dedup.csv,True,logistic_v004a_weighted,ARCHIVED_FROZEN_GRID_SELECTION,18,18,0.3,1.5,reports/history_samples/2026-05-06_2026-06-29/history_candidates_2026-05-06_2026-06-29_dedup.csv,ARCHIVED,FAIL_TEMPORAL_CONTRACT,score_rows=2355; score_dates=18; folds_with_immature_labels=17; strict_v4c_coverage=0.851612903226
ARCHIVED_SCORE,reports/v004a/grid_v2_scored/v004a_scored_candidates.csv,True,logistic_v004a_weighted,ARCHIVED_FROZEN_GRID_SELECTION,18,18,0.3,1.5,reports/history_samples/2026-05-06_2026-06-29/history_candidates_2026-05-06_2026-06-29_dedup.csv,ARCHIVED,FAIL_TEMPORAL_CONTRACT,score_rows=2355; score_dates=18; folds_with_immature_labels=17; strict_v4c_coverage=0.851612903226
ARCHIVED_COEFFICIENTS,reports/v004a/grid_v2_scored/v004a_coefficients.csv,True,logistic_v004a_weighted,ARCHIVED_FROZEN_GRID_SELECTION,18,18,0.3,1.5,reports/history_samples/2026-05-06_2026-06-29/history_candidates_2026-05-06_2026-06-29_dedup.csv,ARCHIVED,FAIL_TEMPORAL_CONTRACT,score_rows=2355; score_dates=18; folds_with_immature_labels=17; strict_v4c_coverage=0.851612903226
HISTORICAL_REPORT,reports/v004a/grid_v2_scored/v004a_report.md,True,logistic_v004a_weighted,ARCHIVED_FROZEN_GRID_SELECTION,18,18,0.3,1.5,reports/history_samples/2026-05-06_2026-06-29/history_candidates_2026-05-06_2026-06-29_dedup.csv,ARCHIVED,FAIL_TEMPORAL_CONTRACT,score_rows=2355; score_dates=18; folds_with_immature_labels=17; strict_v4c_coverage=0.851612903226
CURRENT_STRICT_COMPARATOR,reports/research/v004c_stage1_risk_complementarity_v001_20260601_20260630/v004c_stage1_risk_strict_oof_v001.csv,True,logistic_v004a_weighted,ARCHIVED_FROZEN_GRID_SELECTION,18,18,0.3,1.5,reports/history_samples/2026-05-06_2026-06-29/history_candidates_2026-05-06_2026-06-29_dedup.csv,ARCHIVED,FAIL_TEMPORAL_CONTRACT,score_rows=2355; score_dates=18; folds_with_immature_labels=17; strict_v4c_coverage=0.851612903226
