model,oof_rows,oof_dates,logloss,brier,auc,average_precision,mean_probability,observed_rate,calibration_gap,top1_target_rate,top3_target_rate,top3_picks,dates_with_top3_hit,zero_hit_dates,mean_daily_candidate_rate,pooled_candidate_rate
M0,101,9,0.697476,0.250327,0.500000,0.386139,0.336874,0.386139,-0.049265,NA,NA,NA,NA,NA,NA,NA
M1,101,9,0.733877,0.263649,0.385443,0.358178,0.322392,0.386139,-0.063746,0.3333333333333333,0.3333333333333333,27,6,3,0.3942162050005187,0.38613861386138615
M2,101,9,0.758661,0.273493,0.353184,0.312414,0.316408,0.386139,-0.069730,0.3333333333333333,0.37037037037037035,27,7,2,0.3942162050005187,0.38613861386138615
