fold_id,test_signal_date,train_start_date,train_end_date,train_signal_dates,train_rows,train_positive,train_negative,train_base_rate,test_rows,test_positive,test_negative,m0_probability,m0_intercept,m1_converged,m1_n_iter,m1_intercept,m2_converged,m2_n_iter,m2_intercept
fold_01,2026-06-17,2026-06-01,2026-06-16,12,72,20,52,0.277778,17,12,5,0.277778,-0.955511,True,6,-1.001601,True,10,-1.058627
fold_02,2026-06-18,2026-06-01,2026-06-17,13,89,32,57,0.359551,15,2,13,0.359551,-0.577315,True,7,-0.591828,True,10,-0.613703
fold_03,2026-06-22,2026-06-01,2026-06-18,14,104,34,70,0.326923,7,4,3,0.326923,-0.722135,True,6,-0.738537,True,10,-0.736533
fold_04,2026-06-23,2026-06-01,2026-06-22,15,111,38,73,0.342342,14,7,7,0.342342,-0.652873,True,7,-0.673342,True,10,-0.666064
fold_05,2026-06-24,2026-06-01,2026-06-23,16,125,45,80,0.360000,15,3,12,0.360000,-0.575364,True,5,-0.586122,True,12,-0.574310
fold_06,2026-06-25,2026-06-01,2026-06-24,17,140,48,92,0.342857,9,4,5,0.342857,-0.650588,True,5,-0.666187,True,10,-0.644449
fold_07,2026-06-26,2026-06-01,2026-06-25,18,149,52,97,0.348993,12,3,9,0.348993,-0.623467,True,6,-0.637363,True,11,-0.648088
fold_08,2026-06-29,2026-06-01,2026-06-26,19,161,55,106,0.341615,5,3,2,0.341615,-0.656106,True,6,-0.679857,True,10,-0.691754
fold_09,2026-06-30,2026-06-01,2026-06-29,20,166,58,108,0.349398,7,1,6,0.349398,-0.621688,True,6,-0.638682,True,11,-0.651558
