pair_type,pair_count,pair_share,mean_date_share,gap_p25,gap_median,gap_p75,gap_p90,gap_max,pct_gap_lt_0_1pp,pct_gap_lt_0_5pp,pct_gap_lt_1pp
CROSS_THRESHOLD,656,0.4387959866220736,0.46552775082186854,0.05927912918016848,0.0924262983294557,0.13158478145811528,0.18341699901114294,0.3993726504404532,0.0,0.003048780487804878,0.010670731707317074
WITHIN_NON_TARGET,612,0.40936454849498327,0.4049167049167049,0.018516299359357002,0.039015250298369,0.0686242949366195,0.0967202897612774,0.31437272970573915,0.017973856209150325,0.06699346405228758,0.12581699346405228
WITHIN_TARGET7,227,0.15183946488294314,0.12955554426142663,0.012941515818763794,0.03305736393613401,0.06688766045448391,0.11976367858725201,0.19228846394200727,0.00881057268722467,0.09691629955947137,0.1894273127753304
ALL,1495,1.0,1.0,0.027332657657447412,0.06047216349541906,0.1010121022334019,0.14596613555776453,0.3993726504404532,0.008695652173913044,0.043478260869565216,0.08494983277591973
