model,rank1_capped_return,rank2_capped_return,rank3_capped_return,top1_capped_return,top2_capped_return,top3_capped_return,top1_target7_hit,top3_target7_precision,available_winner_capture,group_A_winner_capture,all_repair_concordance,cross_threshold_concordance,within_non_target_concordance,within_target7_concordance
BINARY_TARGET7_PAIRWISE_RIDGE_CONTROL,0.028231244710682217,0.03450409848044114,0.016650345697803756,0.028231244710682217,0.030621800965395296,0.02553497065165339,0.41379310344827586,0.3850574712643678,0.5432098765432098,0.5111111111111112,0.4994887115685435,0.5049845138581402,0.45400304823381743,0.5974506974506973
REPAIR_RIDGE_V001,0.016254684101969313,0.034519089528269514,0.01624059907189677,0.016254684101969313,0.02442714903122601,0.021115666118159956,0.3448275862068966,0.396551724137931,0.5555555555555556,0.5333333333333333,0.47925633540129337,0.5260040219243517,0.40885973001357623,0.5592833092833093
ORACLE,0.06979761669737651,0.05820589958259358,0.05385115729154291,0.06979761669737651,0.0639981441524382,0.06101024388011463,0.9310344827586207,0.7183908045977011,1.0,1.0,1.0,1.0,1.0,1.0
DAILY_UNIVERSE,0.029985390794374654,0.029985390794374654,0.029985390794374654,0.029985390794374654,0.029985390794374654,0.029985390794374654,0.37947213368105853,0.37947213368105853,,,0.5,0.5,0.5,0.5
