model,group,n_dates,mean_total_top3_regret,mean_winner_capture_regret,mean_repair_ordering_regret,winner_regret_share,repair_regret_share
BINARY_TARGET7_PAIRWISE_RIDGE_CONTROL,Combined,29,0.03302870266098114,0.026305512947394964,0.00672318971358618,0.7964440268031268,0.20355597319687346
BINARY_TARGET7_PAIRWISE_RIDGE_CONTROL,Group A,15,0.030013849015437043,0.030013849015437043,0.0,1.0,0.0
BINARY_TARGET7_PAIRWISE_RIDGE_CONTROL,Group B,12,0.041915160825809226,0.02605434502024152,0.015860815805567707,0.621597162146604,0.37840283785339607
BINARY_TARGET7_PAIRWISE_RIDGE_CONTROL,Group C,2,0.002321356013593366,0.0,0.002321356013593366,0.0,1.0
REPAIR_RIDGE_V001,Combined,29,0.03714322757147503,0.029351917816363978,0.0077913097551110515,0.790236060123796,0.20976393987620404
REPAIR_RIDGE_V001,Group A,15,0.03590356509544381,0.03590356509544381,0.0,1.0,0.0
REPAIR_RIDGE_V001,Group B,12,0.04191516082580924,0.026054345020241523,0.01586081580556772,0.6215971621466039,0.37840283785339623
REPAIR_RIDGE_V001,Group C,2,0.01780909661570394,0.0,0.01780909661570394,0.0,1.0
