lambda,date_weighted_oof_repair_pairwise_logloss,evaluable_signal_dates,all_repair_concordance_EVALUATION_ONLY,top3_mean_capped_return_EVALUATION_ONLY,available_winner_capture_EVALUATION_ONLY,selected_lambda
0.1,0.8048327500632663,28,0.48071841790329184,0.029159120540013097,0.5679012345679012,0
0.3,0.7626722721678938,28,0.45455151174688996,0.026547767795591093,0.5123456790123456,0
1.0,0.7293437669767033,28,0.4561258186258185,0.0261215783119605,0.5246913580246914,0
3.0,0.7094123710948469,28,0.47891194939514264,0.02634945534357953,0.537037037037037,0
10.0,0.6982907531126374,28,0.47925633540129337,0.021115666118159956,0.5555555555555556,1
